subset,id,no,requisitioner,id_lab,tax_order,family,genus,species,tax_name,functional_group,set_ciat,batch,run,replication,syrange,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,gas_ml_g_dm_incubated_24h,ch4_ml_g_ndf_digested_24h,methane_intensity,tddm
1,ABC-10647,1057,Genetic bank,F24-3469,Fabales,Fabaceae,Stylosanthes,scabra,Stylosanthes scabra,Herbaceous_legumes,6,17,2,1,194,43.31,79.2,6.9,14.88,15.9,18.79,170.35,151.04,48.31,67.34
1,ABC-11194,1060,Genetic bank,F24-3470,Fabales,Fabaceae,Stylosanthes,hamata,Stylosanthes hamata,Herbaceous_legumes,6,17,2,1,197,33.85,70.41,5.14,12.69,15.17,18.02,151.51,184.66,46.12,59.25
1,ABC-11999,1179,Genetic bank,F24-3471,Fabales,Fabaceae,Stylosanthes,guianensis,Stylosanthes guianensis,Herbaceous_legumes,7,19,1,1,108,34.49,78.22,4.5,12.75,12.98,16.25,167.21,139.83,46.61,58.55
1,ABC-12318,1182,Genetic bank,F24-3472,Fabales,Fabaceae,Stylosanthes,hamata,Stylosanthes hamata,Herbaceous_legumes,7,19,1,1,111,39.9,82.4,5.58,14.01,13.99,16.96,175.02,259.42,52.27,56.88
1,ABC-1257,159,Genetic bank,F24-3427,Fabales,Fabaceae,Stylosanthes,scabra,Stylosanthes scabra,Herbaceous_legumes,2,4,1,1,6,34.23,70.83,5.01,11.62,14.53,16.4,152.7,93.2,43.29,58.67
1,ABC-13575,1185,Genetic bank,F24-3473,Fabales,Fabaceae,Desmodium,incanum,Desmodium incanum,Herbaceous_legumes,7,19,1,1,114,25.6,51.93,3.49,8.46,13.6,16.23,110.26,502.53,42.43,42.85
1,ABC-13609,1188,Genetic bank,F24-3474,Fabales,Fabaceae,Desmodium,incanum,Desmodium incanum,Herbaceous_legumes,7,19,1,1,117,27.51,50.25,3.77,8.22,13.66,16.31,107.53,-1188.43,46.39,38.4
1,ABC-15551,1191,Genetic bank,F24-3475,Fabales,Fabaceae,Centrosema,molle,Centrosema molle,Herbaceous_legumes,7,19,1,1,120,32.77,65.88,4.86,11.58,14.79,17.49,140.48,290.19,50.03,49.72
1,ABC-16666,2247,LMF,F25-0924,,,Chloris,gayana,Chloris gayana,,11,29,1,1,49,29.5,72.68,3.92,11.31,13.27,15.56,161.96,,58.31,43.52
1,ABC-17024,1194,Genetic bank,F24-3476,Fabales,Fabaceae,Desmanthus,pernambucanus,Desmanthus pernambucanus,Shrub_Trees,7,19,1,1,123,28.59,50.45,4.06,8.54,14.17,16.84,108.95,-1508.62,46.29,40.14
1,ABC-17091,1197,Genetic bank,F24-3477,Fabales,Fabaceae,Crotalaria,micans,Crotalaria micans,Herbaceous_legumes,7,19,1,1,126,41.67,87.22,6.33,15.26,15.17,17.47,184.37,212.3,48.83,66.12
1,ABC-17365,1200,Genetic bank,F24-3478,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,7,19,1,1,129,47.57,86.39,7.21,15.21,15.12,17.56,184.9,221.13,51.29,63.39
1,ABC-17451,1203,Genetic bank,F24-3479,Fabales,Fabaceae,Canavalia,sp.,Canavalia sp.,Herbaceous_legumes,7,19,1,1,132,35.57,68.16,4.56,10.66,12.8,15.61,148.64,223.01,37.55,62.07
1,ABC-17488,2211,LMF,F25-0907,Fabales,Fabaceae,Leucaena,leucocephala,Leucaena leucocephala,Shrub_Trees,11,29,1,1,13,34.52,65.75,3.87,8.51,11.2,12.94,144.71,,46.4,42.03
1,ABC-17775,1206,Genetic bank,F24-3480,Fabales,Fabaceae,Christia,obcordata,Christia obcordata,Herbaceous_legumes,7,19,1,1,135,45.41,83.24,6.93,15.36,15.26,18.43,176.41,244.5,55.22,59.09
1,ABC-18016,1209,Genetic bank,F24-3481,Fabales,Fabaceae,Sesbania,emerus,Sesbania emerus,Shrub_Trees,7,19,1,1,138,31.79,61.95,4.53,9.94,14.23,15.96,132.84,612.91,42.47,50.31
1,ABC-18044,1212,Genetic bank,F24-3482,Fabales,Fabaceae,Christia,sp.,Christia sp.,Herbaceous_legumes,7,19,1,1,141,36.65,70.55,5.52,12.7,15.06,18.25,150.62,250.94,47.47,58.33
1,ABC-18288,1215,Genetic bank,F24-3483,Fabales,Fabaceae,Sesbania,exasperata,Sesbania exasperata,Shrub_Trees,7,19,1,1,144,39.46,73.75,5.8,12.35,14.7,16.94,159.19,-1024.53,48.91,55.66
