subset,id,no,requisitioner,id_lab,tax_order,family,genus,species,tax_name,functional_group,set_ciat,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm
1,ABC-10647,197,Genetic bank,F24-3469,Fabales,Fabaceae,Stylosanthes,scabra,Stylosanthes scabra,Herbaceous_legumes,6,92.93,9.36,90.64,20.02,32.44,56.19
1,ABC-11194,199,Genetic bank,F24-3470,Fabales,Fabaceae,Stylosanthes,hamata,Stylosanthes hamata,Herbaceous_legumes,6,92.89,9.61,90.39,21.18,30.18,55.94
1,ABC-11999,201,Genetic bank,F24-3471,Fabales,Fabaceae,Stylosanthes,guianensis,Stylosanthes guianensis,Herbaceous_legumes,7,93.5,10.46,89.54,20.09,33.9,61.32
1,ABC-12318,203,Genetic bank,F24-3472,Fabales,Fabaceae,Stylosanthes,hamata,Stylosanthes hamata,Herbaceous_legumes,7,94.1,11.08,88.92,22.05,29.34,55.26
1,ABC-1257,113,Genetic bank,F24-3427,Fabales,Fabaceae,Stylosanthes,scabra,Stylosanthes scabra,Herbaceous_legumes,5,92.72,9.52,90.48,17.96,35.9,69.91
1,ABC-13575,205,Genetic bank,F24-3473,Fabales,Fabaceae,Desmodium,incanum,Desmodium incanum,Herbaceous_legumes,7,94.14,11.52,88.48,23.17,44.09,57.61
1,ABC-13609,207,Genetic bank,F24-3474,Fabales,Fabaceae,Desmodium,incanum,Desmodium incanum,Herbaceous_legumes,7,93.4,11.58,88.42,20.01,40.85,58.78
1,ABC-15551,209,Genetic bank,F24-3475,Fabales,Fabaceae,Centrosema,molle,Centrosema molle,Herbaceous_legumes,7,93.75,10.48,89.52,22.31,23.67,61.59
1,ABC-17024,211,Genetic bank,F24-3476,Fabales,Fabaceae,Desmanthus,pernambucanus,Desmanthus pernambucanus,Shrub_Trees,7,92.53,8.23,91.77,24.63,32.03,58.24
1,ABC-17091,213,Genetic bank,F24-3477,Fabales,Fabaceae,Crotalaria,micans,Crotalaria micans,Herbaceous_legumes,7,94.56,8.37,91.63,24.38,17.15,49.73
1,ABC-17365,215,Genetic bank,F24-3478,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,7,93.39,7.63,92.37,32.12,23.37,51.72
1,ABC-17451,217,Genetic bank,F24-3479,Fabales,Fabaceae,Canavalia,sp.,Canavalia sp.,Herbaceous_legumes,7,91.64,19.48,80.53,22.34,20.08,49.14
1,ABC-17775,219,Genetic bank,F24-3480,Fabales,Fabaceae,Christia,obcordata,Christia obcordata,Herbaceous_legumes,7,94.3,10.72,89.28,16.05,26.04,54.97
1,ABC-18016,221,Genetic bank,F24-3481,Fabales,Fabaceae,Sesbania,emerus,Sesbania emerus,Shrub_Trees,7,93.22,7.68,92.32,24.16,28.12,56.38
1,ABC-18044,223,Genetic bank,F24-3482,Fabales,Fabaceae,Christia,sp.,Christia sp.,Herbaceous_legumes,7,93.67,14.44,85.56,21.0,22.69,54.68
1,ABC-18288,225,Genetic bank,F24-3483,Fabales,Fabaceae,Sesbania,exasperata,Sesbania exasperata,Shrub_Trees,7,92.91,8.89,91.11,23.18,27.95,51.1
1,ABC-18447,227,Genetic bank,F24-3484,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,7,92.93,7.5,92.5,29.41,26.2,54.05
1,ABC-18455,229,Genetic bank,F24-3485,Fabales,Fabaceae,Christia,obcordata,Christia obcordata,Herbaceous_legumes,7,93.2,14.45,85.55,21.77,22.27,52.43
