id_lab,subset,no,requisitioner,id,tax_name,functional_group,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,n_replicates_nutrition,gas_ml_g_dm_incubated_24h,part_fact,ch4_ml_g_dm_incubated_24h,ch4_ml_g_ndf_digested_24h,methane_intensity,tddm,n_replicates_gas
F24-3582,1,51.0,Breeding,CIAT-BR-02-1752,Brachiaria interespecifico,Grass,96.02,15.7,84.3,10.92,21.14,55.41,2,156.06,4.32,22.79,100.28,33.83,67.39,9
F24-3583,1,53.0,Breeding,CIAT-BR-02-1794,Brachiaria interespecifico,Grass,97.04,15.02,84.98,9.39,21.84,55.76,2,157.75,4.06,22.88,116.14,35.77,63.97,9
F24-3584,1,55.0,Breeding,CIAT-BR-06-0423,Brachiaria interespecifico,Grass,96.76,15.96,84.04,11.01,22.02,57.36,2,152.46,4.22,23.12,108.27,35.98,64.27,8
F24-3585,1,57.0,Breeding,CIAT-BR-09-1232,Brachiaria interespecifico,Grass,97.24,13.8,86.2,10.08,21.03,55.66,2,167.08,3.99,24.02,108.2,36.04,66.64,8
F24-3586,1,59.0,Breeding,CIAT-BR-12-4951,Brachiaria interespecifico,Grass,95.74,15.48,84.52,11.1,23.29,56.86,2,156.86,4.21,23.59,103.45,35.76,65.93,9
F24-3587,1,61.0,Breeding,CIAT-BR-15-0722,Brachiaria interespecifico,Grass,95.22,14.06,85.94,10.31,26.17,60.22,2,149.27,4.09,22.0,105.0,36.15,60.89,9
F24-3588,1,63.0,Breeding,CIAT-BR-15-6487,Brachiaria interespecifico,Grass,95.07,13.57,86.43,9.61,24.55,59.72,2,152.82,4.01,22.04,106.37,36.06,61.15,8
F24-3589,1,65.0,Breeding,CIAT-BR-19-0029,Brachiaria interespecifico,Grass,96.07,14.12,85.88,10.08,23.98,58.41,2,159.25,3.9,23.66,117.48,38.23,62.0,8
F24-3590,1,67.0,Breeding,CIAT-BR-19-0423,Brachiaria interespecifico,Grass,95.34,13.9,86.1,10.11,24.49,59.22,2,162.91,3.9,23.48,107.12,37.16,63.48,9
F24-3591,1,69.0,Breeding,CIAT-CIAT-6962,Megathyrsus maximus,Grass,95.72,14.24,85.76,8.59,32.14,67.62,2,143.8,3.93,22.81,98.89,40.73,56.51,9
