id_lab,subset,no,requisitioner,id,tax_name,functional_group,batch,run,replication,net_gas_8h_ml,net_gas_24h_ml,gas_ml_g_dm_incubated_24h,tddm,part_fact,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,ch4_ml_g_dm_incubated_24h,methane_intensity,ch4_ml_g_ndf_digested_24h,n_replicates_gas
F24-3582,1,226,Breeding,CIAT-BR-02-1752,Brachiaria interespecifico,Grass,10.0,1.0,1.0,37.05,74.98,156.06,67.39,4.32,13.98,14.61,22.79,33.83,100.28,9
F24-3583,1,229,Breeding,CIAT-BR-02-1794,Brachiaria interespecifico,Grass,10.0,1.0,1.0,38.62,76.6,157.75,63.97,4.06,13.79,14.51,22.88,35.77,116.14,9
F24-3584,1,232,Breeding,CIAT-BR-06-0423,Brachiaria interespecifico,Grass,10.0,1.0,1.0,33.98,73.82,152.46,64.27,4.22,14.61,15.14,23.12,35.98,108.27,8
F24-3585,1,235,Breeding,CIAT-BR-09-1232,Brachiaria interespecifico,Grass,10.0,1.0,1.0,39.81,81.29,167.08,66.64,3.99,13.76,14.37,24.02,36.04,108.2,8
F24-3586,1,238,Breeding,CIAT-BR-12-4951,Brachiaria interespecifico,Grass,10.0,1.0,1.0,35.72,75.13,156.86,65.93,4.21,14.34,15.02,23.59,35.76,103.45,9
F24-3587,1,241,Breeding,CIAT-BR-15-0722,Brachiaria interespecifico,Grass,10.0,1.0,1.0,31.69,71.09,149.27,60.89,4.09,14.28,14.74,22.0,36.15,105.0,9
F24-3588,1,244,Breeding,CIAT-BR-15-6487,Brachiaria interespecifico,Grass,10.0,1.0,1.0,33.48,72.69,152.82,61.15,4.01,14.01,14.41,22.04,36.06,106.37,8
F24-3589,1,247,Breeding,CIAT-BR-19-0029,Brachiaria interespecifico,Grass,10.0,1.0,1.0,36.69,76.53,159.25,62.0,3.9,13.94,14.86,23.66,38.23,117.48,8
F24-3590,1,250,Breeding,CIAT-BR-19-0423,Brachiaria interespecifico,Grass,10.0,1.0,1.0,37.69,77.71,162.91,63.48,3.9,13.93,14.41,23.48,37.16,107.12,9
F24-3591,1,253,Breeding,CIAT-CIAT-6962,Megathyrsus maximus,Grass,10.0,1.0,1.0,31.3,68.88,143.8,56.51,3.93,14.82,15.87,22.81,40.73,98.89,9
F24-3592,1,256,Breeding,CIAT-Mulato-II,Brachiaria interespecifico,Grass,10.0,1.0,1.0,33.95,73.8,152.58,65.32,4.29,14.21,14.64,22.32,34.27,91.55,9
F24-3593,1,259,Breeding,CIAT-PM-21-0215,Megathyrsus maximus,Grass,10.0,1.0,1.0,32.08,68.24,142.05,54.75,3.86,14.81,16.18,22.94,41.92,115.48,9
