subset,no,requisitioner,id_lab,id,tax_name,functional_group,batch,run,replication,net_gas_8h_ml,net_gas_24h_ml,gas_ml_g_dm_incubated_24h,tddm,part_fact,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,ch4_ml_g_dm_incubated_24h,methane_intensity,ch4_ml_g_ndf_digested_24h
1,#REF!,LMF,F25-0873,ILRI-7384-52-120169,Chloris gayana,Grass,29.0,1.0,1.0,26.7,74.6,164.01,55.17,3.36,13.1,16.95,27.8,50.39,0.0
1,#REF!,LMF,F25-0873,ILRI-7384-52-120169,Chloris gayana,Grass,29.0,1.0,2.0,23.6,68.4,150.39,40.68,2.71,12.5,16.89,25.4,62.43,0.0
1,#REF!,LMF,F25-0873,ILRI-7384-52-120169,Chloris gayana,Grass,29.0,1.0,3.0,21.83,64.42,141.6,46.56,3.29,13.0,16.83,23.84,51.19,0.0
1,#REF!,LMF,F25-0001,Sample-1,Cynodon nlemfuensis ,Grass,29.0,1.0,1.0,26.26,66.63,136.64,35.69,2.61,13.9,15.29,20.9,58.55,0.0
1,#REF!,LMF,F25-0001,Sample-1,Cynodon nlemfuensis ,Grass,29.0,1.0,2.0,27.14,69.73,143.05,19.03,1.33,14.4,15.44,22.09,116.07,0.0
1,#REF!,LMF,F25-0001,Sample-1,Cynodon nlemfuensis ,Grass,29.0,1.0,3.0,26.7,71.94,147.53,38.89,2.64,14.6,15.54,22.93,58.97,0.0
1,#REF!,LMF,F25-0002,Sample-2,Cynodon nlemfuensis ,Grass,29.0,1.0,1.0,26.26,65.31,135.79,67.65,4.98,14.2,15.4,20.91,30.9,0.0
1,#REF!,LMF,F25-0002,Sample-2,Cynodon nlemfuensis ,Grass,29.0,1.0,2.0,25.81,67.52,140.39,39.02,2.78,14.3,15.41,21.64,55.45,0.0
1,#REF!,LMF,F25-0002,Sample-2,Cynodon nlemfuensis ,Grass,29.0,1.0,3.0,24.93,66.19,137.65,45.16,3.28,14.6,15.66,21.56,47.73,0.0
1,#REF!,LMF,F25-0003,Sample-3,Cynodon nlemfuensis ,Grass,29.0,1.0,1.0,26.26,68.4,142.32,36.35,2.55,14.3,15.78,22.46,61.77,0.0
1,#REF!,LMF,F25-0003,Sample-3,Cynodon nlemfuensis ,Grass,29.0,1.0,2.0,27.14,69.29,144.31,40.12,2.78,14.2,15.23,21.98,54.79,0.0
1,#REF!,LMF,F25-0003,Sample-3,Cynodon nlemfuensis ,Grass,29.0,1.0,3.0,25.37,68.4,142.38,35.31,2.48,14.4,15.22,21.67,61.36,0.0
1,#REF!,LMF,F25-0004,Sample-4,Cynodon nlemfuensis ,Grass,29.0,1.0,1.0,25.81,69.73,144.14,43.3,3.0,14.7,15.64,22.55,52.08,0.0
1,#REF!,LMF,F25-0004,Sample-4,Cynodon nlemfuensis ,Grass,29.0,1.0,2.0,27.58,70.62,145.99,48.0,3.29,14.4,15.38,22.45,46.76,0.0
1,#REF!,LMF,F25-0004,Sample-4,Cynodon nlemfuensis ,Grass,29.0,1.0,3.0,25.81,67.96,140.45,42.78,3.05,14.8,15.3,21.48,50.22,0.0
1,#REF!,LMF,F25-0005,Sample-5,Cynodon nlemfuensis ,Grass,29.0,1.0,1.0,24.93,63.09,130.12,40.3,3.1,14.6,15.57,20.26,50.27,0.0
1,#REF!,LMF,F25-0005,Sample-5,Cynodon nlemfuensis ,Grass,29.0,1.0,2.0,24.93,64.42,132.77,28.32,2.13,14.5,15.48,20.55,72.59,0.0
1,#REF!,LMF,F25-0005,Sample-5,Cynodon nlemfuensis ,Grass,29.0,1.0,3.0,26.26,63.98,131.78,43.66,3.31,14.2,15.32,20.19,46.24,0.0
1,#REF!,LMF,F25-0006,Sample-6,Cynodon nlemfuensis ,Grass,29.0,1.0,1.0,24.04,64.42,136.23,43.79,3.21,14.5,15.57,21.2,48.42,0.0
1,#REF!,LMF,F25-0006,Sample-6,Cynodon nlemfuensis ,Grass,29.0,1.0,2.0,24.93,63.98,135.18,25.79,1.91,14.5,15.66,21.17,82.08,0.0
1,#REF!,LMF,F25-0006,Sample-6,Cynodon nlemfuensis ,Grass,29.0,1.0,3.0,25.81,65.75,138.95,33.6,2.42,14.2,15.6,21.67,64.51,0.0
1,#REF!,LMF,F25-0007,Sample-7,Cynodon nlemfuensis ,Grass,29.0,1.0,1.0,25.37,64.42,134.13,35.7,2.66,14.3,15.39,20.64,57.82,0.0
1,#REF!,LMF,F25-0007,Sample-7,Cynodon nlemfuensis ,Grass,29.0,1.0,2.0,25.81,64.42,134.11,38.49,2.87,14.2,14.8,19.85,51.57,0.0
1,#REF!,LMF,F25-0007,Sample-7,Cynodon nlemfuensis ,Grass,29.0,1.0,3.0,25.81,63.09,131.42,23.49,1.79,13.8,14.8,19.46,82.82,0.0
1,226,Breeding,F24-3582,CIAT-BR-02-1752,Brachiaria interespecifico,Grass,10.0,1.0,1.0,36.65,73.6,153.24,66.86,4.36,13.6,14.35,21.99,32.9,98.77
1,227,Breeding,F24-3582,CIAT-BR-02-1752,Brachiaria interespecifico,Grass,10.0,1.0,2.0,36.65,70.51,146.73,65.35,4.45,13.7,14.32,21.02,32.16,101.24
1,228,Breeding,F24-3582,CIAT-BR-02-1752,Brachiaria interespecifico,Grass,10.0,1.0,3.0,37.1,72.28,150.38,65.88,4.38,13.6,14.33,21.55,32.71,101.23
1,229,Breeding,F24-3583,CIAT-BR-02-1794,Brachiaria interespecifico,Grass,10.0,1.0,1.0,37.54,74.49,153.39,63.04,4.11,13.5,14.29,21.92,34.78,116.63
1,230,Breeding,F24-3583,CIAT-BR-02-1794,Brachiaria interespecifico,Grass,10.0,1.0,2.0,38.42,73.16,150.63,65.25,4.33,13.5,14.26,21.48,32.92,102.24
1,231,Breeding,F24-3583,CIAT-BR-02-1794,Brachiaria interespecifico,Grass,10.0,1.0,3.0,38.87,73.6,151.66,63.18,4.17,13.4,14.16,21.47,33.98,113.34
1,232,Breeding,F24-3584,CIAT-BR-06-0423,Brachiaria interespecifico,Grass,10.0,1.0,1.0,34.0,70.51,145.64,66.99,4.6,14.4,14.56,21.2,31.64,87.03
1,233,Breeding,F24-3584,CIAT-BR-06-0423,Brachiaria interespecifico,Grass,10.0,1.0,2.0,35.33,74.49,153.77,64.2,4.18,14.2,14.73,22.64,35.27,104.99
1,234,Breeding,F24-3584,CIAT-BR-06-0423,Brachiaria interespecifico,Grass,10.0,1.0,3.0,34.88,72.28,149.23,58.58,3.93,14.1,14.67,21.89,37.37,137.29
1,235,Breeding,F24-3585,CIAT-BR-09-1232,Brachiaria interespecifico,Grass,10.0,1.0,1.0,40.64,78.03,160.33,63.81,3.98,13.4,13.98,22.41,35.11,115.07
1,237,Breeding,F24-3585,CIAT-BR-09-1232,Brachiaria interespecifico,Grass,10.0,1.0,3.0,38.87,76.7,157.6,67.31,4.27,13.4,13.94,21.97,32.65,95.68
1,238,Breeding,F24-3586,CIAT-BR-12-4951,Brachiaria interespecifico,Grass,10.0,1.0,1.0,36.21,74.05,154.52,67.45,4.36,14.1,14.76,22.81,33.82,93.84
1,239,Breeding,F24-3586,CIAT-BR-12-4951,Brachiaria interespecifico,Grass,10.0,1.0,2.0,36.65,75.37,157.41,66.42,4.22,14.0,14.57,22.93,34.52,98.48
1,240,Breeding,F24-3586,CIAT-BR-12-4951,Brachiaria interespecifico,Grass,10.0,1.0,3.0,35.77,73.16,152.7,64.66,4.23,14.0,14.66,22.39,34.63,104.02
1,241,Breeding,F24-3587,CIAT-BR-15-0722,Brachiaria interespecifico,Grass,10.0,1.0,1.0,33.11,70.06,147.02,61.1,4.16,13.7,14.23,20.92,34.24,98.16
1,242,Breeding,F24-3587,CIAT-BR-15-0722,Brachiaria interespecifico,Grass,10.0,1.0,2.0,32.23,70.06,147.08,61.92,4.21,13.9,14.28,21.0,33.91,94.88
1,243,Breeding,F24-3587,CIAT-BR-15-0722,Brachiaria interespecifico,Grass,10.0,1.0,3.0,25.59,62.1,130.44,62.19,4.77,14.0,14.47,18.87,30.35,84.25
1,244,Breeding,F24-3588,CIAT-BR-15-6487,Brachiaria interespecifico,Grass,10.0,1.0,1.0,34.0,70.51,148.2,60.27,4.07,13.8,14.16,20.99,34.82,104.96
1,245,Breeding,F24-3588,CIAT-BR-15-6487,Brachiaria interespecifico,Grass,10.0,1.0,2.0,30.9,68.29,143.64,62.79,4.37,14.2,14.25,20.48,32.61,90.93
1,246,Breeding,F24-3588,CIAT-BR-15-6487,Brachiaria interespecifico,Grass,10.0,1.0,3.0,34.0,71.39,150.19,57.61,3.84,13.8,14.11,21.2,36.79,122.28
1,247,Breeding,F24-3589,CIAT-BR-19-0029,Brachiaria interespecifico,Grass,10.0,1.0,1.0,37.98,75.37,156.91,63.65,4.06,13.5,14.54,22.82,35.85,103.43
1,248,Breeding,F24-3589,CIAT-BR-19-0029,Brachiaria interespecifico,Grass,10.0,1.0,2.0,37.54,74.49,155.01,62.0,4.0,13.5,14.44,22.39,36.11,109.68
1,249,Breeding,F24-3589,CIAT-BR-19-0029,Brachiaria interespecifico,Grass,10.0,1.0,3.0,37.98,76.7,159.58,62.95,3.94,13.4,14.46,23.08,36.66,108.05
1,250,Breeding,F24-3590,CIAT-BR-19-0423,Brachiaria interespecifico,Grass,10.0,1.0,1.0,38.87,75.82,158.97,64.5,4.06,13.3,13.88,22.07,34.22,93.03
1,251,Breeding,F24-3590,CIAT-BR-19-0423,Brachiaria interespecifico,Grass,10.0,1.0,2.0,38.42,74.05,155.32,68.45,4.41,13.5,14.03,21.79,31.83,78.73
1,252,Breeding,F24-3590,CIAT-BR-19-0423,Brachiaria interespecifico,Grass,10.0,1.0,3.0,38.42,75.37,158.01,69.67,4.41,13.6,14.14,22.34,32.07,77.33
1,253,Breeding,F24-3591,CIAT-CIAT-6962,Megathyrsus maximus,Grass,10.0,1.0,1.0,30.46,66.52,138.9,55.44,3.99,14.4,15.43,21.43,38.66,92.92
