subset,no,requisitioner,id_lab,id,tax_order,family,genus,species,tax_name,functional_group,set_ciat,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm
1,51.0,Breeding,F24-3582,CIAT-BR-02-1752,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,95.98,15.64,84.36,10.92,21.2,55.59
1,52.0,Breeding,F24-3582,CIAT-BR-02-1752,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,96.07,15.76,84.24,10.92,21.09,55.23
1,53.0,Breeding,F24-3583,CIAT-BR-02-1794,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,96.97,15.14,84.86,9.39,21.27,54.83
1,54.0,Breeding,F24-3583,CIAT-BR-02-1794,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,97.12,14.9,85.1,9.39,22.4,56.7
1,55.0,Breeding,F24-3584,CIAT-BR-06-0423,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,96.56,15.97,84.03,11.01,22.15,57.45
1,56.0,Breeding,F24-3584,CIAT-BR-06-0423,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,96.97,15.96,84.04,11.01,21.89,57.28
1,57.0,Breeding,F24-3585,CIAT-BR-09-1232,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,97.13,13.83,86.17,10.08,21.04,55.54
1,58.0,Breeding,F24-3585,CIAT-BR-09-1232,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,97.34,13.77,86.23,10.08,21.02,55.77
1,59.0,Breeding,F24-3586,CIAT-BR-12-4951,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,95.47,15.48,84.52,11.1,23.32,56.94
1,60.0,Breeding,F24-3586,CIAT-BR-12-4951,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,96.02,15.47,84.53,11.1,23.26,56.79
1,61.0,Breeding,F24-3587,CIAT-BR-15-0722,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,95.07,14.05,85.95,10.31,26.52,60.67
1,62.0,Breeding,F24-3587,CIAT-BR-15-0722,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,95.36,14.06,85.94,10.31,25.83,59.76
1,63.0,Breeding,F24-3588,CIAT-BR-15-6487,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,94.97,13.4,86.6,9.61,24.32,59.7
1,64.0,Breeding,F24-3588,CIAT-BR-15-6487,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,95.17,13.74,86.26,9.61,24.78,59.75
1,65.0,Breeding,F24-3589,CIAT-BR-19-0029,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,96.05,14.1,85.9,10.08,23.76,58.02
1,66.0,Breeding,F24-3589,CIAT-BR-19-0029,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,96.09,14.15,85.85,10.08,24.19,58.8
1,67.0,Breeding,F24-3590,CIAT-BR-19-0423,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,95.18,13.87,86.13,10.11,24.24,58.94
1,68.0,Breeding,F24-3590,CIAT-BR-19-0423,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,95.51,13.94,86.06,10.11,24.74,59.51
1,69.0,Breeding,F24-3591,CIAT-CIAT-6962,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,4,95.58,14.19,85.81,8.59,31.59,67.17
1,70.0,Breeding,F24-3591,CIAT-CIAT-6962,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,4,95.87,14.3,85.7,8.59,32.69,68.08
1,71.0,Breeding,F24-3592,CIAT-Mulato-II,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,96.69,14.96,85.04,11.85,24.45,60.05
1,72.0,Breeding,F24-3592,CIAT-Mulato-II,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,96.63,14.99,85.01,11.85,24.28,58.79
1,73.0,Breeding,F24-3593,CIAT-PM-21-0215,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,4,95.98,15.03,84.97,9.73,29.76,65.01
1,74.0,Breeding,F24-3593,CIAT-PM-21-0215,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,4,96.05,15.08,84.92,9.73,30.06,65.47
1,75.0,Breeding,F24-3594,CIAT-PM-21-0631,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,4,96.73,13.98,86.02,9.06,29.07,63.23
