gender,species,id,net_gas_8h_ml,net_gas_24h_ml,gas_ml_g_dm_incubated_24h,tddm,part_fact,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,ch4_ml_g_dm_incubated_24h,methane_intensity,ch4_ml_g_ndf_digested_24h
Stylosanthes,guianensis,CIAT-11313,43.05,92.68,203.13,45.97,2.26,12.8,14.57,29.59,64.37,293.67
Stylosanthes,guianensis,CIAT-11313,32.05,73.18,158.73,48.33,3.04,13.1,14.06,22.31,46.16,212.81
Stylosanthes,guianensis,CIAT-11313,33.55,76.68,166.36,49.15,2.95,12.2,13.44,22.35,45.48,209.65
Stylosanthes,guianensis,CIAT-11313,39.51,92.35,202.42,57.24,2.83,12.8,14.46,29.27,51.14,233.3
Stylosanthes,guianensis,CIAT-11313,29.01,76.35,165.62,32.84,1.98,12.4,13.39,22.18,67.53,311.33
Stylosanthes,guianensis,CIAT-11313,31.01,77.35,167.72,47.18,2.81,12.1,13.24,22.2,47.06,217.04
Stylosanthes,guianensis,CIAT-11313,41.66,92.89,203.44,56.31,2.77,12.1,14.03,28.54,50.69,231.46
Stylosanthes,guianensis,CIAT-11313,32.66,76.39,165.73,35.72,2.16,11.9,13.56,22.47,62.92,290.03
Stylosanthes,guianensis,CIAT-11313,33.16,75.89,164.65,50.4,3.06,11.9,13.59,22.37,44.39,204.61
Stylosanthes,guianensis,CIAT-11417,31.05,71.68,155.48,48.44,3.12,12.5,13.46,20.93,43.21,199.22
Stylosanthes,guianensis,CIAT-11417,29.55,68.18,149.02,50.25,3.37,12.7,12.36,18.42,36.65,167.69
Stylosanthes,guianensis,CIAT-11417,31.05,71.18,155.58,35.56,2.29,12.8,12.35,19.21,54.02,247.15
Stylosanthes,guianensis,CIAT-11417,29.51,74.85,162.33,26.11,1.61,12.3,13.27,21.54,82.49,380.36
Stylosanthes,guianensis,CIAT-11417,29.51,69.85,152.65,47.79,3.13,12.3,12.13,18.51,38.73,177.24
Stylosanthes,guianensis,CIAT-11417,28.01,56.85,124.27,25.49,2.05,12.0,12.2,15.16,59.49,272.2
Stylosanthes,guianensis,CIAT-11417,32.66,76.89,166.78,39.57,2.37,11.9,13.57,22.63,57.19,263.66
Stylosanthes,guianensis,CIAT-11417,36.66,76.39,166.9,48.81,2.92,11.7,12.12,20.22,41.43,189.63
Stylosanthes,guianensis,CIAT-11417,31.66,69.89,152.61,50.06,3.28,11.7,12.14,18.52,37.0,169.45
Stylosanthes,guianensis,CIAT-12311,47.4,97.59,210.54,61.79,2.93,12.7,13.99,29.45,47.65,220.88
Stylosanthes,guianensis,CIAT-12311,47.4,97.59,210.54,61.79,2.93,12.7,13.99,29.45,47.65,220.88
Stylosanthes,guianensis,CIAT-12311,42.9,90.59,197.28,56.99,2.89,12.9,13.95,27.53,48.3,221.79
Stylosanthes,guianensis,CIAT-12311,42.9,90.59,197.28,56.99,2.89,12.9,13.95,27.53,48.3,221.79
Stylosanthes,guianensis,CIAT-12311,44.4,91.59,199.46,37.3,1.87,12.8,14.09,28.1,75.33,345.91
