gender,species,id,subset,no,requisitioner,id_lab,functional_group,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm
Stylosanthes,guianensis,CIAT-11313,3,175.0,Genetic bank,F24-3559,Herbaceous_legumes,92.11,11.55,88.45,14.94,38.49,55.73
Stylosanthes,guianensis,CIAT-11313,3,176.0,Genetic bank,F24-3559,Herbaceous_legumes,92.26,11.52,88.48,14.94,39.16,56.2
Stylosanthes,guianensis,CIAT-11417,3,177.0,Genetic bank,F24-3560,Herbaceous_legumes,91.48,11.93,88.07,12.26,41.32,57.71
Stylosanthes,guianensis,CIAT-11417,3,178.0,Genetic bank,F24-3560,Herbaceous_legumes,91.52,12.19,87.81,12.26,41.63,56.74
Stylosanthes,guianensis,CIAT-12311,3,247.0,Genetic bank,F24-3572,Herbaceous_legumes,91.67,15.02,84.98,16.63,35.04,52.68
Stylosanthes,guianensis,CIAT-12311,3,248.0,Genetic bank,F24-3572,Herbaceous_legumes,91.85,15.05,84.95,16.63,34.54,54.69
Stylosanthes,guianensis,CIAT-12615,3,259.0,Genetic bank,F24-3578,Herbaceous_legumes,89.78,10.41,89.59,14.07,35.98,54.76
Stylosanthes,guianensis,CIAT-12615,3,260.0,Genetic bank,F24-3578,Herbaceous_legumes,89.73,10.38,89.62,14.07,34.65,52.16
Stylosanthes,guianensis,CIAT-12758,3,265.0,Genetic bank,F24-3581,Herbaceous_legumes,91.36,9.47,90.53,14.95,33.0,58.26
Stylosanthes,guianensis,CIAT-12758,3,266.0,Genetic bank,F24-3581,Herbaceous_legumes,91.39,9.57,90.43,14.95,35.21,55.67
Stylosanthes,guianensis,CIAT-1650,2,115.0,Genetic bank,F24-3542,Herbaceous_legumes,91.91,12.82,87.18,15.65,35.86,106.85
Stylosanthes,guianensis,CIAT-1650,2,116.0,Genetic bank,F24-3542,Herbaceous_legumes,91.92,12.52,87.48,15.65,33.44,100.12
Stylosanthes,guianensis,CIAT-1964,2,123.0,Genetic bank,F24-3546,Herbaceous_legumes,90.29,9.45,90.55,16.9,34.41,80.0
Stylosanthes,guianensis,CIAT-1964,2,124.0,Genetic bank,F24-3546,Herbaceous_legumes,90.29,9.4,90.6,16.9,35.32,79.5
Stylosanthes,guianensis,CIAT-2613,2,125.0,Genetic bank,F24-3547,Herbaceous_legumes,91.88,13.22,86.78,12.31,37.18,77.11
Stylosanthes,guianensis,CIAT-2613,2,126.0,Genetic bank,F24-3547,Herbaceous_legumes,92.0,13.31,86.69,12.31,37.23,76.79
Stylosanthes,hamata,CIAT-11199,3,167.0,Genetic bank,F24-3555,Herbaceous_legumes,91.73,8.7,91.3,14.8,36.49,57.2
Stylosanthes,hamata,CIAT-11199,3,168.0,Genetic bank,F24-3555,Herbaceous_legumes,91.9,8.84,91.16,14.8,36.12,59.36
Stylosanthes,hamata,CIAT-11215,3,169.0,Genetic bank,F24-3556,Herbaceous_legumes,92.88,10.48,89.52,18.31,28.44,54.3
Stylosanthes,hamata,CIAT-11215,3,170.0,Genetic bank,F24-3556,Herbaceous_legumes,92.92,10.56,89.44,18.31,27.31,50.75
Stylosanthes,hamata,CIAT-11220,3,171.0,Genetic bank,F24-3557,Herbaceous_legumes,91.84,8.41,91.59,17.37,25.68,55.61
Stylosanthes,hamata,CIAT-11220,3,172.0,Genetic bank,F24-3557,Herbaceous_legumes,91.91,8.43,91.57,17.37,26.95,58.29
Stylosanthes,hamata,CIAT-11232,3,173.0,Genetic bank,F24-3558,Herbaceous_legumes,91.22,7.31,92.69,15.09,34.31,54.27
Stylosanthes,hamata,CIAT-11232,3,174.0,Genetic bank,F24-3558,Herbaceous_legumes,91.24,7.32,92.68,15.09,34.96,54.13
Stylosanthes,hamata,CIAT-11762,3,183.0,Genetic bank,F24-3563,Herbaceous_legumes,90.65,7.97,92.03,15.95,39.52,57.94
Stylosanthes,hamata,CIAT-11762,3,184.0,Genetic bank,F24-3563,Herbaceous_legumes,90.76,8.15,91.85,15.95,40.09,59.52
Stylosanthes,hamata,CIAT-11778,3,185.0,Genetic bank,F24-3564,Herbaceous_legumes,91.94,8.61,91.39,16.99,26.82,53.89
Stylosanthes,hamata,CIAT-11778,3,186.0,Genetic bank,F24-3564,Herbaceous_legumes,92.17,8.55,91.45,16.99,25.72,54.54
Stylosanthes,hamata,CIAT-11784,3,187.0,Genetic bank,F24-3565,Herbaceous_legumes,92.2,8.74,91.26,16.92,35.06,58.08
