id_lab,id,tax_name,functional_group,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,net_gas_8h_ml,net_gas_24h_ml,gas_ml_g_dm_incubated_24h,tddm,part_fact,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,ch4_ml_g_dm_incubated_24h,methane_intensity,ch4_ml_g_ndf_digested_24h
F24-3416,CIAT-705,Indigofera suffruticosa,Herbaceous_legumes,91.97,12.68,87.32,33.01,28.05,45.22,29.35,61.94,134.59,74.34,5.52,14.26,17.35,23.36,31.84,149.32
F24-3417,CIAT-707,Alysicarpus ovalifolius,Herbaceous_legumes,90.09,12.07,87.93,25.4,25.44,54.11,30.58,66.26,147.01,65.97,4.49,13.54,16.25,23.89,36.44,125.18
F24-3418,CIAT-712,Clitoria ternatea,Herbaceous_legumes,91.3,7.76,92.24,31.19,25.82,54.88,39.78,78.31,171.45,62.66,3.66,12.57,14.79,25.37,40.73,153.83
F24-3419,CIAT-749,Crotalaria juncea,Herbaceous_legumes,91.75,11.55,88.45,27.95,28.75,51.0,35.74,67.64,147.39,65.15,4.43,14.03,15.59,22.98,35.43,150.15
F24-3420,CIAT-768,Clitoria ternatea,Herbaceous_legumes,92.17,8.7,91.3,29.46,25.73,54.21,33.53,74.13,160.77,64.82,4.03,13.49,15.73,25.3,39.08,134.6
F24-3421,CIAT-772,Clitoria ternatea,Herbaceous_legumes,91.49,6.18,93.82,18.97,16.74,67.42,32.3,75.07,163.99,65.1,4.06,13.46,14.99,24.42,37.92,77.57
F24-3422,CIAT-819,Indigofera suffruticosa,Herbaceous_legumes,90.76,17.06,82.94,26.78,26.09,53.05,32.19,63.25,139.32,60.93,4.39,14.22,16.94,23.64,39.4,201.43
F24-3423,CIAT-905,Canavalia brasiliensis,Herbaceous_legumes,91.88,14.53,85.47,24.61,17.08,36.56,38.42,76.32,166.0,63.42,3.87,12.08,15.4,25.65,40.88,908.11
F24-3424,CIAT-913,Cajanus cajan,Shrub_Trees,94.77,9.21,90.79,25.18,40.42,60.86,23.96,58.27,122.89,60.86,5.01,13.53,16.14,19.76,32.83,102.87
F24-3425,CIAT-955,Clitoria ternatea,Herbaceous_legumes,91.82,5.7,94.3,22.01,21.55,61.67,37.78,84.29,183.5,59.65,3.29,12.82,14.54,26.67,45.45,138.42
F24-3426,CIAT-989,Indigofera hirsuta,Herbaceous_legumes,92.37,13.66,86.34,25.35,47.63,53.1,27.27,46.83,101.37,52.31,5.15,15.57,16.78,16.97,32.85,160.5
F24-3427,CIAT-1257,Stylosanthes scabra,Herbaceous_legumes,92.72,9.52,90.48,17.96,35.9,69.91,36.17,69.8,150.5,58.95,4.36,15.71,17.6,26.55,46.32,103.03
F24-3428,CIAT-3240,Desmodium cinereum,Herbaceous_legumes,92.86,12.01,87.99,22.63,24.91,56.34,33.32,52.78,113.63,54.72,4.84,19.2,19.67,22.33,40.86,246.37
F24-3429,CIAT-3522,Desmodium incanum,Herbaceous_legumes,93.28,11.05,88.95,17.94,47.97,64.48,24.32,38.72,82.96,36.5,4.42,17.03,18.51,15.33,42.18,-1605.11
F24-3430,CIAT-4134,Macroptilium lathyroides,Herbaceous_legumes,91.91,14.36,85.64,22.09,24.29,43.65,40.55,75.25,163.66,65.38,4.03,17.4,18.91,30.91,47.73,-81.53
F24-3431,CIAT-4279,Vigna umbellata,Herbaceous_legumes,91.04,11.02,88.98,25.72,13.14,52.82,38.53,75.89,166.66,66.91,4.04,17.63,19.09,31.79,47.82,182.93
F24-3432,CIAT-5124,Centrosema molle x acutifolium,Herbaceous_legumes,91.54,10.36,89.64,25.78,37.61,65.51,34.01,56.77,123.97,56.75,4.62,17.54,18.89,23.4,42.1,116.73
F24-3433,CIAT-5234,Centrosema brasilianum,Herbaceous_legumes,92.53,11.22,88.78,17.22,33.38,60.63,37.44,67.17,145.12,62.56,4.32,15.51,17.45,25.29,40.52,111.95
F24-3434,CIAT-7292,Chamaecrista desvauxii,Herbaceous_legumes,92.0,9.42,90.58,31.83,44.14,59.53,28.85,49.0,106.45,48.05,4.55,15.74,17.19,18.27,38.18,285.98
F24-3435,CIAT-7317,Canavalia sp.,Herbaceous_legumes,92.45,19.06,80.94,23.88,24.73,52.26,36.07,63.9,138.17,70.24,5.14,15.92,17.4,24.0,34.3,110.77
F24-3436,CIAT-7322,Canavalia sp.,Herbaceous_legumes,89.37,15.19,84.81,21.52,18.16,47.54,39.02,77.02,172.33,74.64,4.37,17.21,19.04,32.75,43.86,150.58
