id_lab,n_replicates_gas,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
Dieta-1_Exp1,6,14.42,14.69,71.84,34.9
Dieta-1_Exp2,8,13.66,14.43,70.34,33.33
Dieta-2_Exp1,6,13.87,14.36,71.36,30.16
Dieta-2_Exp2,7,13.89,14.47,81.9,20.63
F24-3416,9,14.26,17.35,31.84,74.34
F24-3417,9,13.54,16.25,36.44,65.97
F24-3418,9,12.57,14.79,40.73,62.66
F24-3419,9,14.03,15.59,35.43,65.15
F24-3420,9,13.49,15.73,39.08,64.82
F24-3421,9,13.46,14.99,37.92,65.1
F24-3422,8,14.22,16.94,39.4,60.93
F24-3423,9,12.08,15.4,40.88,63.42
F24-3424,9,13.53,16.14,32.83,60.86
F24-3425,9,12.82,14.54,45.45,59.65
F24-3426,9,15.57,16.78,32.85,52.31
F24-3427,9,15.71,17.6,46.32,58.95
F24-3428,9,19.2,19.67,40.86,54.72
F24-3429,9,17.03,18.51,42.18,36.5
F24-3430,9,17.4,18.91,47.73,65.38
F24-3431,9,17.63,19.09,47.82,66.91
F24-3432,8,17.54,18.89,42.1,56.75
F24-3433,8,15.51,17.45,40.52,62.56
F24-3434,9,15.74,17.19,38.18,48.05
F24-3435,9,15.92,17.4,34.3,70.24
F24-3436,9,17.21,19.04,43.86,74.64
F24-3437,9,16.06,17.66,34.71,53.95
F24-3438,9,16.63,18.01,47.75,65.71
F24-3439,6,16.55,18.19,44.69,47.16
F24-3440,8,16.48,17.45,44.47,57.36
F24-3441,12,17.38,18.66,44.37,65.53
F24-3442,12,17.82,19.58,54.11,64.83
F24-3443,6,17.9,19.08,56.38,66.8
F24-3444,6,17.65,21.04,54.82,64.54
F24-3445,6,16.63,19.18,49.52,65.27
F24-3446,6,15.45,17.82,41.04,64.89
F24-3447,6,16.68,18.6,46.55,73.8
F24-3448,6,16.23,18.63,44.18,66.01
F24-3449,6,19.0,20.51,46.97,62.07
F24-3450,5,18.76,20.59,42.3,62.49
F24-3451,6,17.22,20.47,58.52,47.3
F24-3452,5,16.98,20.56,54.13,49.94
F24-3453,12,16.52,19.17,44.01,65.39
F24-3454,6,15.47,17.84,48.75,48.5
F24-3455,5,18.58,20.43,48.94,63.34
F24-3456,6,15.12,16.69,38.2,42.54
F24-3457,6,18.25,20.76,52.29,59.58
F24-3458,6,18.13,20.82,50.83,60.12
F24-3459,6,19.38,22.66,49.11,68.02
F24-3460,6,18.63,20.19,50.58,69.15
F24-3461,6,17.35,18.52,43.23,56.47
F24-3462,6,18.7,20.48,49.48,53.77
F24-3463,5,17.36,18.9,57.24,50.87
F24-3464,6,17.95,19.36,46.43,61.82
F24-3465,6,16.03,18.91,44.69,43.26
F24-3466,6,17.02,19.21,51.12,68.2
F24-3467,4,16.85,18.0,45.14,28.14
F24-3468,6,17.05,19.0,47.26,72.64
F24-3469,6,15.9,18.79,48.31,67.34
F24-3470,6,15.17,18.02,46.12,59.25
F24-3471,9,12.98,16.25,46.61,58.55
F24-3472,9,13.99,16.96,52.27,56.88
F24-3473,9,13.6,16.23,42.43,42.85
F24-3474,9,13.66,16.31,46.39,38.4
F24-3475,9,14.79,17.49,50.03,49.72
F24-3476,9,14.17,16.84,46.29,40.14
F24-3477,9,15.17,17.47,48.83,66.12
F24-3478,9,15.12,17.56,51.29,63.39
F24-3479,9,12.8,15.61,37.55,62.07
F24-3480,9,15.26,18.43,55.22,59.09
F24-3481,9,14.23,15.96,42.47,50.31
F24-3482,8,15.28,18.25,47.47,58.33
F24-3483,8,14.9,16.94,48.91,55.66
F24-3484,9,14.51,16.92,53.02,55.28
F24-3485,9,15.41,18.54,54.18,59.86
F24-3486,9,16.06,21.49,60.94,53.89
F24-3487,9,11.69,15.84,36.23,61.12
F24-3488,9,13.41,16.45,38.58,51.23
F24-3489,9,14.5,16.9,34.19,57.17
F24-3490,9,15.2,17.3,44.91,49.62
F24-3491,9,14.06,16.35,42.05,49.75
F24-3492,9,14.78,17.6,43.52,63.37
F24-3493,9,15.71,17.7,44.5,59.74
F24-3494,9,15.48,17.96,49.24,48.76
F24-3495,9,15.19,17.68,49.01,46.81
F24-3496,9,15.91,18.28,49.18,49.9
F24-3497,9,15.61,18.06,55.12,48.23
F24-3498,9,15.31,17.59,48.49,53.2
F24-3499,9,15.26,17.55,43.21,54.86
F24-3500,9,14.24,17.2,39.74,52.41
F24-3501,9,14.99,16.09,39.14,63.66
F24-3502,9,14.13,15.13,33.82,54.27
F24-3503,9,15.42,16.28,37.31,64.11
F24-3504,9,13.07,14.31,32.52,44.81
F24-3505,9,14.38,15.9,43.95,51.27
F24-3506,9,14.14,15.62,38.27,67.43
F24-3507,9,14.71,15.94,37.98,65.75
F24-3508,9,13.02,15.11,38.26,65.3
F24-3509,9,15.43,17.01,40.0,57.96
F24-3510,9,13.89,15.34,39.36,56.36
F24-3511,9,12.71,14.72,35.46,62.07
F24-3512,9,13.8,15.98,42.61,55.7
F24-3513,9,13.8,15.58,37.14,55.29
F24-3514,9,15.13,17.95,47.36,53.1
F24-3515,9,13.34,16.14,40.3,66.3
F24-3516,9,14.32,15.06,37.31,60.43
F24-3517,9,13.74,15.01,46.93,35.54
F24-3518,9,12.47,14.73,39.86,57.7
F24-3519,9,14.92,15.88,42.07,57.17
F24-3520,9,14.86,15.96,43.2,59.54
F24-3521,9,14.0,15.47,44.51,43.56
F24-3522,9,13.89,14.44,31.77,51.99
F24-3523,9,13.09,14.92,40.72,51.33
F24-3524,8,13.38,14.61,24.79,36.77
F24-3525,9,13.66,14.94,35.36,38.96
F24-3526,8,13.58,15.12,43.14,51.68
F24-3527,9,13.71,15.35,41.67,58.09
F24-3528,8,15.36,16.83,37.41,51.49
F24-3529,9,15.24,16.87,35.07,53.81
F24-3530,9,12.26,13.68,33.56,44.14
F24-3531,9,13.99,15.44,37.12,52.16
F24-3532,9,13.63,14.71,31.71,61.87
F24-3533,9,13.48,15.7,46.27,42.36
F24-3534,8,12.9,14.73,37.06,35.6
F24-3535,9,12.34,14.13,31.7,42.56
F24-3536,8,12.51,14.68,38.16,48.67
F24-3537,9,12.96,15.24,44.36,39.27
F24-3538,9,14.49,15.65,50.33,41.65
F24-3539,6,12.82,14.22,64.24,39.14
F24-3540,5,12.74,14.4,52.16,58.12
F24-3541,9,13.22,14.72,54.15,56.26
F24-3542,7,12.96,14.21,52.62,41.78
F24-3543,7,12.77,14.31,58.93,39.5
F24-3544,9,11.83,14.23,64.29,36.15
F24-3546,6,13.22,14.24,52.88,40.86
F24-3547,6,11.4,12.03,40.06,38.22
F24-3548,6,12.3,13.71,61.98,50.74
F24-3549,9,12.27,13.77,57.24,51.58
F24-3550,9,12.26,13.8,50.74,45.3
F24-3551,9,12.31,13.63,56.51,42.54
F24-3552,9,12.52,13.58,49.55,50.7
F24-3553,9,12.81,14.09,52.82,51.6
F24-3554,9,12.89,14.22,52.85,47.39
F24-3555,6,12.9,14.58,57.28,48.04
F24-3556,9,13.06,14.32,54.75,51.59
F24-3557,9,12.89,14.22,50.46,55.83
F24-3558,9,12.58,14.31,61.27,48.31
F24-3559,9,12.37,13.81,53.3,47.02
F24-3560,9,12.21,12.62,50.02,41.34
F24-3561,9,12.07,12.87,47.32,48.45
F24-3562,9,12.26,13.46,54.81,46.09
F24-3563,9,12.92,14.23,68.27,40.89
F24-3564,9,12.86,14.31,55.78,51.18
F24-3565,9,12.97,14.35,61.02,45.06
F24-3566,9,12.76,14.12,61.0,43.83
F24-3567,9,12.37,13.56,62.04,42.08
F24-3568,6,12.65,14.01,52.95,53.09
F24-3569,7,12.26,13.77,43.51,62.5
F24-3570,9,12.76,14.03,48.43,58.27
F24-3571,9,12.68,14.03,51.07,55.27
F24-3572,9,12.64,13.98,49.75,56.55
F24-3573,9,12.94,14.4,57.46,51.87
F24-3574,9,13.13,14.65,56.36,55.16
F24-3575,9,13.02,14.61,54.9,55.37
F24-3576,9,12.93,14.58,49.69,59.37
F24-3577,9,12.92,14.07,45.31,52.58
