id_lab,id,subset,no,requisitioner,tax_name,functional_group,n_replicates_nutrition,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,n_replicates_gas,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
F24-3602,CIAT-BH-08-1149,1,91.0,Breeding,Urochloa humidicola,Grass,2,94.43,13.32,86.68,7.53,28.61,68.73,9.0,16.71,18.65,55.06,58.29
F24-3603,CIAT-BH-16-0550,1,93.0,Breeding,Urochloa humidicola,Grass,2,94.11,11.52,88.48,6.43,30.15,69.16,9.0,16.28,18.26,58.06,56.56
F24-3604,CIAT-BH-16-0562,1,95.0,Breeding,Urochloa humidicola,Grass,2,95.17,11.17,88.83,5.94,30.47,69.59,8.0,15.85,18.02,57.88,56.42
F24-3605,CIAT-BH-16-3249,1,97.0,Breeding,Urochloa humidicola,Grass,2,95.82,12.04,87.96,6.65,28.86,69.65,9.0,16.17,18.16,55.41,59.07
F24-3606,CIAT-BH-16-B-0733,1,99.0,Breeding,Urochloa humidicola,Grass,2,96.31,12.64,87.36,8.1,29.36,68.83,9.0,16.61,18.55,54.65,57.87
F24-3607,CIAT-BH-16-B-0741,1,101.0,Breeding,Urochloa humidicola,Grass,2,96.67,14.23,85.77,7.5,28.14,65.68,9.0,16.41,18.67,53.66,58.82
F24-3608,CIAT-BH-16-B-1194,1,103.0,Breeding,Urochloa humidicola,Grass,2,96.74,11.91,88.09,5.47,29.54,67.77,9.0,15.93,17.98,56.09,57.89
F24-3609,CIAT-BH-16-B-1618,1,105.0,Breeding,Urochloa humidicola,Grass,2,97.16,13.98,86.02,8.13,28.05,66.39,9.0,16.37,17.53,49.87,55.96
F24-3610,CIAT-BH-16-B-1707,1,107.0,Breeding,Urochloa humidicola,Grass,2,96.95,10.52,89.48,5.97,26.74,68.59,9.0,15.83,17.95,58.33,56.99
F24-3582,CIAT-BR-02-1752,1,51.0,Breeding,Urochloa interespecific,Grass,2,96.03,15.7,84.3,10.92,21.14,55.41,9.0,13.98,14.61,33.83,67.39
F24-3583,CIAT-BR-02-1794,1,53.0,Breeding,Urochloa interespecific,Grass,2,97.05,15.02,84.98,9.39,21.84,55.76,9.0,13.79,14.51,35.77,63.97
F24-3584,CIAT-BR-06-0423,1,55.0,Breeding,Urochloa interespecific,Grass,2,96.77,15.97,84.03,11.01,22.02,57.36,8.0,14.61,15.14,35.98,64.27
F24-3585,CIAT-BR-09-1232,1,57.0,Breeding,Urochloa interespecific,Grass,2,97.24,13.8,86.2,10.08,21.03,55.66,8.0,13.76,14.37,36.04,66.64
F24-3586,CIAT-BR-12-4951,1,59.0,Breeding,Urochloa interespecific,Grass,2,95.75,15.48,84.52,11.1,23.29,56.86,9.0,14.34,15.02,35.76,65.93
F24-3587,CIAT-BR-15-0722,1,61.0,Breeding,Urochloa interespecific,Grass,2,95.22,14.06,85.94,10.31,26.18,60.21,9.0,14.28,14.74,36.15,60.89
F24-3588,CIAT-BR-15-6487,1,63.0,Breeding,Urochloa interespecific,Grass,2,95.07,13.57,86.43,9.61,24.55,59.73,8.0,14.01,14.41,36.06,61.15
F24-3589,CIAT-BR-19-0029,1,65.0,Breeding,Urochloa interespecific,Grass,2,96.07,14.13,85.87,10.08,23.98,58.41,8.0,13.94,14.87,38.23,62.0
F24-3590,CIAT-BR-19-0423,1,67.0,Breeding,Urochloa interespecific,Grass,2,95.35,13.9,86.1,10.11,24.49,59.22,9.0,13.93,14.41,37.16,63.48
F25-0994,CIAT-CIAT-16048,1,269.0,Breeding,Megathyrsus maximus,Grass,2,97.56,15.28,84.72,17.34,32.0,67.1,8.0,15.24,16.67,48.72,48.5
F25-0997,CIAT-CIAT-16051,1,275.0,Breeding,Megathyrsus maximus,Grass,2,96.15,13.98,86.02,14.91,31.61,68.22,9.0,14.93,16.89,53.87,45.79
F24-3611,CIAT-CIAT-16888,1,109.0,Breeding,Urochloa humidicola,Grass,2,96.78,11.69,88.31,6.11,30.81,70.0,9.0,16.38,18.25,62.67,53.26
F25-1005,CIAT-CIAT-6799,1,291.0,Breeding,Megathyrsus maximus,Grass,2,96.01,12.66,87.34,13.54,33.7,71.55,9.0,14.92,16.22,51.97,42.1
F25-1001,CIAT-CIAT-6890,1,283.0,Breeding,Megathyrsus maximus,Grass,2,96.17,12.32,87.68,15.87,34.27,71.39,9.0,14.33,16.21,47.38,52.75
F24-3591,CIAT-CIAT-6962,1,69.0,Breeding,Megathyrsus maximus,Grass,2,95.73,14.25,85.75,8.59,32.14,67.62,9.0,14.82,15.87,40.73,56.51
F24-3592,CIAT-Mulato-II,1,71.0,Breeding,Urochloa interespecific,Grass,2,96.66,14.97,85.03,11.85,24.36,59.42,9.0,14.21,14.64,34.27,65.32
F25-1008,CIAT-PM-21-0047,1,297.0,Breeding,Megathyrsus maximus,Grass,2,96.13,14.93,85.07,14.15,32.29,65.85,9.0,14.43,16.14,50.93,48.46
F25-1003,CIAT-PM-21-0052,1,287.0,Breeding,Megathyrsus maximus,Grass,2,95.44,14.13,85.87,15.41,31.81,65.13,9.0,14.21,16.2,47.43,50.41
F25-0990,CIAT-PM-21-0053,1,261.0,Breeding,Megathyrsus maximus,Grass,2,95.8,11.41,88.59,14.92,32.66,67.93,9.0,14.63,16.41,49.04,51.43
F25-1006,CIAT-PM-21-0055,1,293.0,Breeding,Megathyrsus maximus,Grass,2,96.3,13.33,86.67,16.48,31.62,65.68,9.0,14.16,16.3,49.43,46.4
