id_lab,id,subset,no,requisitioner,tax_name,functional_group,n_replicates_nutrition,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,n_replicates_gas,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
F24-3469,CIAT-10647,1,197.0,Genetic_bank,Stylosanthes scabra,Herbaceous_legumes,2,92.93,9.36,90.64,20.02,32.44,56.19,6.0,15.9,18.79,48.31,67.34
F24-3470,CIAT-11194,1,199.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,2,92.89,9.61,90.39,21.18,30.18,55.94,6.0,15.17,18.02,46.12,59.25
F24-3471,CIAT-11999,1,201.0,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,2,93.5,10.46,89.54,20.09,33.9,61.32,9.0,12.98,16.25,46.61,58.55
F24-3472,CIAT-12318,1,203.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,2,94.1,11.08,88.92,22.05,29.34,55.26,9.0,13.99,16.96,52.27,56.88
F24-3427,CIAT-1257,1,113.0,Genetic_bank,Stylosanthes scabra,Herbaceous_legumes,2,92.72,9.52,90.48,17.96,35.9,69.91,9.0,15.71,17.6,46.32,58.95
F24-3473,CIAT-13575,1,205.0,Genetic_bank,Desmodium incanum,Herbaceous_legumes,2,94.14,11.52,88.48,23.17,44.09,57.61,9.0,13.6,16.23,42.43,42.85
F24-3474,CIAT-13609,1,207.0,Genetic_bank,Desmodium incanum,Herbaceous_legumes,2,93.4,11.58,88.42,20.01,40.85,58.78,9.0,13.66,16.31,46.39,38.4
F24-3475,CIAT-15551,1,209.0,Genetic_bank,Centrosema molle,Herbaceous_legumes,2,93.75,10.48,89.52,22.31,23.67,61.59,9.0,14.79,17.49,50.03,49.72
F24-3478,CIAT-17365,1,215.0,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,2,93.39,7.63,92.37,32.12,23.37,51.72,9.0,15.12,17.56,51.29,63.39
F24-3479,CIAT-17451,1,217.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,2,91.64,19.48,80.53,22.34,20.08,49.14,9.0,12.8,15.61,37.55,62.07
F24-3480,CIAT-17775,1,219.0,Genetic_bank,Christia obcordata,Herbaceous_legumes,2,94.3,10.72,89.28,16.05,26.04,54.97,9.0,15.26,18.43,55.22,59.09
F24-3482,CIAT-18044,1,223.0,Genetic_bank,Christia sp.,Herbaceous_legumes,2,93.67,14.44,85.56,21.0,22.69,54.68,8.0,15.28,18.25,47.47,58.33
F24-3484,CIAT-18447,1,227.0,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,2,92.93,7.5,92.5,29.41,26.2,54.05,9.0,14.51,16.92,53.02,55.28
F24-3485,CIAT-18455,1,229.0,Genetic_bank,Christia obcordata,Herbaceous_legumes,2,93.2,14.45,85.55,21.77,22.27,52.43,9.0,15.41,18.54,54.18,59.86
F24-3486,CIAT-18707,1,231.0,Genetic_bank,Crotalaria pallida,Herbaceous_legumes,2,92.83,7.44,92.56,37.5,22.03,51.93,9.0,16.06,21.49,60.94,53.89
F24-3487,CIAT-18749,1,233.0,Genetic_bank,Arachis pintoi,Herbaceous_legumes,2,92.7,14.32,85.68,21.13,27.42,51.53,9.0,11.69,15.84,36.23,61.12
F24-3488,CIAT-18813,1,235.0,Genetic_bank,Crotalaria nitens,Herbaceous_legumes,2,91.8,16.91,83.09,17.16,28.69,52.37,9.0,13.41,16.45,38.58,51.23
F24-3489,CIAT-18848,1,237.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,2,94.43,24.5,75.5,19.99,28.13,48.33,9.0,14.5,16.9,34.19,57.17
F24-3490,CIAT-18862,1,239.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,2,93.07,16.36,83.65,24.58,21.72,49.43,9.0,15.2,17.3,44.91,49.62
F24-3492,CIAT-19038,1,243.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,2,90.17,16.04,83.96,23.78,17.61,47.65,9.0,14.78,17.6,43.52,63.37
F24-3493,CIAT-19118,1,245.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,2,92.92,11.39,88.61,22.8,24.18,44.31,9.0,15.71,17.7,44.5,59.74
F24-3494,CIAT-19127,1,247.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,2,92.25,10.39,89.62,19.5,34.91,57.93,9.0,15.48,17.96,49.24,48.76
F24-3495,CIAT-19128,1,249.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,2,92.69,9.45,90.55,17.09,40.01,61.97,9.0,15.19,17.68,49.01,46.81
F24-3496,CIAT-19129,1,251.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,2,93.46,11.98,88.02,17.81,36.71,62.08,9.0,15.91,18.28,49.18,49.9
F24-3497,CIAT-19133,1,253.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,2,93.13,11.81,88.19,17.49,35.06,55.15,9.0,15.61,18.06,55.12,48.23
F24-3498,CIAT-19137,1,255.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,2,93.77,10.96,89.04,18.13,33.34,57.07,9.0,15.31,17.59,48.49,53.2
F24-3499,CIAT-19138,1,257.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,2,92.69,11.37,88.63,21.32,32.54,54.03,9.0,15.26,17.55,43.21,54.86
F24-3500,CIAT-19139,1,259.0,Genetic_bank,Alysicarpus ovalifolius,Herbaceous_legumes,2,94.61,12.04,87.96,18.54,35.03,58.31,9.0,14.24,17.2,39.74,52.41
F24-3501,CIAT-19213,1,311.0,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,2,93.84,11.79,88.21,31.12,37.56,51.31,9.0,14.99,16.09,39.14,63.66
F24-3502,CIAT-19421,1,313.0,Genetic_bank,Uraria lagopodioides,Herbaceous_legumes,2,94.09,18.68,81.32,20.04,27.8,46.04,9.0,14.13,15.13,33.82,54.27
F24-3504,CIAT-19667,1,317.0,Genetic_bank,Indigofera hirsuta,Herbaceous_legumes,2,92.42,9.96,90.04,26.0,37.56,50.53,9.0,13.07,14.31,32.52,44.81
F24-3505,CIAT-19673,1,319.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,2,92.51,11.98,88.02,25.41,27.8,53.08,9.0,14.38,15.9,43.95,51.27
F24-3507,CIAT-20093,1,323.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,2,94.36,12.87,87.13,24.07,16.58,50.41,9.0,14.71,15.94,37.98,65.75
F24-3508,CIAT-20113,1,325.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,2,94.64,15.79,84.21,18.07,15.92,48.43,9.0,13.02,15.11,38.26,65.3
F24-3510,CIAT-20298,1,329.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,2,93.66,16.19,83.81,22.85,21.72,43.09,9.0,13.89,15.34,39.36,56.36
F24-3511,CIAT-20305,1,331.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,2,93.54,18.34,81.66,23.35,19.38,39.7,9.0,12.71,14.72,35.46,62.07
F24-3512,CIAT-20803,1,333.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,2,93.38,15.93,84.06,22.07,15.58,49.53,9.0,13.8,15.98,42.61,55.7
F24-3513,CIAT-21031,1,335.0,Genetic_bank,Christia obcordata,Herbaceous_legumes,2,94.06,19.67,80.33,20.42,8.94,46.57,9.0,13.8,15.58,37.14,55.29
F24-3514,CIAT-21128,1,337.0,Genetic_bank,Crotalaria pallida,Herbaceous_legumes,2,93.46,10.34,89.66,29.38,36.54,43.84,9.0,15.13,17.95,47.36,53.1
F24-3515,CIAT-21212,1,339.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,2,93.67,15.0,85.0,22.98,20.77,39.82,9.0,13.34,16.14,40.3,66.3
F24-3518,CIAT-21565,1,345.0,Genetic_bank,Chamaecrista rotundifolia,Herbaceous_legumes,2,92.64,7.89,92.11,19.59,33.72,58.3,9.0,12.47,14.73,39.86,57.7
F24-3521,CIAT-22475,1,351.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,2,94.16,12.42,87.57,17.41,31.68,64.15,9.0,14.0,15.47,44.51,43.56
F24-3523,CIAT-22520,1,355.0,Genetic_bank,Arachis pusilla,Herbaceous_legumes,2,93.06,14.93,85.07,20.36,22.79,61.22,9.0,13.09,14.92,40.72,51.33
F24-3526,CIAT-22754,1,361.0,Genetic_bank,Lablab purpureus,Herbaceous_legumes,2,91.68,12.14,87.86,30.03,24.88,51.34,8.0,13.58,15.12,43.14,51.68
F24-3527,CIAT-22915,1,363.0,Genetic_bank,Aeschynomene villosa,Herbaceous_legumes,2,92.06,7.92,92.07,27.06,34.54,64.51,9.0,13.71,15.35,41.67,58.09
F24-3530,CIAT-23761,1,369.0,Genetic_bank,Uraria picta,Herbaceous_legumes,2,95.0,13.68,86.32,18.09,26.64,61.9,9.0,12.26,13.68,33.56,44.14
F24-3531,CIAT-24360,1,371.0,Genetic_bank,Vigna umbellata,Herbaceous_legumes,2,92.73,17.22,82.78,23.17,28.73,53.68,9.0,13.99,15.44,37.12,52.16
F24-3532,CIAT-24466,1,373.0,Genetic_bank,Vigna umbellata,Herbaceous_legumes,2,92.86,19.77,80.23,22.39,20.0,37.53,9.0,13.63,14.71,31.71,61.87
F24-3533,CIAT-32246,1,375.0,Genetic_bank,Chamaecrista nictitans,Herbaceous_legumes,2,91.54,8.03,91.97,26.83,26.64,79.4,9.0,13.48,15.7,46.27,42.36
F24-3428,CIAT-3240,1,115.0,Genetic_bank,Desmodium cinereum,Herbaceous_legumes,4,92.86,12.01,87.99,22.63,24.91,56.34,9.0,19.2,19.67,40.86,54.72
