requisitioner,n_replicates_gas,subset,id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm,ranking,quartile
Genetic_bank,9,1,CIAT-7322,Canavalia sp.,Herbaceous_legumes,17.21,19.04,43.86,74.64,1,Q1
Genetic_bank,9,1,CIAT-705,Indigofera suffruticosa,Herbaceous_legumes,14.26,17.35,31.84,74.34,2,Q1
Genetic_bank,6,1,CIAT-7858,Crotalaria incana,Herbaceous_legumes,16.68,18.6,46.55,73.8,3,Q1
Genetic_bank,6,1,CIAT-9982,Crotalaria incana,Herbaceous_legumes,17.05,19.0,47.26,72.64,4,Q1
LMF,3,1,AMC-ICARDA-156302,Trifolium repens,Herbaceous_legumes,15.97,16.19,43.67,72.0,5,Q1
Genetic_bank,9,1,CIAT-7317,Canavalia sp.,Herbaceous_legumes,15.92,17.4,34.3,70.24,6,Q1
Genetic_bank,6,1,CIAT-9336,Clitoria ternatea,Herbaceous_legumes,18.63,20.19,50.58,69.15,7,Q1
Genetic_bank,8,2,CIAT-22770,Lablab purpureus,Herbaceous_legumes,14.1,15.65,47.68,68.75,8,Q1
Genetic_bank,8,2,CIAT-8013,Crotalaria paulina,Herbaceous_legumes,13.18,14.46,40.57,68.31,9,Q1
Genetic_bank,9,3,CIAT-8816,Crotalaria micans,Herbaceous_legumes,13.71,14.77,46.81,68.2,10,Q1
Genetic_bank,6,1,CIAT-9530,Crotalaria maypurensis,Herbaceous_legumes,17.02,19.21,51.12,68.2,11,Q1
Genetic_bank,6,1,CIAT-9288,Indigofera suffruticosa,Herbaceous_legumes,19.38,22.66,49.11,68.02,12,Q1
Genetic_bank,9,1,CIAT-19895,Aeschynomene americana,Herbaceous_legumes,14.14,15.62,38.27,67.43,13,Q1
Genetic_bank,6,1,CIAT-10647,Stylosanthes scabra,Herbaceous_legumes,15.9,18.79,48.31,67.34,14,Q1
Genetic_bank,9,1,CIAT-4279,Vigna umbellata,Herbaceous_legumes,17.63,19.09,47.82,66.91,15,Q1
Genetic_bank,6,1,CIAT-7759,Clitoria ternatea,Herbaceous_legumes,17.9,19.08,56.38,66.8,16,Q1
Genetic_bank,9,1,CIAT-21212,Canavalia sp.,Herbaceous_legumes,13.34,16.14,40.3,66.3,17,Q1
Genetic_bank,9,1,CIAT-17091,Crotalaria micans,Herbaceous_legumes,15.17,17.47,48.83,66.12,18,Q1
Genetic_bank,6,1,CIAT-7972,Canavalia brasiliensis,Herbaceous_legumes,16.23,18.63,44.18,66.01,19,Q1
Genetic_bank,9,1,CIAT-707,Alysicarpus ovalifolius,Herbaceous_legumes,13.54,16.25,36.44,65.97,20,Q1
Genetic_bank,9,1,CIAT-20093,Canavalia sp.,Herbaceous_legumes,14.71,15.94,37.98,65.75,21,Q1
Genetic_bank,9,1,CIAT-7469,Clitoria ternatea,Herbaceous_legumes,16.63,18.01,47.75,65.71,22,Q1
Genetic_bank,12,1,CIAT-7714,Alysicarpus glumaceus,Herbaceous_legumes,17.38,18.66,44.37,65.53,23,Q1
Genetic_bank,12,1,CIAT-8719,Canavalia sp. ,Herbaceous_legumes,16.52,19.17,44.01,65.39,24,Q1
Genetic_bank,9,1,CIAT-4134,Macroptilium lathyroides,Herbaceous_legumes,17.4,18.91,47.73,65.38,25,Q1
Genetic_bank,9,1,CIAT-20113,Canavalia sp.,Herbaceous_legumes,13.02,15.11,38.26,65.3,26,Q1
Genetic_bank,6,1,CIAT-7792,Chamaecrista rotundifolia,Herbaceous_legumes,16.63,19.18,49.52,65.27,27,Q1
Genetic_bank,9,1,CIAT-749,Crotalaria juncea,Herbaceous_legumes,14.03,15.59,35.43,65.15,28,Q1
Genetic_bank,9,1,CIAT-772,Clitoria ternatea,Herbaceous_legumes,13.46,14.99,37.92,65.1,29,Q1
Genetic_bank,8,2,CIAT-20304,Canavalia brasiliensis,Herbaceous_legumes,13.52,16.93,47.76,65.02,30,Q1
Genetic_bank,7,4,CIAT-22423,Vigna unguiculata,Herbaceous_legumes,13.5,14.82,42.49,64.95,31,Q1
Genetic_bank,6,1,CIAT-7816,Indigofera spicata,Herbaceous_legumes,15.45,17.82,41.04,64.89,32,Q1
Genetic_bank,12,1,CIAT-7757,Clitoria ternatea,Herbaceous_legumes,17.82,19.58,54.11,64.83,33,Q1
Genetic_bank,9,1,CIAT-768,Clitoria ternatea,Herbaceous_legumes,13.49,15.73,39.08,64.82,34,Q1
Genetic_bank,9,2,CIAT-9323,Crotalaria vitellina,Herbaceous_legumes,14.66,15.74,51.69,64.57,35,Q1
Genetic_bank,6,1,CIAT-7790,Crotalaria pallida,Herbaceous_legumes,17.65,21.04,54.82,64.54,36,Q1
Genetic_bank,9,2,CIAT-22768,Lablab purpureus,Herbaceous_legumes,14.17,15.71,49.54,64.18,37,Q1
Genetic_bank,9,2,CIAT-923,Galactia latisiliqua,Herbaceous_legumes,14.04,16.3,49.82,63.67,38,Q1
Genetic_bank,9,1,CIAT-19213,Clitoria ternatea,Herbaceous_legumes,14.99,16.09,39.14,63.66,39,Q1
Genetic_bank,9,2,CIAT-9537,Crotalaria sagittalis,Herbaceous_legumes,13.62,14.68,43.17,63.64,40,Q1
Genetic_bank,6,2,CIAT-22048,Aeschynomene americana,Herbaceous_legumes,13.2,14.47,44.16,63.48,41,Q1
Genetic_bank,9,1,CIAT-905,Canavalia brasiliensis,Herbaceous_legumes,12.08,15.4,40.88,63.42,42,Q1
Genetic_bank,9,1,CIAT-17365,Clitoria ternatea,Herbaceous_legumes,15.12,17.56,51.29,63.39,43,Q1
Genetic_bank,5,1,CIAT-8819,Coursetia caribaea,Herbaceous_legumes,18.58,20.43,48.94,63.34,44,Q1
Genetic_bank,8,2,CIAT-17360,Alysicarpus vaginalis,Herbaceous_legumes,15.72,16.94,39.91,62.8,45,Q1
Genetic_bank,9,1,CIAT-712,Clitoria ternatea,Herbaceous_legumes,12.57,14.79,40.73,62.66,46,Q1
Genetic_bank,9,2,CIAT-466,Vigna umbellata,Herbaceous_legumes,14.22,15.95,46.59,62.6,47,Q1
Genetic_bank,8,1,CIAT-5234,Centrosema brasilianum,Herbaceous_legumes,15.51,17.45,40.52,62.56,48,Q1
Genetic_bank,5,1,CIAT-8402,Indigofera suffruticosa,Herbaceous_legumes,18.76,20.59,42.3,62.49,49,Q1
Genetic_bank,9,2,CIAT-17768,Clitoria ternatea,Herbaceous_legumes,14.83,16.26,54.62,62.31,50,Q1
Genetic_bank,9,2,CIAT-18430,Alysicarpus vaginalis,Herbaceous_legumes,15.38,16.74,46.1,62.24,51,Q1
Genetic_bank,9,1,CIAT-20305,Canavalia sp.,Herbaceous_legumes,12.71,14.72,35.46,62.07,52,Q1
Genetic_bank,9,1,CIAT-17451,Canavalia sp.,Herbaceous_legumes,12.8,15.61,37.55,62.07,53,Q1
Genetic_bank,6,1,CIAT-8205,Indigofera suffruticosa,Herbaceous_legumes,19.0,20.51,46.97,62.07,54,Q1
Genetic_bank,9,1,CIAT-24466,Vigna umbellata,Herbaceous_legumes,13.63,14.71,31.71,61.87,55,Q1
Genetic_bank,6,1,CIAT-9433,Clitoria ternatea,Herbaceous_legumes,17.95,19.36,46.43,61.82,56,Q1
Genetic_bank,7,2,CIAT-7813,Indigofera cryptantha,Herbaceous_legumes,14.09,17.11,57.58,61.75,57,Q1
Genetic_bank,9,1,CIAT-18749,Arachis pintoi,Herbaceous_legumes,11.69,15.84,36.23,61.12,58,Q1
Genetic_bank,8,1,CIAT-819,Indigofera suffruticosa,Herbaceous_legumes,14.22,16.94,39.4,60.93,59,Q1
Genetic_bank,8,2,CIAT-9690,Aeschynomene histrix,Herbaceous_legumes,14.29,15.56,45.88,60.47,60,Q1
Genetic_bank,6,1,CIAT-9283,Crotalaria pallida,Herbaceous_legumes,18.13,20.82,50.83,60.12,61,Q1
Genetic_bank,6,3,CIAT-12462,Stylosanthes hamata,Herbaceous_legumes,12.9,14.64,50.14,60.06,62,Q1
Genetic_bank,8,4,CIAT-9350,Crotalaria pumila,Herbaceous_legumes,12.82,13.98,46.71,59.88,63,Q1
Genetic_bank,9,2,CIAT-18708,Crotalaria pallida,Herbaceous_legumes,15.06,17.16,49.94,59.88,64,Q1
Genetic_bank,9,1,CIAT-18455,Christia obcordata,Herbaceous_legumes,15.41,18.54,54.18,59.86,65,Q1
Genetic_bank,9,1,CIAT-19118,Alysicarpus rugosus,Herbaceous_legumes,15.71,17.7,44.5,59.74,66,Q1
Genetic_bank,9,1,CIAT-955,Clitoria ternatea,Herbaceous_legumes,12.82,14.54,45.45,59.65,67,Q1
Genetic_bank,6,3,CIAT-12184,Stylosanthes humilis,Herbaceous_legumes,13.07,14.25,49.79,59.6,68,Q1
Genetic_bank,6,1,CIAT-9254,Crotalaria pallida,Herbaceous_legumes,18.25,20.76,52.29,59.58,69,Q1
Genetic_bank,9,1,CIAT-22286,Crotalaria micans,Herbaceous_legumes,14.86,15.96,43.2,59.54,70,Q1
Genetic_bank,6,1,CIAT-11194,Stylosanthes hamata,Herbaceous_legumes,15.17,18.02,46.12,59.25,71,Q1
Genetic_bank,9,2,CIAT-5512,Centrosema brasilianum,Herbaceous_legumes,14.28,16.09,45.89,59.21,72,Q1
Genetic_bank,6,3,CIAT-12457,Stylosanthes hamata,Herbaceous_legumes,13.15,14.66,51.02,59.17,73,Q1
Genetic_bank,9,2,CIAT-19032,Canavalia sp.,Herbaceous_legumes,13.27,15.33,45.7,59.15,74,Q1
Genetic_bank,9,1,CIAT-17775,Christia obcordata,Herbaceous_legumes,15.26,18.43,55.22,59.09,75,Q1
Genetic_bank,9,1,CIAT-1257,Stylosanthes scabra,Herbaceous_legumes,15.71,17.6,46.32,58.95,76,Q1
Genetic_bank,6,3,CIAT-12202,Stylosanthes humilis,Herbaceous_legumes,12.77,14.07,48.98,58.95,77,Q1
Genetic_bank,9,2,CIAT-18004,Chamaecrista rotundifolia,Herbaceous_legumes,13.81,15.73,53.53,58.72,78,Q1
Genetic_bank,9,2,CIAT-18850,Alysicarpus rugosus,Herbaceous_legumes,15.3,15.95,41.53,58.68,79,Q1
Genetic_bank,9,2,CIAT-20303,Canavalia brasiliensis,Herbaceous_legumes,13.51,15.82,52.89,58.61,80,Q1
Genetic_bank,9,1,CIAT-11999,Stylosanthes guianensis,Herbaceous_legumes,12.98,16.25,46.61,58.55,81,Q2
Genetic_bank,8,1,CIAT-18044,Christia sp.,Herbaceous_legumes,15.28,18.25,47.47,58.33,82,Q2
Genetic_bank,9,3,CIAT-11215,Stylosanthes hamata,Herbaceous_legumes,13.08,14.14,45.54,58.15,83,Q2
Genetic_bank,5,3,CIAT-12140,Stylosanthes humilis,Herbaceous_legumes,12.24,13.69,46.61,58.14,84,Q2
Genetic_bank,9,1,CIAT-22915,Aeschynomene villosa,Herbaceous_legumes,13.71,15.35,41.67,58.09,85,Q2
Breeding,5,3,CIAT-17768,Clitoria ternatea ,Herbaceous_legumes,14.46,15.58,55.25,57.98,86,Q2
Genetic_bank,9,1,CIAT-20125,Coursetia caribaea,Herbaceous_legumes,15.43,17.01,40.0,57.96,87,Q2
Genetic_bank,8,2,CIAT-9189,Indigofera suffruticosa,Herbaceous_legumes,15.22,17.47,45.56,57.89,88,Q2
Genetic_bank,9,2,CIAT-7746,Crotalaria paulina,Herbaceous_legumes,12.88,14.83,41.13,57.79,89,Q2
Genetic_bank,9,1,CIAT-21565,Chamaecrista rotundifolia,Herbaceous_legumes,12.47,14.73,39.86,57.7,90,Q2
Genetic_bank,8,1,CIAT-7703,Aeschynomene indica,Herbaceous_legumes,16.48,17.45,44.47,57.36,91,Q2
Genetic_bank,9,3,CIAT-798,Galactia striata,Herbaceous_legumes,12.62,14.39,50.8,57.23,92,Q2
Genetic_bank,9,1,CIAT-18848,Alysicarpus rugosus,Herbaceous_legumes,14.5,16.9,34.19,57.17,93,Q2
Genetic_bank,9,1,CIAT-21709,Crotalaria juncea,Herbaceous_legumes,14.92,15.88,42.07,57.17,94,Q2
Genetic_bank,9,2,CIAT-5277,Centrosema acutifolium,Herbaceous_legumes,13.27,14.97,46.87,57.08,95,Q2
Genetic_bank,8,4,CIAT-20044,Tephrosia purpurea,Herbaceous_legumes,14.34,16.28,49.36,57.06,96,Q2
Genetic_bank,7,2,CIAT-7648,Canavalia brasiliensis,Herbaceous_legumes,12.66,15.17,43.86,57.02,97,Q2
Genetic_bank,9,1,CIAT-12318,Stylosanthes hamata,Herbaceous_legumes,13.99,16.96,52.27,56.88,98,Q2
Genetic_bank,8,2,CIAT-11162,Stylosanthes scabra,Herbaceous_legumes,12.46,14.92,50.47,56.82,99,Q2
Genetic_bank,8,4,CIAT-24104,Macroptilium atropurpureum,Herbaceous_legumes,12.88,14.35,40.93,56.78,100,Q2
Genetic_bank,8,1,CIAT-5124,Centrosema molle x acutifolium,Herbaceous_legumes,17.54,18.89,42.1,56.75,101,Q2
Genetic_bank,9,2,CIAT-22156,Arachis pintoi,Herbaceous_legumes,12.54,14.41,53.44,56.59,102,Q2
Genetic_bank,9,2,CIAT-19119,Alysicarpus rugosus,Herbaceous_legumes,14.11,15.47,40.18,56.58,103,Q2
Genetic_bank,6,1,CIAT-9349,Mucuna pruriens,Herbaceous_legumes,17.35,18.52,43.23,56.47,104,Q2
Genetic_bank,8,4,CIAT-416,Vigna radiata,Herbaceous_legumes,12.38,14.79,50.26,56.45,105,Q2
Genetic_bank,6,3,CIAT-12374,Stylosanthes hamata,Herbaceous_legumes,13.17,14.76,56.68,56.4,106,Q2
Genetic_bank,9,1,CIAT-20298,Canavalia sp.,Herbaceous_legumes,13.89,15.34,39.36,56.36,107,Q2
Genetic_bank,9,2,CIAT-715,Canavalia ensiformis,Herbaceous_legumes,13.9,15.42,44.06,55.83,108,Q2
Genetic_bank,9,1,CIAT-20803,Canavalia sp.,Herbaceous_legumes,13.8,15.98,42.61,55.7,109,Q2
Genetic_bank,6,3,CIAT-12615,Stylosanthes guianensis,Herbaceous_legumes,12.72,13.72,46.61,55.68,110,Q2
Genetic_bank,8,4,CIAT-34038,Vigna unguiculata,Herbaceous_legumes,12.9,14.44,47.68,55.34,111,Q2
Genetic_bank,8,2,CIAT-7318,Canavalia sp.,Herbaceous_legumes,12.61,14.96,48.52,55.31,112,Q2
Genetic_bank,9,1,CIAT-21031,Christia obcordata,Herbaceous_legumes,13.8,15.58,37.14,55.29,113,Q2
Genetic_bank,9,1,CIAT-18447,Clitoria ternatea,Herbaceous_legumes,14.51,16.92,53.02,55.28,114,Q2
Genetic_bank,7,4,CIAT-12411,Stylosanthes sympodialis,Herbaceous_legumes,11.17,13.42,44.51,55.06,115,Q2
Genetic_bank,9,2,CIAT-20589,Uraria lagopodioides,Herbaceous_legumes,14.99,16.47,41.75,55.03,116,Q2
Genetic_bank,9,1,CIAT-19138,Alysicarpus rugosus,Herbaceous_legumes,15.26,17.55,43.21,54.86,117,Q2
Breeding,6,3,CIAT-20692,Clitoria ternatea ,Herbaceous_legumes,14.8,16.19,63.13,54.69,118,Q2
Genetic_bank,6,4,CIAT-34144,Vigna radiata,Herbaceous_legumes,14.05,15.67,59.13,54.61,119,Q2
Breeding,6,3,CIAT-20692,Clitoria ternatea ,Herbaceous_legumes,14.62,15.63,52.5,54.5,120,Q2
Genetic_bank,8,4,CIAT-34040,Vigna aconitifolia,Herbaceous_legumes,13.5,15.4,56.11,54.28,121,Q2
Genetic_bank,9,1,CIAT-19421,Uraria lagopodioides,Herbaceous_legumes,14.13,15.13,33.82,54.27,122,Q2
Genetic_bank,9,3,CIAT-10440,Stylosanthes humilis,Herbaceous_legumes,12.24,13.73,45.94,54.2,123,Q2
Genetic_bank,9,3,CIAT-1475,Stylosanthes hamata,Herbaceous_legumes,13.27,14.77,53.96,54.17,124,Q2
Genetic_bank,8,4,CIAT-34159,Vigna unguiculata,Herbaceous_legumes,14.09,15.22,56.72,54.02,125,Q2
Genetic_bank,6,2,CIAT-9434,Clitoria ternatea,Herbaceous_legumes,14.98,16.4,56.61,54.0,126,Q2
Genetic_bank,9,1,CIAT-7339,Indigofera lespedezioides,Herbaceous_legumes,16.06,17.66,34.71,53.95,127,Q2
Genetic_bank,6,3,CIAT-12311,Stylosanthes guianensis,Herbaceous_legumes,12.63,13.98,52.5,53.95,128,Q2
Genetic_bank,9,1,CIAT-18707,Crotalaria pallida,Herbaceous_legumes,16.06,21.49,60.94,53.89,129,Q2
Genetic_bank,8,2,CIAT-21603,Lablab purpureus,Herbaceous_legumes,13.82,15.45,56.99,53.45,130,Q2
Genetic_bank,9,3,CIAT-9934,Aeschynomene americana,Herbaceous_legumes,12.91,14.26,54.27,53.37,131,Q2
Genetic_bank,9,1,CIAT-19137,Alysicarpus rugosus,Herbaceous_legumes,15.31,17.59,48.49,53.2,132,Q2
Genetic_bank,6,4,CIAT-34347,Vigna unguiculata,Herbaceous_legumes,12.32,13.84,45.74,53.14,133,Q2
Genetic_bank,6,2,CIAT-15121,Centrosema macrocarpum,Herbaceous_legumes,13.62,15.27,43.07,53.13,134,Q2
Genetic_bank,9,1,CIAT-21128,Crotalaria pallida,Herbaceous_legumes,15.13,17.95,47.36,53.1,135,Q2
Genetic_bank,6,3,CIAT-19867,Uraria lagopodioides,Herbaceous_legumes,15.7,16.58,49.19,52.99,136,Q2
Genetic_bank,7,2,CIAT-5749,Centrosema plumieri,Herbaceous_legumes,12.87,15.15,49.14,52.88,137,Q2
Genetic_bank,9,2,CIAT-887,Calopogonium mucunoides,Herbaceous_legumes,14.44,16.22,41.52,52.78,138,Q2
Genetic_bank,8,2,CIAT-7894,Canavalia brasiliensis,Herbaceous_legumes,12.3,15.04,45.89,52.77,139,Q2
Genetic_bank,9,3,CIAT-11220,Stylosanthes hamata,Herbaceous_legumes,12.84,14.34,56.23,52.76,140,Q2
Genetic_bank,7,2,CIAT-22598,Lablab purpureus,Herbaceous_legumes,15.1,15.84,45.23,52.73,141,Q2
Breeding,5,3,CIAT-712,Clitoria ternatea ,Herbaceous_legumes,14.46,15.52,52.6,52.67,142,Q2
Genetic_bank,9,3,CIAT-11778,Stylosanthes hamata,Herbaceous_legumes,12.7,14.19,53.43,52.53,143,Q2
Genetic_bank,9,1,CIAT-19139,Alysicarpus ovalifolius,Herbaceous_legumes,14.24,17.2,39.74,52.41,144,Q2
Genetic_bank,9,1,CIAT-989,Indigofera hirsuta,Herbaceous_legumes,15.57,16.78,32.85,52.31,145,Q2
Genetic_bank,6,3,CIAT-12381,Stylosanthes hamata,Herbaceous_legumes,13.12,14.63,59.84,52.3,146,Q2
Genetic_bank,9,1,CIAT-24360,Vigna umbellata,Herbaceous_legumes,13.99,15.44,37.12,52.16,147,Q2
