requisitioner,n_replicates_gas,subset,id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
Genetic_bank,9.0,1,CIAT-17024,Desmanthus pernambucanus,Shrub_Trees,14.17,16.84,46.29,40.14
Genetic_bank,9.0,1,CIAT-17091,Crotalaria micans,Shrub_Trees,15.17,17.47,48.83,66.12
Genetic_bank,9.0,1,CIAT-18016,Sesbania emerus,Shrub_Trees,14.23,15.96,42.47,50.31
Genetic_bank,8.0,1,CIAT-18288,Sesbania exasperata,Shrub_Trees,14.9,16.94,48.91,55.66
Genetic_bank,9.0,1,CIAT-18931,Tephrosia linearis,Shrub_Trees,14.06,16.35,42.05,49.75
Genetic_bank,9.0,1,CIAT-19566,Tephrosia noctiflora,Shrub_Trees,15.42,16.28,37.31,64.11
Genetic_bank,9.0,1,CIAT-19895,Aeschynomene americana,Shrub_Trees,14.14,15.62,38.27,67.43
Genetic_bank,9.0,1,CIAT-20125,Coursetia caribaea,Shrub_Trees,15.43,17.01,40.0,57.96
Genetic_bank,9.0,1,CIAT-21263,Sesbania rostrata,Shrub_Trees,14.32,15.06,37.31,60.43
Genetic_bank,9.0,1,CIAT-21514,Desmanthus virgatus,Shrub_Trees,13.74,15.01,46.93,35.54
Genetic_bank,9.0,1,CIAT-21709,Crotalaria juncea,Shrub_Trees,14.92,15.88,42.07,57.17
Genetic_bank,9.0,1,CIAT-22286,Crotalaria micans,Shrub_Trees,14.86,15.96,43.2,59.54
Genetic_bank,9.0,1,CIAT-22481,Sesbania cochinchinensis,Shrub_Trees,13.89,14.44,31.77,51.99
Genetic_bank,8.0,1,CIAT-22570,Desmanthus bicornutus,Shrub_Trees,13.38,14.61,24.79,36.77
Genetic_bank,9.0,1,CIAT-22594,Desmanthus pernambucanus,Shrub_Trees,13.66,14.94,35.36,38.96
Genetic_bank,8.0,1,CIAT-23259,Desmodium gangeticum,Shrub_Trees,15.36,16.83,37.41,51.49
Genetic_bank,9.0,1,CIAT-23339,Desmodium gangeticum,Shrub_Trees,15.24,16.87,35.07,53.81
Genetic_bank,8.0,1,CIAT-32365,Desmanthus virgatus,Shrub_Trees,12.9,14.73,37.06,35.6
Genetic_bank,9.0,1,CIAT-32373,Desmanthus pubescens,Shrub_Trees,12.34,14.13,31.7,42.56
Genetic_bank,9.0,1,CIAT-705,Indigofera suffruticosa,Shrub_Trees,14.26,17.35,31.84,74.34
Genetic_bank,9.0,1,CIAT-749,Crotalaria juncea,Shrub_Trees,14.03,15.59,35.43,65.15
Genetic_bank,6.0,1,CIAT-7643,Desmanthus pernambucanus,Shrub_Trees,16.55,18.19,44.69,47.16
Genetic_bank,8.0,1,CIAT-819,Indigofera suffruticosa,Shrub_Trees,14.22,16.94,39.4,60.93
Genetic_bank,6.0,1,CIAT-8205,Indigofera suffruticosa,Shrub_Trees,19.0,20.51,46.97,62.07
Genetic_bank,5.0,1,CIAT-8402,Indigofera suffruticosa,Shrub_Trees,18.76,20.59,42.3,62.49
Genetic_bank,6.0,1,CIAT-8797,Desmanthus virgatus,Shrub_Trees,15.47,17.84,48.75,48.5
Genetic_bank,5.0,1,CIAT-8819,Coursetia caribaea,Shrub_Trees,18.58,20.43,48.94,63.34
Genetic_bank,9.0,1,CIAT-913,Cajanus cajan,Shrub_Trees,13.53,16.14,32.83,60.86
Genetic_bank,6.0,1,CIAT-9288,Indigofera suffruticosa,Shrub_Trees,19.38,22.66,49.11,68.02
Genetic_bank,6.0,1,CIAT-9356,Tephrosia noctiflora,Shrub_Trees,18.7,20.48,49.48,53.77
Genetic_bank,6.0,1,CIAT-9435,Desmanthus pubescens,Shrub_Trees,16.03,18.91,44.69,43.26
Genetic_bank,6.0,2,CIAT-13301,Desmodium sequax,Shrub_Trees,14.0,15.79,48.61,26.72
Genetic_bank,8.0,2,CIAT-13389,Desmodium sequax,Shrub_Trees,12.72,13.54,48.91,21.43
Genetic_bank,9.0,2,CIAT-13692,Desmodium velutinum,Shrub_Trees,15.48,16.96,56.63,40.73
Genetic_bank,7.0,2,CIAT-13946,Desmodium sequax,Shrub_Trees,12.26,13.16,35.66,32.25
Genetic_bank,5.0,2,CIAT-18437,Flemingia macrophylla,Shrub_Trees,12.28,13.05,41.87,22.61
Genetic_bank,6.0,2,CIAT-18700,Cajanus cajan,Shrub_Trees,13.9,15.46,59.27,32.23
Genetic_bank,9.0,2,CIAT-18701,Cajanus cajan,Shrub_Trees,13.36,15.11,54.17,31.19
Genetic_bank,8.0,2,CIAT-20207,Aeschynomene sensitiva,Shrub_Trees,12.4,13.02,42.6,44.19
Genetic_bank,9.0,2,CIAT-20891,Cajanus cajan,Shrub_Trees,12.92,14.44,47.98,29.51
Genetic_bank,9.0,2,CIAT-21687,Desmanthus virgatus,Shrub_Trees,12.63,14.66,42.42,45.4
Genetic_bank,6.0,2,CIAT-22048,Aeschynomene americana,Shrub_Trees,13.2,14.47,44.16,63.48
Genetic_bank,7.0,2,CIAT-22507,Desmanthus subulatus,Shrub_Trees,12.19,13.98,40.95,42.78
Genetic_bank,8.0,2,CIAT-22510,Desmanthus bicornutus,Shrub_Trees,12.46,14.39,51.7,32.63
Genetic_bank,8.0,2,CIAT-22784,Desmanthus bicornutus,Shrub_Trees,12.88,14.99,44.64,39.85
Genetic_bank,8.0,2,CIAT-23248,Desmodium velutinum,Shrub_Trees,14.16,16.2,49.94,53.11
Genetic_bank,9.0,2,CIAT-23271,Desmodium velutinum,Shrub_Trees,13.81,16.05,45.15,53.06
Genetic_bank,9.0,2,CIAT-23279,Desmodium velutinum,Shrub_Trees,14.41,16.41,59.41,46.68
Genetic_bank,9.0,2,CIAT-23326,Desmodium velutinum,Shrub_Trees,14.14,15.89,46.38,59.89
Genetic_bank,9.0,2,CIAT-3001,Codariocalyx gyroides,Shrub_Trees,12.01,13.39,46.73,41.49
Genetic_bank,9.0,2,CIAT-3187,Desmodium cajanifolium,Shrub_Trees,12.83,14.49,35.08,70.3
Genetic_bank,8.0,2,CIAT-32379,Desmanthus pubescens,Shrub_Trees,12.51,14.68,38.16,48.67
Genetic_bank,9.0,2,CIAT-32380,Desmanthus pubescens,Shrub_Trees,12.96,15.24,44.36,39.27
Genetic_bank,7.0,2,CIAT-3304,Desmodium cajanifolium,Shrub_Trees,12.93,14.08,47.33,53.08
Genetic_bank,8.0,2,CIAT-33114,Dendrolobium sp.,Shrub_Trees,13.69,15.27,58.31,26.15
Genetic_bank,9.0,2,CIAT-33249,Desmodium velutinum,Shrub_Trees,14.49,15.65,50.33,41.65
Genetic_bank,8.0,2,CIAT-33255,Desmodium velutinum,Shrub_Trees,15.11,16.67,51.85,44.57
Genetic_bank,8.0,2,CIAT-33428,Desmodium velutinum,Shrub_Trees,14.39,15.82,35.5,52.17
Genetic_bank,8.0,2,CIAT-33451,Desmodium velutinum,Shrub_Trees,13.02,13.92,31.73,47.19
Genetic_bank,8.0,2,CIAT-33463,Desmodium velutinum,Shrub_Trees,14.44,16.29,31.74,61.64
Genetic_bank,8.0,2,CIAT-33729,Desmodium cinereum,Shrub_Trees,14.24,14.84,42.98,43.74
Genetic_bank,9.0,2,CIAT-3813,Desmodium sequax,Shrub_Trees,13.71,15.03,47.74,23.81
Genetic_bank,7.0,2,CIAT-43477,Desmodium cinereum,Shrub_Trees,15.09,15.83,57.22,36.81
Genetic_bank,9.0,2,CIAT-7831,Tephrosia rhodesica,Shrub_Trees,14.91,17.57,54.47,51.58
Genetic_bank,9.0,2,CIAT-7991,Indigofera suffruticosa,Shrub_Trees,14.83,16.72,63.57,39.55
Genetic_bank,9.0,2,CIAT-8816,Crotalaria micans,Shrub_Trees,14.03,15.13,46.58,61.94
Genetic_bank,8.0,2,CIAT-9189,Indigofera suffruticosa,Shrub_Trees,15.22,17.47,45.56,57.89
Genetic_bank,9.0,3,CIAT-13329,Desmodium cajanifolium,Shrub_Trees,12.69,13.42,37.73,57.81
Genetic_bank,8.0,3,CIAT-13387,Desmodium sequax,Shrub_Trees,11.94,12.99,34.58,40.21
Genetic_bank,8.0,3,CIAT-13547,Codariocalyx gyroides,Shrub_Trees,11.69,13.27,42.99,29.5
Genetic_bank,8.0,3,CIAT-13953,Desmodium velutinum,Shrub_Trees,13.15,14.86,40.6,53.62
Genetic_bank,7.0,3,CIAT-17403,Flemingia macrophylla,Shrub_Trees,12.6,13.4,40.71,39.68
Breeding,9.0,3,CIAT-17462,Leucaena leucocephala ,Shrub_Trees,13.94,15.24,55.55,40.83
Genetic_bank,9.0,3,CIAT-18668,Cratylia argentea,Shrub_Trees,13.7,15.73,44.73,50.74
Genetic_bank,6.0,3,CIAT-20208,Aeschynomene sensitiva,Shrub_Trees,12.92,14.4,47.6,60.57
Genetic_bank,9.0,3,CIAT-22072,Bauhinia sp.,Shrub_Trees,12.71,14.63,43.97,53.36
Genetic_bank,7.0,3,CIAT-22409,Cratylia argentea,Shrub_Trees,14.79,16.48,60.59,45.35
Genetic_bank,,3,CIAT-23715,Desmodium sequax,Shrub_Trees,,,,
Genetic_bank,5.0,3,CIAT-23746,Codariocalyx gyroides,Shrub_Trees,11.14,12.98,46.78,29.68
Genetic_bank,8.0,3,CIAT-23985,Desmodium velutinum,Shrub_Trees,13.85,15.11,43.98,47.26
Genetic_bank,9.0,3,CIAT-33070,Desmodium oblongum,Shrub_Trees,11.04,13.32,46.65,45.14
Genetic_bank,9.0,3,CIAT-33079,Desmodium oblongum,Shrub_Trees,13.3,14.79,47.36,50.04
Genetic_bank,6.0,3,CIAT-33131,Codariocalyx gyroides,Shrub_Trees,12.53,13.72,43.09,41.0
Genetic_bank,9.0,3,CIAT-8826,Zapoteca formosa,Shrub_Trees,11.7,12.72,40.33,67.03
