rank,id,id_lab,subset,no,requisitioner,tax_name,functional_group,n_replicates_nutrition,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,n_replicates_gas,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
1,CIAT-BR-02-1752,F24-3582,1,51.0,Breeding,Urochloa interespecific,Grass,2,96.03,15.7,84.3,10.92,21.14,55.41,9.0,13.98,14.61,33.83,67.39
2,CIAT-Mulato-II,F24-3592,1,71.0,Breeding,Urochloa interespecific,Grass,2,96.66,14.97,85.03,11.85,24.36,59.42,9.0,14.21,14.64,34.27,65.32
3,CIAT-BR-09-1232,F24-3585,1,57.0,Breeding,Urochloa interespecific,Grass,2,97.24,13.8,86.2,10.08,21.03,55.66,8.0,13.76,14.37,36.04,66.64
4,CIAT-BR-12-4951,F24-3586,1,59.0,Breeding,Urochloa interespecific,Grass,2,95.75,15.48,84.52,11.1,23.29,56.86,9.0,14.34,15.02,35.76,65.93
5,CIAT-BR-06-0423,F24-3584,1,55.0,Breeding,Urochloa interespecific,Grass,2,96.77,15.97,84.03,11.01,22.02,57.36,8.0,14.61,15.14,35.98,64.27
6,CIAT-BR-02-1794,F24-3583,1,53.0,Breeding,Urochloa interespecific,Grass,2,97.05,15.02,84.98,9.39,21.84,55.76,9.0,13.79,14.51,35.77,63.97
7,CIAT-BR-12-1362,F25-1701,2,133.0,Breeding,Urochloa interespecific,Grass,2,92.46,14.02,85.98,16.89,28.12,57.62,9.0,11.96,13.75,36.67,64.41
8,CIAT-BR-19-0423,F24-3590,1,67.0,Breeding,Urochloa interespecific,Grass,2,95.35,13.9,86.1,10.11,24.49,59.22,9.0,13.93,14.41,37.16,63.48
9,CIAT-BR-15-6487,F24-3588,1,63.0,Breeding,Urochloa interespecific,Grass,2,95.07,13.57,86.43,9.61,24.55,59.73,8.0,14.01,14.41,36.06,61.15
10,CIAT-BR-15-0722,F24-3587,1,61.0,Breeding,Urochloa interespecific,Grass,2,95.22,14.06,85.94,10.31,26.18,60.21,9.0,14.28,14.74,36.15,60.89
11,CIAT-BR-12-1620,F25-2109,2,403.0,Breeding,Urochloa interespecific,Grass,2,93.55,13.79,86.21,13.22,25.38,60.36,9.0,12.4,13.92,36.04,60.13
12,CIAT-BR-12-0461,F25-2108,2,401.0,Breeding,Urochloa interespecific,Grass,2,92.82,14.72,85.28,13.24,25.6,60.79,9.0,12.52,14.27,37.7,61.59
13,CIAT-BR-19-0029,F24-3589,1,65.0,Breeding,Urochloa interespecific,Grass,2,96.07,14.13,85.87,10.08,23.98,58.41,8.0,13.94,14.87,38.23,62.0
14,CIAT-BR-12-0255,F25-2107,2,399.0,Breeding,Urochloa interespecific,Grass,2,91.85,14.23,85.77,14.96,24.63,57.34,9.0,12.31,13.96,37.48,60.12
15,CIAT-PM-21-2580,F25-2079,2,337.0,Breeding,Megathyrsus maximus,Grass,2,93.76,12.79,87.21,16.17,31.2,65.05,9.0,13.72,15.38,42.58,60.3
16,CIAT-PM-21-6628,F24-3601,1,89.0,Breeding,Megathyrsus maximus,Grass,2,95.22,14.1,85.9,9.98,29.83,64.96,9.0,17.23,19.34,49.84,60.12
17,CIAT-PM-21-3537,F24-3598,1,83.0,Breeding,Megathyrsus maximus,Grass,2,97.29,14.48,85.52,10.87,26.81,61.94,8.0,17.0,19.23,52.93,62.32
