subset,no,requisitioner,id_lab,id,tax_order,family,genus,species,tax_name,functional_group,set_ciat,batch,run,replication,syrange,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,gas_ml_g_dm_incubated_24h,ch4_ml_g_ndf_digested_24h,methane_intensity,tddm
2,1701,Breding ,F25-2077,CIAT-PM-21-3535,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,19,50,2,1,3.0,36.43277813,79.88660985,4.881992269,12.22568983,13.4,16.9,155.8276121,34.19146976,43.34426196,55.0189357
2,1702,Breding ,F25-2077,CIAT-PM-21-3535,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,19,50,2,2,4.0,36.8752815,82.09912674,5.125664129,12.72327013,13.9,16.8,155.9992323,35.00485836,43.50147614,55.57489835
2,1703,Breding ,F25-2077,CIAT-PM-21-3535,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,19,50,2,3,5.0,35.10526799,79.44410647,5.160474395,12.6537381,14.7,16.9,153.5948612,35.25395301,43.88606997,55.74515807
2,1704,Breding ,F25-2078,CIAT-PM-21-6106,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,19,50,2,1,6.0,35.10526799,75.01907269,5.090263859,12.1949211,14.5,17.8,148.7119301,42.1835579,39.26764574,61.56278369
2,1705,Breding ,F25-2078,CIAT-PM-21-6106,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,19,50,2,2,7.0,39.53030177,82.9841335,5.652833153,13.17034604,14.3,17.3,160.5845461,36.28321101,44.21613656,57.64014678
2,1706,Breding ,F25-2078,CIAT-PM-21-6106,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,19,50,2,3,8.0,37.31778488,79.88660985,5.485714378,12.93525875,14.7,17.5,154.4500972,38.87113375,42.12993336,59.36063566
2,1707,Breding ,F25-2079,CIAT-PM-21-2580,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,19,50,2,1,9.0,42.18532204,89.17918079,5.652833153,13.50080756,13.4,16.7,173.1303337,37.32381773,44.25064737,59.23110107
2,1708,Breding ,F25-2079,CIAT-PM-21-2580,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,19,50,2,2,10.0,42.18532204,88.73667741,5.695018475,13.60874889,13.5,17,173.9493379,36.32152321,45.54018885,58.57913979
2,1709,Breding ,F25-2079,CIAT-PM-21-2580,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,19,50,2,3,11.0,44.39783893,93.16171119,6.21569745,14.55431961,14,17.1,187.5175328,43.34133727,46.39329665,63.14530958
2,1710,Breding ,F25-2080,CIAT-CIAT-16031,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,19,50,2,1,12.0,40.41530853,82.54163012,5.617727885,12.8634552,13.9,17.2,161.0174984,30.77159965,46.05189364,54.48916828
2,1711,Breding ,F25-2080,CIAT-CIAT-16031,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,19,50,2,2,13.0,40.85781191,84.31164363,5.515804607,12.94640983,13.5,17.1,166.1724907,29.42554124,47.60160054,53.6042679
2,1712,Breding ,F25-2080,CIAT-CIAT-16031,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,19,50,2,3,14.0,39.97280515,81.65662336,5.316383085,12.48599982,13.3,17.2,158.1915208,31.89778243,43.79694548,55.22952216
2,1713,Breding ,F25-2081,CIAT-CIAT-26936,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,19,50,2,1,15.0,38.20279164,84.75414701,5.577607579,13.53788935,14.6,17.1,161.73999,30.1835623,48.46821509,53.3028448
2,1714,Breding ,F25-2081,CIAT-CIAT-26936,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,19,50,2,2,16.0,40.41530853,85.19665039,5.738973811,13.39658327,14.2,17.1,158.837589,27.69505512,48.36732942,51.63839142
