subset,no,requisitioner,id_lab,id,tax_order,family,genus,species,tax_name,functional_group,set_ciat,batch,run,replication,syrange,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,gas_ml_g_dm_incubated_24h,ch4_ml_g_ndf_digested_24h,methane_intensity,tddm
1,44,LMF,F24-1084,LMF,Poales,Poaceae,Brachiaria ,decumbens,Brachiaria decumbens,Grass,1,1,1,1,44.0,26.01919863,58.53666823,2.367747075,6.302360897,9.1,10.76651796,122.7594056,194.6816788,27.33731494,48.3475187
1,45,LMF,F24-1084,LMF,Poales,Poaceae,Brachiaria ,decumbens,Brachiaria decumbens,Grass,1,1,1,2,45.0,27.78921214,61.80668174,2.445450668,6.425494611,8.8,10.39611646,129.5911689,117.6219867,25.41369489,53.01255442
1,46,LMF,F24-1084,LMF,Poales,Poaceae,Brachiaria ,decumbens,Brachiaria decumbens,Grass,1,1,1,3,46.0,25.57669525,62.09416485,2.506516135,6.742542608,9.8,10.85857685,130.1419247,195.7779286,28.9719553,48.77669027
1,47,LMF,F24-1095,LMF,Fabales,Fabaceae,Setaria ,sphacelata,Setaria sphacelata,Grass,1,1,1,1,47.0,17.16913107,44.18660067,1.837097024,7.078486126,10.7,16.01953085,92.53147798,89.5309162,25.37724183,58.41103128
1,48,LMF,F24-1095,LMF,Fabales,Fabaceae,Setaria ,sphacelata,Setaria sphacelata,Grass,1,1,1,2,48.0,20.70915809,51.72662769,2.360844023,8.502303003,11.4,16.43699461,108.3427497,110.6977836,30.73472632,57.94192449
1,49,LMF,F24-1095,LMF,Fabales,Fabaceae,Setaria ,sphacelata,Setaria sphacelata,Grass,1,1,1,3,49.0,15.84162093,51.85909053,1.69505344,8.86252989,10.7,17.08963616,108.6201965,142.9291774,33.84775794,54.8420265
1,95,LMF,F24-1084,LMF,Poales,Poaceae,Brachiaria ,decumbens,Brachiaria decumbens,Grass,1,2,2,1,44.0,25.96019818,54.50166606,2.362378034,5.815895648,9.1,10.67104195,74.09045884,27.76068546,11.28840306,70.03846248
1,96,LMF,F24-1084,LMF,Poales,Poaceae,Brachiaria ,decumbens,Brachiaria decumbens,Grass,1,2,2,2,45.0,27.73021169,57.59918971,2.440258629,5.934929057,8.8,10.30384123,79.24590932,26.58105536,11.29728519,72.27729972
1,97,LMF,F24-1084,LMF,Poales,Poaceae,Brachiaria ,decumbens,Brachiaria decumbens,Grass,1,2,2,3,46.0,25.5176948,57.59918971,2.50073409,6.2221875,9.8,10.80256082,78.94569621,26.8902465,11.63884604,73.27321645
1,98,LMF,F24-1095,LMF,Fabales,Fabaceae,Setaria ,sphacelata,Setaria sphacelata,Grass,1,2,2,1,47.0,17.11013062,40.78406134,1.830783976,6.423526537,10.7,15.75009042,54.46712674,28.65307905,11.94890078,71.79423336
1,99,LMF,F24-1095,LMF,Fabales,Fabaceae,Setaria ,sphacelata,Setaria sphacelata,Grass,1,2,2,2,48.0,20.65015764,47.86411539,2.354117971,7.742481606,11.4,16.17596302,62.53603876,35.02818732,14.30126178,70.73366432
1,100,LMF,F24-1095,LMF,Fabales,Fabaceae,Setaria ,sphacelata,Setaria sphacelata,Grass,1,2,2,3,49.0,15.78262048,47.42161201,1.688740392,7.984899706,10.7,16.83810264,59.28977957,34.55725385,14.11189088,70.74370138
1,146,LMF,F24-1084,LMF,Poales,Poaceae,Brachiaria ,decumbens,Brachiaria decumbens,Grass,1,3,3,1,44.0,26.99270606,57.23043689,2.267387309,5.412111316,8.4,9.456701031,80.36139707,11.94202793,7.224207847,105.1954377
1,147,LMF,F24-1084,LMF,Poales,Poaceae,Brachiaria ,decumbens,Brachiaria decumbens,Grass,1,3,3,2,45.0,22.1251689,,,,9.1,,,,,
1,148,LMF,F24-1084,LMF,Poales,Poaceae,Brachiaria ,decumbens,Brachiaria decumbens,Grass,1,3,3,3,46.0,27.43520944,59.44295378,2.304557593,5.473324283,8.4,9.207692308,80.21530965,10.94279413,6.772721726,109.0548113
1,149,LMF,F24-1095,LMF,Fabales,Fabaceae,Setaria ,sphacelata,Setaria sphacelata,Grass,1,3,3,1,47.0,20.35515539,38.64529502,1.669122742,4.065131033,8.2,10.51908397,52.99510493,8.989476186,5.367049077,103.8671252
1,150,LMF,F24-1095,LMF,Fabales,Fabaceae,Setaria ,sphacelata,Setaria sphacelata,Grass,1,3,3,2,48.0,16.81512837,34.22026124,1.530176681,3.792843954,9.1,11.08362069,43.88922899,7.899169868,4.702867,103.4372366
