subset,id_lab,id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
4,F25-2640,Cayman-Br-02-1752,Urochloa interespecifico,Grass,12.99,13.71,50.17,50.22
4,F25-2574,CIAT-326,Desmodium scorpiurus,Herbaceous_legumes,13.86,16.66,55.45,39.09
4,F25-2575,CIAT-415,Vigna radiata,Herbaceous_legumes,11.22,15.38,43.25,51.39
4,F25-2576,CIAT-416,Vigna radiata,Herbaceous_legumes,12.38,16.84,50.26,56.45
4,F25-2577,CIAT-517,Macroptilium atropurpureum,Herbaceous_legumes,11.58,14.88,52.88,37.99
4,F25-2578,CIAT-563,Macroptilium bracteatum,Herbaceous_legumes,12.19,14.78,53.49,40.95
4,F26-0013,CIAT-590,Macroptilium bracteatum,Herbaceous_legumes,13.09,16.01,55.65,44.66
4,F26-0014,CIAT-778,Macroptilium atropurpureum,Herbaceous_legumes,11.24,15.09,48.69,38.62
4,F25-2579,CIAT-789,Zornia latifolia,Herbaceous_legumes,13.2,16.06,84.23,40.55
4,F26-0015,CIAT-827,Indigofera jamaicensis,Herbaceous_legumes,13.93,16.36,52.87,45.19
4,F26-0016,CIAT-997,Macroptilium atropurpureum,Herbaceous_legumes,12.11,15.79,46.31,42.42
4,F26-0017,CIAT-1405,Stylosanthes capitata,Herbaceous_legumes,13.34,16.96,58.91,38.77
4,F26-0018,CIAT-1812,Stylosanthes viscosa,Herbaceous_legumes,12.71,14.64,51.65,19.42
4,F25-2580,CIAT-2085,Stylosanthes seabrana,Herbaceous_legumes,10.89,14.56,60.41,35.99
4,F25-2581,CIAT-2690,Stylosanthes angustifolia,Herbaceous_legumes,11.0,15.28,85.57,29.9
4,F26-0019,CIAT-3694,Desmodium sandwicense,Herbaceous_legumes,14.04,16.69,96.04,21.4
4,F25-2582,CIAT-4069,Macroptilium atropurpureum,Herbaceous_legumes,11.35,13.76,57.03,33.68
4,F26-0020,CIAT-4080,Macroptilium bracteatum,Herbaceous_legumes,13.34,16.46,60.76,38.61
4,F25-2583,CIAT-4141,Vigna radiata,Herbaceous_legumes,13.2,15.8,67.86,40.83
4,F25-2584,CIAT-4532,Vigna unguiculata,Herbaceous_legumes,13.18,15.86,78.97,37.31
4,F25-2585,CIAT-4537,Vigna unguiculata,Herbaceous_legumes,11.75,15.41,53.0,46.92
4,F26-0021,CIAT-7162,Indigofera jamaicensis,Herbaceous_legumes,12.81,15.46,53.04,41.56
4,F25-2586,CIAT-7289,Chamaecrista mimosoides,Herbaceous_legumes,13.91,17.5,78.43,34.88
4,F25-1751,CIAT-7353,Prosopis juliflora,Shrub_Trees,11.21,6.65,15.04,44.37
4,F25-2587,CIAT-7826,Tephrosia purpurea,Herbaceous_legumes,13.38,16.14,66.85,34.59
4,F26-0032,CIAT-7934,Sesbania sesban,Shrub_Trees,14.37,14.86,66.79,40.75
4,F26-0033,CIAT-7937,Mimosa nuda,Shrub_Trees,12.96,14.51,61.51,28.95
4,F25-1752,CIAT-7976,Cassia sp.,Shrub_Trees,12.78,15.6,44.81,41.56
4,F25-2588,CIAT-8014,Crotalaria retusa,Herbaceous_legumes,12.22,14.26,53.29,51.76
4,F25-1753,CIAT-8018,Acacia aroma,Shrub_Trees,13.88,18.25,74.59,19.41
4,F26-0034,CIAT-8056,Mimosa diplotricha,Shrub_Trees,12.9,15.56,58.67,35.26
4,F26-0022,CIAT-8820,Tephrosia cinerea,Herbaceous_legumes,15.06,18.47,66.38,45.42
4,F25-2589,CIAT-8849,Zornia brasiliensis,Herbaceous_legumes,12.7,17.29,65.41,37.41
4,F25-2590,CIAT-9326,Crotalaria retusa,Herbaceous_legumes,12.2,14.6,62.07,44.24
4,F25-2591,CIAT-9337,Crotalaria retusa,Herbaceous_legumes,12.16,13.4,50.54,46.3
4,F25-2592,CIAT-9350,Crotalaria pumila,Herbaceous_legumes,12.82,15.04,46.71,59.88
4,F25-2593,CIAT-9352,Crotalaria pumila,Herbaceous_legumes,12.9,16.62,57.38,47.09
4,F25-2594,CIAT-9472,Zornia brasiliensis,Herbaceous_legumes,12.31,17.45,61.18,35.27
4,F25-2595,CIAT-9531,Indigofera spicata,Herbaceous_legumes,12.41,16.08,48.49,50.85
4,F25-1754,CIAT-9990,Prosopis juliflora,Shrub_Trees,9.28,3.26,7.53,52.35
4,F25-2596,CIAT-10026,Stylosanthes seabrana,Herbaceous_legumes,11.25,14.66,51.61,42.25
4,F25-2597,CIAT-12411,Stylosanthes sympodialis,Herbaceous_legumes,11.15,15.35,44.51,55.06
4,F25-1755,CIAT-13258,Dendrolobium lanceolatum,Shrub_Trees,12.89,13.68,41.85,19.8
4,F25-1756,CIAT-13260,Dendrolobium lanceolatum,Shrub_Trees,13.58,16.11,60.35,18.9
4,F25-1728,CIAT-13262,Dendrolobium triangulare,Shrub_Trees,13.54,17.31,48.87,31.33
4,F25-2598,CIAT-13494,Desmodium tortuosum,Shrub_Trees,12.11,16.32,56.13,47.79
4,F25-1729,CIAT-13528,Dendrolobium lanceolatum,Shrub_Trees,12.78,17.3,46.62,25.89
4,F25-1730,CIAT-13529,Dendrolobium triangulare,Shrub_Trees,13.92,17.65,55.06,31.83
4,F25-2599,CIAT-13562,Desmodium tortuosum,Shrub_Trees,13.91,16.75,49.56,46.73
4,F25-2600,CIAT-13593,Desmodium scorpiurus,Herbaceous_legumes,14.6,17.16,76.03,34.39
4,F25-2601,CIAT-13608,Desmodium incanum,Herbaceous_legumes,13.0,16.31,64.77,31.24
4,F25-1731,CIAT-13710,Dendrolobium lanceolatum,Shrub_Trees,13.84,17.39,63.86,18.1
4,F26-0023,CIAT-14080,Zornia brasiliensis,Herbaceous_legumes,12.21,17.41,54.79,44.37
4,F25-1757,CIAT-17263,Leucaena leucocephala,Shrub_Trees,12.5,15.29,35.31,48.81
4,F25-1758,CIAT-17459,Erythrina berteroana,Shrub_Trees,13.12,14.9,35.84,55.9
4,F25-1759,CIAT-17482,Leucaena leucocephala,Shrub_Trees,10.88,13.55,32.96,48.79
4,F25-1760,CIAT-17502,Leucaena leucocephala,Shrub_Trees,11.68,14.68,35.97,48.39
4,F26-0035,CIAT-17514,Mimosa pudica,Shrub_Trees,13.73,16.59,69.97,30.36
4,F26-0036,CIAT-17725,Mimosa polycarpa,Shrub_Trees,13.0,16.43,71.03,30.02
4,F25-2602,CIAT-18277,Indigofera jamaicensis,Herbaceous_legumes,12.49,15.54,51.22,39.46
4,F26-0037,CIAT-18947,Sesbania sesban,Shrub_Trees,13.67,13.81,41.93,51.99
4,F26-0024,CIAT-18950,Indigofera spicata,Herbaceous_legumes,13.91,17.09,59.59,47.3
4,F25-2603,CIAT-18952,Indigofera atriceps,Herbaceous_legumes,12.56,14.76,51.46,32.47
4,F25-2604,CIAT-18953,Indigofera atriceps,Herbaceous_legumes,13.61,14.21,51.33,39.31
4,F25-2605,CIAT-18954,Indigofera atriceps,Herbaceous_legumes,12.02,13.92,49.98,33.48
4,F26-0038,CIAT-19165,Sesbania keniensis,Shrub_Trees,14.66,15.73,56.24,44.03
4,F26-0025,CIAT-19193,Tephrosia villosa,Herbaceous_legumes,14.99,18.8,68.15,39.26
4,F25-2606,CIAT-19198,Tephrosia villosa,Herbaceous_legumes,13.71,17.46,53.55,45.87
4,F25-1761,CIAT-19384,Prosopis juliflora,Shrub_Trees,8.28,2.69,4.92,60.95
4,F25-2607,CIAT-19460,Sesbania cannabina,Shrub_Trees,14.11,16.06,105.58,25.96
4,F25-1762,CIAT-19571,Senna cobanensis,Shrub_Trees,13.84,18.19,61.87,44.59
4,F26-0026,CIAT-19641,Tephrosia purpurea,Herbaceous_legumes,14.43,18.4,71.68,36.64
4,F25-2608,CIAT-20044,Tephrosia purpurea,Herbaceous_legumes,14.34,18.36,49.36,57.06
4,F25-1763,CIAT-20126,Acacia angustissima,Shrub_Trees,12.38,12.24,35.13,25.99
4,F25-1764,CIAT-20788,Senna pallida,Shrub_Trees,13.09,17.65,47.31,67.1
4,F25-1765,CIAT-21242,Leucaena diversifolia,Shrub_Trees,11.32,13.95,35.98,32.08
4,F25-1766,CIAT-21512,Calliandra calothyrsus,Shrub_Trees,11.1,13.18,27.96,25.15
4,F25-1767,CIAT-21601,Erythrina fusca,Shrub_Trees,13.99,15.38,52.41,29.92
4,F25-1768,CIAT-21809,Acacia farnesiana,Shrub_Trees,13.66,18.04,54.95,38.97
4,F25-1769,CIAT-21810,Acacia angustissima,Shrub_Trees,10.94,11.31,26.04,33.76
4,F25-1770,CIAT-21888,Leucaena leucocephala,Shrub_Trees,11.26,14.3,39.88,46.47
4,F26-0039,CIAT-21899,Sesbania sesban,Shrub_Trees,14.06,15.64,61.07,36.07
4,F25-1732,CIAT-22004,Dendrolobium triangulare,Shrub_Trees,13.74,17.14,61.95,23.51
4,F25-1771,CIAT-22310,Calliandra calothyrsus,Shrub_Trees,11.01,12.46,32.88,22.65
4,F25-1772,CIAT-22311,Calliandra calothyrsus,Shrub_Trees,12.06,12.62,,
4,F25-1773,CIAT-22316,Calliandra calothyrsus,Shrub_Trees,12.41,12.89,28.14,31.08
4,F25-2609,CIAT-22423,Vigna unguiculata,Herbaceous_legumes,13.62,16.31,42.49,64.95
4,F25-2610,CIAT-22480,Sesbania cannabina,Shrub_Trees,13.81,16.21,51.39,56.26
4,F25-1733,CIAT-23104,Dendrolobium triangulare,Shrub_Trees,14.31,17.79,80.77,18.16
4,F25-1734,CIAT-23106,Dendrolobium triangulare,Shrub_Trees,14.4,18.08,69.06,18.83
4,F25-1735,CIAT-23107,Dendrolobium triangulare,Shrub_Trees,14.5,18.09,62.47,18.22
4,F25-1736,CIAT-23108,Dendrolobium triangulare,Shrub_Trees,13.48,18.26,71.58,17.48
4,F25-2611,CIAT-23116,Desmodium tortuosum,Shrub_Trees,14.11,17.32,69.81,38.29
4,F25-1774,CIAT-23239,Dendrolobium triangulare,Shrub_Trees,13.71,17.91,72.83,22.69
4,F25-1737,CIAT-23412,Dendrolobium triangulare,Shrub_Trees,13.56,17.41,58.16,19.64
4,F25-1738,CIAT-23413,Dendrolobium triangulare,Shrub_Trees,14.12,16.79,62.63,22.62
4,F26-0040,CIAT-23414,Codariocalyx motorius,Shrub_Trees,14.43,16.01,73.03,26.23
4,F25-2612,CIAT-23416,Codariocalyx motorius,Shrub_Trees,13.0,15.7,56.65,36.61
4,F25-1739,CIAT-23419,Dendrolobium triangulare,Shrub_Trees,14.04,18.06,80.56,17.59
4,F25-1740,CIAT-23422,Dendrolobium triangulare,Shrub_Trees,14.49,17.96,69.29,21.77
4,F26-0027,CIAT-23503,Desmodium macrodesmum,Herbaceous_legumes,12.94,16.06,64.16,32.87
4,F25-1692,CIAT-23715,Desmodium sequax,Shrub_Trees,12.42,15.01,,
4,F25-1741,CIAT-23734,Dendrolobium triangulare,Shrub_Trees,15.12,17.51,60.39,30.16
4,F26-0041,CIAT-23767,Desmodium nicaraguense,Shrub_Trees,16.24,17.46,56.97,46.73
4,F25-2613,CIAT-23806,Desmodium angustifolium,Herbaceous_legumes,13.49,16.55,60.64,44.04
4,F25-1742,CIAT-23932,Dendrolobium triangulare,Shrub_Trees,14.7,17.95,73.46,22.76
4,F25-1743,CIAT-23933,Dendrolobium triangulare,Shrub_Trees,14.86,17.27,65.72,22.87
4,F25-1744,CIAT-23934,Dendrolobium triangulare,Shrub_Trees,14.45,17.16,58.42,29.86
4,F25-1745,CIAT-23936,Dendrolobium triangulare,Shrub_Trees,14.15,17.39,69.63,21.51
4,F25-2614,CIAT-24104,Macroptilium atropurpureum,Herbaceous_legumes,12.88,16.04,40.93,56.78
4,F26-0028,CIAT-24333,Macroptilium bracteatum,Herbaceous_legumes,14.54,16.7,84.68,35.63
4,F25-2615,CIAT-24565,Vigna unguiculata,Herbaceous_legumes,13.0,15.45,46.92,50.41
4,F25-1775,CIAT-33116,Dendrolobium triangulare,Shrub_Trees,13.2,17.55,51.55,26.21
4,F25-1746,CIAT-33119,Dendrolobium triangulare,Shrub_Trees,14.42,17.95,60.37,29.76
4,F26-0042,CIAT-33127,Codariocalyx motorius,Shrub_Trees,14.5,16.09,,
4,F26-0029,CIAT-33235,Desmodium scorpiurus,Herbaceous_legumes,14.79,16.11,58.31,33.78
4,F25-1747,CIAT-33383,Dendrolobium sp.,Shrub_Trees,14.32,17.41,56.51,30.62
