id,tax_name_x,functional_group_x,ch4_percentage_8h,ch4_percentage_24h,ch4_intensity_ml_g_tddm,tddm_mg_g,subset,id_lab,tax_name_y,functional_group_y,ch4_8h_percentage,ch4_24h_percentage,methane_intensity,tddm
CIAT-10647,Stylosanthes scabra,Herbaceous_legumes,15.9,18.79192154,48.30685803,67.34093523,1,F24-3469,Stylosanthes scabra,Herbaceous_legumes,15.9,22.28,48.31,67.34
CIAT-11162,Stylosanthes scabra,Herbaceous_legumes,12.86666667,13.74138071,36.94343786,45.77448107,2,F24-3636,Stylosanthes scabra,Herbaceous_legumes,12.44,17.57,50.47,56.82
CIAT-11194,Stylosanthes hamata,Herbaceous_legumes,15.16666667,18.02387196,46.11538379,59.24865579,1,F24-3470,Stylosanthes hamata,Herbaceous_legumes,15.17,20.65,46.12,59.25
CIAT-11833,Stylosanthes guianensis,Herbaceous_legumes,12.71666667,13.8317177,50.4200017,49.86070983,2,F25-0989,Stylosanthes guianensis,Herbaceous_legumes,11.63,15.02,63.62,30.51
CIAT-11998,Stylosanthes guianensis,Herbaceous_legumes,12.78,14.57000098,50.22856478,49.7484762,2,F25-0970,Stylosanthes guianensis,Herbaceous_legumes,11.18,12.67,38.27,44.05
CIAT-11999,Stylosanthes guianensis,Herbaceous_legumes,12.97777778,16.25165268,46.60779238,58.54567987,1,F24-3471,Stylosanthes guianensis,Herbaceous_legumes,12.98,18.83,46.61,58.55
CIAT-12318,Stylosanthes hamata,Herbaceous_legumes,13.98888889,16.96005211,52.26503186,56.88386164,1,F24-3472,Stylosanthes hamata,Herbaceous_legumes,13.99,19.78,52.27,56.88
CIAT-1257,Stylosanthes scabra,Herbaceous_legumes,14.53333333,16.39871277,43.29464125,58.67446657,1,F24-3427,Stylosanthes scabra,Herbaceous_legumes,14.53,18.25,43.29,58.67
CIAT-13268,Tadehagi triquetrum,Herbaceous_legumes,13.1,14.35436282,42.26789048,51.72237659,2,F25-0931,Tadehagi triquetrum,Herbaceous_legumes,11.21,14.72,30.9,38.94
CIAT-13301,Desmodium sequax,Herbaceous_legumes,13.2,14.14448117,34.7881529,52.57905626,2,F24-3637,Desmodium sequax,Herbaceous_legumes,14.0,18.83,48.61,26.72
CIAT-13389,Desmodium sequax,Herbaceous_legumes,12.85714286,14.40299974,49.56558831,42.13162819,2,F25-0972,Desmodium sequax,Herbaceous_legumes,12.81,15.56,48.91,21.43
CIAT-13575,Desmodium incanum,Herbaceous_legumes,13.6,16.22765565,42.43278646,42.85033336,1,F24-3473,Desmodium incanum,Herbaceous_legumes,13.6,18.78,42.43,42.85
CIAT-13609,Desmodium incanum,Herbaceous_legumes,13.65555556,16.31007432,46.38743434,38.40313447,1,F24-3474,Desmodium incanum,Herbaceous_legumes,13.66,19.53,46.39,38.4
CIAT-13651,Desmodium heterocarpon,Herbaceous_legumes,12.98571429,14.53389491,67.17064882,36.12205293,2,F25-0973,Desmodium heterocarpon,Herbaceous_legumes,13.13,14.94,60.65,26.5
CIAT-13692,Desmodium velutinum,Shrub_Trees,13.57777778,15.30963118,45.77565573,48.40187974,2,F25-0942,Desmodium velutinum,Shrub_Trees,15.48,19.09,56.63,40.73
CIAT-15121,Centrosema macrocarpum,Herbaceous_legumes,13.6,15.39584797,43.27789324,51.01353978,2,F25-0943,Centrosema macrocarpum,Herbaceous_legumes,13.6,17.31,43.07,53.13
CIAT-15150,Centrosema molle,Herbaceous_legumes,14.625,17.36299726,45.93246131,60.23814968,2,F25-0944,Centrosema molle,Herbaceous_legumes,13.48,15.02,48.67,43.89
