subset,requisitioner,no,id_lab,id,n_replicates,tax_order,family,genus,species,tax_name,functional_group,set_ciat,batch,run,replication,syrange,sample_weight_g,undigested_dm_g,dm_incubated,digested_feed_mg,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_8h_percentage,ch4_24h_percentage,part_fact,ch4_ml_g_dm_incubaed_24h,ch4_ml_g_ndf_digested_24h,methane_intensity,tddm
1,LMF,2202,F25-0769,AMC-ICARDA-156302,3,Fabales,Fabaceae,Trifolium,repens,Trifolium repens,Herbaceous_legumes,11,29,1,1,4,0.5,0.13,454.49,327.23,37.76,86.99,6.03,14.08,15.97,16.37,3.75,30.99,-75.1,43.67,72.0
1,LMF,2235,F25-0770,AMC-ICARDA-165072,3,,,Vicia ,tenuifolia,Vicia tenuifolia,,11,29,1,1,37,0.5,0.2,454.34,257.98,43.07,86.99,6.19,14.43,14.37,18.77,2.97,31.76,,56.12,56.78
1,LMF,2226,F25-0773,AMC-ICARDA-168125,3,,,Lathyrus,sylvestris,Lathyrus sylvestris,,11,29,1,1,28,0.5,0.26,454.34,192.31,30.24,61.77,4.7,10.3,15.53,17.77,3.12,22.66,,55.1,42.32
1,Genetic bank,1057,F24-3469,CIAT-10647,6,Fabales,Fabaceae,Stylosanthes,scabra,Stylosanthes scabra,Herbaceous_legumes,6,17,2,1,194,0.5,0.13,464.95,313.1,43.31,79.2,6.9,14.88,15.9,22.28,3.95,32.01,151.04,48.31,67.34
1,Genetic bank,1060,F24-3470,CIAT-11194,6,Fabales,Fabaceae,Stylosanthes,hamata,Stylosanthes hamata,Herbaceous_legumes,6,17,2,1,197,0.5,0.2,464.74,275.35,33.85,70.41,5.14,12.69,15.17,20.65,3.91,27.31,184.66,46.12,59.25
1,Genetic bank,1179,F24-3471,CIAT-11999,9,Fabales,Fabaceae,Stylosanthes,guianensis,Stylosanthes guianensis,Herbaceous_legumes,7,19,1,1,108,0.5,0.19,467.82,273.89,34.49,78.22,4.5,12.75,12.98,18.83,3.5,27.25,139.83,46.61,58.55
1,Genetic bank,1182,F24-3472,CIAT-12318,9,Fabales,Fabaceae,Stylosanthes,hamata,Stylosanthes hamata,Herbaceous_legumes,7,19,1,1,111,0.5,0.2,470.83,267.83,39.9,82.4,5.58,14.01,13.99,19.78,3.25,29.75,259.42,52.27,56.88
1,Genetic bank,159,F24-3427,CIAT-1257,36,Fabales,Fabaceae,Stylosanthes,scabra,Stylosanthes scabra,Herbaceous_legumes,2,4,1,1,6,0.5,0.19,463.84,272.16,34.23,70.83,5.01,11.62,14.53,18.25,4.07,25.06,93.2,43.29,58.67
1,Genetic bank,1185,F24-3473,CIAT-13575,9,Fabales,Fabaceae,Desmodium,incanum,Desmodium incanum,Herbaceous_legumes,7,19,1,1,114,0.5,0.27,470.99,201.82,25.6,51.93,3.49,8.46,13.6,18.78,3.89,17.97,502.53,42.43,42.85
1,Genetic bank,1188,F24-3474,CIAT-13609,9,Fabales,Fabaceae,Desmodium,incanum,Desmodium incanum,Herbaceous_legumes,7,19,1,1,117,0.5,0.29,467.3,179.46,27.51,50.25,3.77,8.22,13.66,19.53,3.58,17.58,-1188.43,46.39,38.4
