id_lab,id,subset,no,requisitioner,tax_name,functional_group,net_gas_8h_ml,net_gas_24h_ml,gas_ml_g_dm_incubated_24h,tddm,part_fact,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,ch4_ml_g_dm_incubated_24h,methane_intensity,ch4_ml_g_ndf_digested_24h,n_replicates_gas
Dieta-1_Exp1,Dieta-1-Exp-1,3,839,LMF-invivo,Dieta 1_Exp1,,1.46,2.68,5.96,9.72,0.69,0.44,0.1,0.91,34.45,153.02,6
Dieta-1_Exp2,Dieta-1-Exp-2,3,1019,LMF-invivo,Dieta 1_Exp2,,1.0,1.08,2.43,14.34,1.43,0.37,0.29,0.24,31.38,139.79,5
Dieta-2_Exp1,Dieta-2-Exp-1,3,738,LMF-invivo,Dieta 2_Exp1,,2.13,4.23,9.43,6.47,0.47,0.43,0.16,1.16,16.61,74.09,6
Dieta-2_Exp2,Dieta-2-Exp-2,3,1022,LMF-invivo,Dieta 2_Exp2,,1.13,1.51,3.38,1.09,0.15,0.42,0.24,0.33,3.78,16.9,6
F24-3416,CIAT-705,1,1,Genetic_bank,Indigofera suffruticosa,Herbaceous_legumes,1.32,1.62,3.53,9.22,0.67,0.46,0.82,1.37,4.3,77.9,9
F24-3417,CIAT-707,1,4,Genetic_bank,Alysicarpus ovalifolius,Herbaceous_legumes,0.85,1.26,2.84,4.23,0.35,0.48,0.76,1.4,4.07,33.09,9
F24-3418,CIAT-712,1,7,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,0.97,1.94,4.27,4.31,0.32,0.38,0.44,1.27,4.32,44.25,9
F24-3419,CIAT-749,1,10,Genetic_bank,Crotalaria juncea,Herbaceous_legumes,1.14,1.91,4.12,3.54,0.35,0.82,0.45,1.0,3.32,40.51,9
F24-3420,CIAT-768,1,13,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,1.23,1.35,2.92,2.14,0.14,0.38,0.48,1.11,2.33,17.8,9
F24-3421,CIAT-772,1,16,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,2.62,8.27,18.07,5.77,0.97,1.23,1.06,1.67,5.26,15.76,9
F24-3422,CIAT-819,1,19,Genetic_bank,Indigofera suffruticosa,Herbaceous_legumes,0.46,2.15,4.74,6.5,0.63,0.33,0.81,1.88,6.54,82.86,8
F24-3423,CIAT-905,1,22,Genetic_bank,Canavalia brasiliensis,Herbaceous_legumes,1.17,6.52,14.17,4.31,0.61,0.3,0.9,3.44,7.61,4318.33,9
F24-3424,CIAT-913,1,25,Genetic_bank,Cajanus cajan,Shrub_Trees,1.2,5.43,11.44,7.28,0.83,0.58,1.09,1.17,4.1,42.54,9
F24-3425,CIAT-955,1,28,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,2.78,6.6,14.37,6.19,0.58,1.0,0.44,2.1,8.16,52.02,9
F24-3426,CIAT-989,1,406,Genetic_bank,Indigofera hirsuta,Herbaceous_legumes,1.5,4.49,9.72,8.62,0.57,1.14,0.93,1.39,3.29,320.96,9
F24-3427,CIAT-1257,1,409,Genetic_bank,Stylosanthes scabra,Herbaceous_legumes,7.76,17.39,37.49,8.48,2.16,0.96,0.67,6.68,14.96,51.74,9
F24-3428,CIAT-3240,1,412,Genetic_bank,Desmodium cinereum,Browse,3.7,6.38,13.72,5.36,0.42,0.48,0.38,2.49,3.39,115.8,9
F24-3429,CIAT-3522,1,415,Genetic_bank,Desmodium incanum,Herbaceous_legumes,1.24,3.59,7.69,3.04,0.38,0.69,0.47,1.17,4.06,5658.63,9
F24-3430,CIAT-4134,1,418,Genetic_bank,Macroptilium lathyroides,Herbaceous_legumes,3.83,7.39,16.12,5.75,0.54,0.62,0.42,2.64,7.21,1326.87,9
F24-3431,CIAT-4279,1,421,Genetic_bank,Vigna umbellata,Herbaceous_legumes,4.49,8.01,17.61,6.68,0.48,0.47,0.3,3.1,5.68,79.67,9
F24-3432,CIAT-5124,1,425,Genetic_bank,Centrosema molle x acutifolium,Herbaceous_legumes,4.18,5.02,10.96,9.23,0.94,0.56,0.29,1.88,6.92,34.62,8
F24-3433,CIAT-5234,1,427,Genetic_bank,Centrosema brasilianum,Herbaceous_legumes,4.73,4.77,10.34,4.27,0.21,0.53,0.5,1.57,2.66,18.3,8
F24-3434,CIAT-7292,1,430,Genetic_bank,Chamaecrista desvauxii,Herbaceous_legumes,4.22,4.66,10.14,3.53,0.57,0.86,0.62,1.44,3.86,114.62,9
F24-3435,CIAT-7317,1,433,Genetic_bank,Canavalia sp.,Herbaceous_legumes,2.68,6.63,14.32,4.53,0.7,0.72,0.43,2.1,3.57,23.53,9
F24-3436,CIAT-7322,1,436,Genetic_bank,Canavalia sp.,Herbaceous_legumes,2.79,8.43,18.85,3.51,0.42,0.65,0.42,2.93,3.13,23.88,9
F24-3437,CIAT-7339,1,439,Genetic_bank,Indigofera lespedezioides,Herbaceous_legumes,7.8,9.14,19.86,10.3,1.18,1.35,0.69,3.37,8.67,221.17,9
F24-3438,CIAT-7469,1,442,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,4.38,7.72,16.77,9.35,0.57,1.93,1.21,2.72,8.16,60.64,9
F24-3439,CIAT-7643,1,445,Genetic_bank,Desmanthus pernambucanus,Browse,0.83,2.25,4.8,3.99,0.22,1.34,0.6,0.97,2.99,45.33,6
F24-3440,CIAT-7703,1,448,Genetic_bank,Aeschynomene indica,Herbaceous_legumes,4.72,7.53,16.34,10.25,0.49,0.5,0.43,2.4,5.97,43.74,8
F24-3441,CIAT-7714,1,631,Genetic_bank,Alysicarpus glumaceus,Herbaceous_legumes,1.12,3.28,7.02,9.23,0.74,0.23,0.53,1.6,7.33,12.52,12
F24-3442,CIAT-7757,1,634,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,2.67,5.75,12.49,2.73,0.25,0.56,0.37,2.54,4.01,21.45,12
F24-3443,CIAT-7759,1,637,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,1.2,5.33,11.4,4.61,0.25,0.25,0.28,2.53,4.1,21.76,6
F24-3444,CIAT-7790,1,640,Genetic_bank,Crotalaria pallida,Herbaceous_legumes,0.7,6.64,14.46,8.34,0.63,1.16,1.33,5.03,8.21,24.17,6
F24-3445,CIAT-7792,1,643,Genetic_bank,Chamaecrista rotundifolia,Herbaceous_legumes,2.37,6.05,13.0,6.98,0.3,0.34,0.45,2.95,4.14,22.39,6
F24-3446,CIAT-7816,1,646,Genetic_bank,Indigofera spicata,Herbaceous_legumes,1.19,6.77,14.61,4.79,0.53,0.31,0.25,2.35,4.15,47.18,6
F24-3447,CIAT-7858,1,649,Genetic_bank,Crotalaria incana,Herbaceous_legumes,5.23,9.49,20.35,6.66,0.43,0.37,0.17,4.04,5.21,17.84,6
F24-3448,CIAT-7972,1,652,Genetic_bank,Canavalia brasiliensis,Herbaceous_legumes,3.44,6.65,14.42,9.89,0.36,1.08,0.8,1.92,4.85,122.13,6
F24-3449,CIAT-8205,1,655,Genetic_bank,Indigofera suffruticosa,Herbaceous_legumes,2.06,6.44,13.95,4.64,0.49,0.57,0.49,2.38,3.85,75.43,6
F24-3450,CIAT-8402,1,658,Genetic_bank,Indigofera suffruticosa,Herbaceous_legumes,3.87,2.98,6.49,3.02,0.13,0.46,0.31,1.36,1.32,58.69,5
F24-3451,CIAT-8408,1,661,Genetic_bank,Chamaecrista nictitans,Herbaceous_legumes,1.19,5.52,11.73,1.83,0.29,0.32,0.66,3.23,6.17,143.48,6
F24-3452,CIAT-8409,1,664,Genetic_bank,Chamaecrista nictitans,Herbaceous_legumes,1.31,4.17,9.06,6.28,0.37,0.33,0.87,2.9,4.64,129.88,5
F24-3453,CIAT-8719,1,667,Genetic_bank,Canavalia sp. ,Herbaceous_legumes,1.16,3.97,8.44,5.48,0.26,0.28,1.92,3.78,6.73,1049.44,12
F24-3454,CIAT-8797,1,670,Genetic_bank,Desmanthus virgatus,Shrub_Trees,3.32,4.21,9.07,1.92,0.16,0.75,0.33,1.51,2.44,64.98,6
F24-3455,CIAT-8819,1,673,Genetic_bank,Coursetia caribaea,Herbaceous_legumes,0.87,5.31,11.6,4.88,0.23,0.43,0.3,2.7,3.25,99.31,5
F24-3456,CIAT-9170,1,676,Genetic_bank,Indigofera lespedezioides,Herbaceous_legumes,0.89,1.14,2.46,5.42,0.61,0.27,0.21,0.37,5.84,936.21,6
F24-3457,CIAT-9254,1,679,Genetic_bank,Crotalaria pallida,Herbaceous_legumes,2.94,8.58,18.92,4.55,0.38,0.41,0.8,4.83,5.39,60.24,6
F24-3458,CIAT-9283,1,682,Genetic_bank,Crotalaria pallida,Herbaceous_legumes,1.92,1.12,2.46,5.74,0.36,0.36,0.94,1.73,3.94,127.45,6
F24-3459,CIAT-9288,1,685,Genetic_bank,Indigofera suffruticosa,Herbaceous_legumes,3.0,0.94,2.03,4.09,0.29,0.39,0.97,1.65,3.76,34.89,6
F24-3460,CIAT-9336,1,688,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,2.15,7.12,15.78,5.92,0.71,0.47,0.61,3.94,8.15,72.94,6
F24-3461,CIAT-9349,1,691,Genetic_bank,Mucuna pruriens,Herbaceous_legumes,1.47,2.54,5.56,6.06,0.47,0.51,0.19,1.05,4.8,264.02,6
F24-3462,CIAT-9356,1,694,Genetic_bank,Tephrosia noctiflora,Shrub_Trees,0.9,3.35,7.2,6.31,0.49,0.56,0.51,1.77,5.31,220.93,6
F24-3463,CIAT-9432,1,697,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,1.92,4.61,10.11,2.18,0.26,0.47,0.19,1.92,4.75,1084.99,5
F24-3464,CIAT-9433,1,700,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,2.98,2.27,4.8,10.14,0.65,0.24,0.1,0.99,7.48,1135.99,6
F24-3465,CIAT-9435,1,703,Genetic_bank,Desmanthus pubescens,Shrub_Trees,1.01,0.91,1.95,2.21,0.21,0.5,0.16,0.39,2.07,3948.55,6
F24-3466,CIAT-9530,1,706,Genetic_bank,Crotalaria maypurensis,Herbaceous_legumes,1.57,2.96,6.37,6.38,0.42,0.38,0.17,1.12,5.88,7498.1,6
F24-3467,CIAT-9562,1,709,Genetic_bank,Eriosema diffusum,Herbaceous_legumes,1.17,1.55,3.3,2.09,0.35,0.67,0.41,0.52,4.19,55.23,4
F24-3468,CIAT-9982,1,712,Genetic_bank,Crotalaria incana,Herbaceous_legumes,1.4,3.83,8.17,2.76,0.12,0.45,0.2,1.5,1.56,20.38,6
F24-3469,CIAT-10647,1,715,Genetic_bank,Stylosanthes scabra,Herbaceous_legumes,3.33,1.83,3.95,10.18,0.6,0.44,0.18,0.82,6.18,42.84,6
F24-3470,CIAT-11194,1,718,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,3.48,3.74,8.02,2.82,0.17,0.45,0.14,1.44,1.99,32.24,6
F24-3471,CIAT-11999,1,811,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,1.82,2.64,5.66,3.17,0.22,1.72,1.71,3.7,6.28,25.02,9
F24-3472,CIAT-12318,1,814,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,1.96,2.52,5.34,3.68,0.16,1.73,1.71,3.7,5.5,60.04,9
F24-3473,CIAT-13575,1,817,Genetic_bank,Desmodium incanum,Herbaceous_legumes,0.9,2.77,5.88,4.76,0.48,1.96,1.74,2.72,8.14,1147.38,9
F24-3474,CIAT-13609,1,820,Genetic_bank,Desmodium incanum,Herbaceous_legumes,1.37,3.4,7.28,4.06,0.41,1.8,1.6,2.4,9.33,1500.59,9
F24-3475,CIAT-15551,1,823,Genetic_bank,Centrosema molle,Herbaceous_legumes,2.02,5.78,12.34,5.72,0.39,1.89,1.8,4.12,9.15,212.76,9
F24-3476,CIAT-17024,1,826,Genetic_bank,Desmanthus pernambucanus,Shrub_Trees,1.25,4.2,9.06,3.89,0.38,1.72,1.67,3.16,8.84,2728.38,9
F24-3477,CIAT-17091,1,829,Genetic_bank,Crotalaria micans,Herbaceous_legumes,2.07,3.74,7.88,3.62,0.16,1.84,1.63,3.74,5.74,50.94,9
F24-3478,CIAT-17365,1,832,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,1.53,2.54,5.48,3.56,0.15,1.95,1.82,4.2,5.5,37.63,9
F24-3479,CIAT-17451,1,835,Genetic_bank,Canavalia sp.,Herbaceous_legumes,1.32,2.19,4.78,2.86,0.22,1.87,1.82,3.19,5.7,81.75,9
F24-3480,CIAT-17775,1,838,Genetic_bank,Christia obcordata,Herbaceous_legumes,1.57,2.0,4.21,3.57,0.19,1.85,1.73,3.55,6.61,66.91,9
F24-3481,CIAT-18016,1,841,Genetic_bank,Sesbania emerus,Shrub_Trees,2.15,5.13,10.97,3.9,0.31,1.78,1.56,3.43,7.15,816.9,9
F24-3482,CIAT-18044,1,844,Genetic_bank,Christia sp.,Herbaceous_legumes,1.22,2.55,5.45,5.29,0.25,1.92,1.7,2.94,6.43,117.6,8
F24-3483,CIAT-18288,1,847,Genetic_bank,Sesbania exasperata,Shrub_Trees,1.49,3.56,7.69,7.52,0.38,1.92,1.63,3.54,6.33,3515.79,8
F24-3484,CIAT-18447,1,850,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,2.11,3.04,6.51,3.13,0.14,1.95,1.81,3.94,6.05,168.01,9
F24-3485,CIAT-18455,1,853,Genetic_bank,Christia obcordata,Herbaceous_legumes,1.48,12.74,27.35,4.11,0.36,2.16,2.04,7.53,10.6,142.33,9
F24-3486,CIAT-18707,1,856,Genetic_bank,Crotalaria pallida,Herbaceous_legumes,1.78,2.99,6.68,6.95,0.5,1.94,2.1,3.9,11.64,11391.4,9
F24-3487,CIAT-18749,1,859,Genetic_bank,Arachis pintoi,Herbaceous_legumes,3.02,5.16,11.11,4.85,0.37,1.75,2.01,3.87,6.22,75.77,9
F24-3488,CIAT-18813,1,862,Genetic_bank,Crotalaria nitens,Herbaceous_legumes,1.07,6.19,13.49,4.06,0.58,1.79,1.71,3.39,7.81,1144.5,9
F24-3489,CIAT-18848,1,865,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,1.33,3.39,7.18,8.46,0.8,1.68,1.53,1.75,5.66,814.97,9
F24-3490,CIAT-18862,1,868,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,1.33,3.46,7.42,3.87,0.38,1.62,1.76,3.07,8.09,3894.26,9
F24-3491,CIAT-18931,1,871,Genetic_bank,Tephrosia linearis,Shrub_Trees,1.69,2.89,6.17,6.92,0.45,1.85,1.74,1.98,7.53,234.3,9
F24-3492,CIAT-19038,1,874,Genetic_bank,Canavalia sp.,Shrub_Trees,2.68,5.45,12.09,7.18,0.62,1.93,1.74,3.72,9.43,2842.76,9
F24-3493,CIAT-19118,1,877,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,2.19,2.44,5.27,4.97,0.41,1.93,1.95,2.68,7.44,413.84,9
F24-3494,CIAT-19127,1,880,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,2.31,2.16,4.7,2.38,0.21,1.83,1.82,2.26,6.5,271.14,9
F24-3495,CIAT-19128,1,883,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,2.62,2.65,5.71,1.8,0.17,1.91,1.82,2.33,6.16,87.27,9
F24-3496,CIAT-19129,1,886,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,0.72,1.18,2.51,4.56,0.33,1.95,1.93,2.69,7.51,149.91,9
F24-3497,CIAT-19133,1,889,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,3.07,3.15,6.79,8.16,0.62,1.83,1.77,3.18,15.31,2004.84,9
F24-3498,CIAT-19137,1,892,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,2.11,2.54,5.38,5.31,0.37,1.71,1.56,2.76,8.27,983.06,9
F24-3499,CIAT-19138,1,895,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,3.17,3.05,6.62,2.62,0.23,1.86,1.8,2.61,4.66,97.75,9
F24-3500,CIAT-19139,1,898,Genetic_bank,Alysicarpus ovalifolius,Herbaceous_legumes,2.74,3.72,7.82,5.63,0.5,1.48,1.63,3.08,5.37,107.53,9
F24-3501,CIAT-19213,1,1156,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,4.41,1.24,2.66,7.75,0.47,0.44,0.21,0.67,3.97,67.79,9
F24-3502,CIAT-19421,1,1159,Genetic_bank,Uraria lagopodioides,Herbaceous_legumes,4.11,1.64,3.52,3.23,0.31,0.23,0.14,0.55,2.39,786.43,9
F24-3503,CIAT-19566,1,1162,Genetic_bank,Tephrosia noctiflora,Shrub_Trees,5.3,3.75,8.0,4.66,0.36,0.23,0.1,1.39,3.2,435.21,9
F24-3504,CIAT-19667,1,1165,Genetic_bank,Indigofera hirsuta,Herbaceous_legumes,2.72,3.14,6.81,2.6,0.44,0.26,0.15,1.0,3.32,260.37,9
F24-3505,CIAT-19673,1,1168,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,5.02,5.17,11.17,2.37,0.3,0.52,0.22,1.94,3.84,3051.15,9
