id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
0,Morex,Grass,12.94,12.65,12.94,79.27
0,Emir - A17/1,Grass,12.81,12.74,12.81,72.24
0,Morex - HB2032,Grass,13.13,12.89,13.13,69.07
0,Zanbaka/H.spont.41-2/4/Arar/H.spont.19-15//Hml/3/H.spont.41-1/Tadmor/5/Zanbakian/6/WI2291/3/CI03309/Attiki//Hja33/4/Gustoe/5/Arar/H.spont.19-15//Hml/3/H.spont.41-1/Tadmor,Grass,10.11,9.3,10.11,82.95
0,Sara/4/H.Spont.96-3/3/Roho//Alger/Ceres362-1-1/5/ROBUR-BAR/J126//OWB753431D/SL3/4/GLORIA-BAR/COPAL//BEN.4D/3/SP-B,Grass,12.01,11.79,12.01,82.96
0,PETUNIA2/M111//QUINA/M112/3/IG 39885,Grass,12.23,12.07,12.23,84.61
0,Emir - A17/1,Grass,12.66,12.54,12.66,82.31
0,Emir - A17/1,Grass,11.82,9.43,11.82,79.69
0,Morex - HB2032,Grass,12.02,11.88,12.02,85.48
0,Emir - A17/1,Grass,13.16,13.02,13.16,74.92
0,Emir - 29209/4,Grass,12.49,12.19,12.49,72.72
0,Emir - A17/1,Grass,13.1,12.86,13.1,82.72
0,Tissa,Grass,11.47,10.74,11.47,82.43
0,Emir - A17/1,Grass,12.14,12.01,12.14,84.52
0,Emir - HB2032,Grass,11.34,10.98,11.34,86.53
0,Morex - HB2032,Grass,10.54,10.12,10.54,87.91
0,PENCO/CHEVRON-BAR/5/ABETO//GLORIA-BAR/COME/3/SEN/4/MJA/6/PENCO/CHEVRON-BAR//CANTUA/7/IG 144951,Grass,9.46,8.95,9.46,86.95
0,Arta/3/Legia/Laurel'S//Aleli/4/Arar/H.spont.19-15//Hml/3/H.spont.41-1/Tadmor/5/Zanbakian/6/Arta/WI3167,Grass,13.23,12.63,13.23,87.67
0,CANELA/Malt 2/5/Arar/H.spont.19-15//Hml/3/H.spont.41-1/Tadmor/4/Tadmor//ER/Apm,Grass,12.89,14.94,12.89,85.94
0,Legia/Laurel'S'//Aleli/3/Arta/4/Moroc9-75//WI2291/CI01387/3/H.spont.41-1,Grass,12.89,14.82,12.89,87.58
0,Morex - 2920/4,Grass,12.63,14.65,12.63,87.58
0,GoldMarker,Grass,11.14,10.64,11.14,83.89
0,Khnata,Grass,11.71,11.53,11.71,84.31
0,Emir - A17/1,Grass,11.21,11.62,11.21,88.61
0,GP - 2920/4,Grass,12.73,12.98,12.73,85.67
0,Sara/4/H.Spont.96-3/3/Roho//Alger/Ceres362-1-1/5/Mundah,Grass,13.26,13.59,13.26,88.68
0,Morex - HB2032,Grass,10.94,10.59,10.94,86.1
0,Alanda/5/Aths/4/Pro/TolI//Cer*2/TolI/3/5106/6/Baca'S'/3/AC253//CI08887/CI05761/7/IG 145155/8/Baudin,Grass,13.41,13.37,13.41,90.71
0,Emir - PI 206443/3,Grass,12.7,12.59,12.7,87.03
0,Tadmor//ER/Apm/3/H.spont.38-3/Akrash-01/4/Furat-1,Grass,12.42,12.36,12.42,88.05
0,Clipper//WI2291*2/WI2269/5/Soufara-02/3/RM1508/Por//WI2269/4/Hml-02/ArabiAbiad//ER/Apm/6/Furat-3,Grass,11.56,7.28,11.56,84.14
0,ARIG-8/IG:154361,Grass,11.42,10.97,11.42,82.03
0,Emir,Grass,11.8,11.72,11.8,
0,Morex - HB2032,Grass,12.94,13.04,12.94,83.28
0,YEA389-3/YEA475-4/4/Hma-02//11012-2/CM67/3/Marageh/5/Alanda 01,Grass,12.02,11.72,12.02,76.59
0,Emir - A17/1,Grass,11.12,10.35,11.12,83.08
0,ANAKIN,Grass,11.89,11.2,11.89,72.79
0,Manal,Grass,12.4,11.93,12.4,81.6
0,Emir - A17/1,Grass,12.3,12.17,12.3,81.68
0,Emir - A17/1,Grass,12.54,12.29,12.54,82.66
0,Emir - (2920/4 x Tinos16/1),Grass,11.89,11.44,11.89,84.69
0,V Morales,Grass,13.57,13.49,13.57,32.04
0,CANELA/Malt 2/5/Arar/H.spont.19-15//Hml/3/H.spont.41-1/Tadmor/4/Tadmor//ER/Apm,Grass,12.78,13.67,12.78,77.62
0,ESMERALDA/3/SLLO/ROBUST//QUINA/4/M104/5/Momtaz,Grass,11.69,11.42,11.69,80.12
0,Tadmor//ER/Apm/3/H.spont.38-3/Akrash-01/4/Tichedrette,Grass,13.3,13.3,13.3,74.06
0,ArabiAbiad/Arar//H.spont.41-5/Tadmor/3/Zanbakian/4/Furat-2,Grass,12.13,11.87,12.13,80.72
0,Alanda/5/Aths/4/Pro/TolI//Cer*2/TolI/3/5106/6/Baca'S'/3/AC253//CI08887/CI05761/7/IG 145502/8/LAMOLINA96/FALCON-BAR,Grass,11.33,10.26,11.33,45.05
0,Morex - HB2032,Grass,12.73,18.59,12.73,53.76
0,Soufara-02/3/RM1508/Por//WI2269/4/Hml-02/ArabiAbiad//ER/Apm/5/H.spont.41-1,Grass,11.83,11.4,11.83,42.31
0,PETUNIA2/M111//QUINA/M112/3/IG 144951,Grass,12.07,11.65,12.07,38.39
0,Emir - 3811/5,Grass,12.27,11.9,12.27,24.34
0,Emir - PI 204579,Grass,12.19,14.19,12.19,78.42
0,ISHI X L94/BCD-TTA//UC1231L,Grass,11.83,11.3,11.83,80.67
0,GIZA-126/IG:154361,Grass,11.48,10.97,11.48,82.0
0,UC1231L/L94-BCD-TTA-C,Grass,11.94,11.72,11.94,78.19
0,CANELA/DEFRA//Alanda,Grass,11.77,11.7,11.77,81.93
0,GIZA-126/IG:153839,Grass,12.16,11.84,12.16,78.53
0,6B89.2027/CHAMICO//TRADITION/3/MSEL/LOGAN-BAR,Grass,11.99,11.59,11.99,82.8
0,Aths/Lignee686/4/Avt/Attiki//Aths/3/Giza121/Pue/6/Lignee527/Chn-01//Alanda/5/Arizona5908/Aths//Avt/Attiki/3/S.T.Barley/4/Aths/Lignee686,Grass,11.87,3.22,11.87,17.41
0,PL172/AMALOU,Grass,12.27,11.81,12.27,26.0
0,CANELA//LIMON/BICHY2000/3/MOMTAZ,Grass,12.93,12.66,12.93,29.45
0,Aths/Lignee686/4/Avt/Attiki//Aths/3/Giza121/Pue/6/Lignee527/Chn-01//Alanda/5/Arizona5908/Aths//Avt/Attiki/3/S.T.Barley/4/Aths/Lignee686,Grass,12.67,13.11,12.67,81.44
0,PL172/AMALOU,Grass,12.67,14.11,12.67,77.58
0,CANELA//LIMON/BICHY2000/3/MOMTAZ,Grass,12.76,14.15,12.76,85.56
0,DWRB101/3/6B89.2027/CHAMICO//TRADITION,Grass,13.16,14.68,13.16,83.13
0,Compass/IG 38821,Grass,12.46,14.17,12.46,87.77
0,Emir - A17,Grass,12.98,14.71,12.98,80.91
0,Rihane-03,Grass,12.92,14.59,12.92,83.9
0,Zanbaka/H.spont.41-2/4/Arar/H.spont.19-15//Hml/3/H.spont.41-1/Tadmor/5/Zanbakian/6/WI2291/3/CI03309/Attiki//Hja33/4/Gustoe/5/Arar/H.spont.19-15//Hml/3/H.spont.41-1/Tadmor,Grass,17.82,17.2,17.82,45.48
0,Sara/4/H.Spont.96-3/3/Roho//Alger/Ceres362-1-1/5/ROBUR-BAR/J126//OWB753431D/SL3/4/GLORIA-BAR/COPAL//BEN.4D/3/SP-B,Grass,17.72,16.9,17.72,50.89
0,PETUNIA2/M111//QUINA/M112/3/IG 39885,Grass,18.0,16.82,18.0,39.41
0,Emir - A17/1,Grass,17.5,16.63,17.5,40.21
0,ISHI X L94/BCD-TTA//UC1231L,Grass,12.95,14.32,12.95,54.44
0,Emir - A17/1,Grass,13.66,14.82,13.66,49.06
0,Arta/3/Hml-02//Esp/1808-4L/4/ArabiAbiad/Arar//H.spont.41-5/Tadmor/5/Furat-3,Grass,12.26,14.17,12.26,88.74
0,Taffa,Grass,12.69,14.8,12.69,87.06
0,PENCO/CHEVRON-BAR/5/ABETO//GLORIA-BAR/COME/3/SEN/4/MJA/6/PENCO/CHEVRON-BAR//CANTUA/7/IG 144951,Grass,18.94,17.09,18.94,45.79
0,GoldenPromise,Grass,13.18,15.26,13.18,85.01
0,Commander /IG 38931,Grass,12.78,15.06,12.78,84.38
0,Morex - HB2032,Grass,13.03,15.25,13.03,85.27
0,Morex - 2920/4,Grass,12.73,14.36,12.73,87.61
0,UC1231L/L94-BCD-TTA-C,Grass,11.22,13.98,11.22,61.2
0,Zanbaka/H.spont.41-2/4/Arar/H.spont.19-15//Hml/3/H.spont.41-1/Tadmor/5/Zanbakian/7/Lignee527//Bahtim/DL71/3/Api/CM67//Mzq/5/Alanda-01/4/WI2291/3/Api/CM67//L2966-69/6/Lignee527/Chn-01//Arar/Rhn-03,Grass,12.37,14.44,12.37,87.83
0,Emir - 2920/4,Grass,11.91,13.85,11.91,84.37
0,Morex,Grass,17.38,17.03,17.38,49.81
0,Clipper//WI2291*2/WI2269/5/Soufara-02/3/RM1508/Por//WI2269/4/Hml-02/ArabiAbiad//ER/Apm/6/Furat-3,Grass,11.47,13.66,11.47,55.01
