id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
1,Stylosanthes guianensis,Herbaceous_legumes,8.23,16.07,44.53,62.76
10,Centrosema brasilianum,Herbaceous_legumes,11.73,17.88,47.14,61.12
39,Vigna oblongifolia var. parviflora,Herbaceous_legumes,9.12,16.57,34.75,61.68
52,Vigna oblongifolia var. parviflora,Herbaceous_legumes,9.02,18.17,38.96,72.02
70,Leucaena leucocephala,Shrub_Trees,7.7,13.25,28.33,63.14
103,Centrosema pubescens Benth.,Herbaceous_legumes,10.47,18.03,39.36,61.32
113,Vigna luteola,Herbaceous_legumes,9.73,18.42,38.93,83.14
144,Megathyrsus maximus,Grass,6.68,17.89,42.71,63.69
156,Neustanthus phaseoloides,Herbaceous_legumes,10.95,18.3,41.85,56.69
174,Desmodium tortuosum,Herbaceous_legumes,11.8,18.35,50.5,55.58
248,Centrosema molle,Herbaceous_legumes,11.08,17.26,48.83,46.38
249,Centrosema pubescens Benth.,Herbaceous_legumes,11.1,18.17,42.04,60.59
271,Centrosema schottii,Herbaceous_legumes,9.55,17.35,47.9,61.95
273,Calopogonium caeruleum,Shrub_Trees,11.2,18.55,51.41,60.86
441,Stylosanthes scabra,Herbaceous_legumes,9.7,17.55,45.85,62.42
555,Stylosanthes fruticosa    ,Herbaceous_legumes,7.37,14.93,37.02,63.26
669,Macrotyloma sp.,Herbaceous_legumes,11.17,20.62,45.84,64.51
740,Macrotyloma sp.,Herbaceous_legumes,9.15,16.8,46.43,59.71
757,Desmodium salicifolium,Herbaceous_legumes,9.67,14.45,32.04,56.7
851,Calopogonium mucunoides,Shrub_Trees,10.08,16.98,38.96,70.17
1029,Crotalaria sp.,Herbaceous_legumes,11.57,15.58,53.3,45.21
1030,Desmodium velutinum,Herbaceous_legumes,10.22,18.3,37.11,68.35
1043,Teramnus repens,Herbaceous_legumes,11.45,18.27,51.41,62.25
1070,Macrotyloma axillare,Herbaceous_legumes,8.45,17.68,47.52,64.88
1127,Canavalia sp.,Herbaceous_legumes,8.7,18.08,47.45,62.59
1251,Canavalia sp.,Herbaceous_legumes,7.95,16.63,40.79,68.72
2074,Teramnus sp.,Herbaceous_legumes,9.63,19.37,36.82,75.11
2084,Stylosanthes fruticosa,Herbaceous_legumes,7.93,17.57,48.03,61.21
2145,Stylosanthes fruticosa,Herbaceous_legumes,7.82,15.17,43.68,53.9
4762,Lotus sp.,Herbaceous_legumes,10.58,18.88,36.36,56.26
4785,Desmodium dichotomum ,Herbaceous_legumes,8.77,12.32,27.93,62.36
5003,Pisum sativum subsp. sativum,Herbaceous_legumes,11.72,16.63,42.55,68.32
5007,Pisum sativum subsp. sativum,Herbaceous_legumes,11.65,15.98,39.06,71.3
5025,Pisum sativum,Herbaceous_legumes,12.45,15.6,34.29,67.56
5041,Pisum sativum var. arvense (L.) Poir.,Herbaceous_legumes,9.57,16.05,38.92,62.11
5127,Vicia sativa ,Herbaceous_legumes,9.82,18.65,49.76,62.85
5167,Vicia sativa,Herbaceous_legumes,11.33,17.63,56.88,59.38
5175,Vicia sativa,Herbaceous_legumes,10.13,18.05,54.66,58.22
5218,Vicia Benhalensis,Herbaceous_legumes,11.1,17.47,52.94,53.99
5227,Vicia sativa subsp. sativa,Herbaceous_legumes,8.78,17.33,45.48,70.42
5253,Vicia sativa subsp. nigra,Herbaceous_legumes,8.15,18.25,40.34,79.36
5281,Lathyrus cicera,Herbaceous_legumes,12.68,15.28,31.35,60.55
5282,Lathyrus  cicera ,Herbaceous_legumes,14.13,16.67,46.62,47.29
5283,Lathyrus sativus,Herbaceous_legumes,12.52,15.75,35.42,67.63
5288,Lathyrus clymenum,Herbaceous_legumes,10.38,19.68,47.64,75.47
5296,Lathyrus ochrus,Herbaceous_legumes,12.22,18.82,43.12,62.76
5309,Lathyrus cicera,Herbaceous_legumes,11.88,18.22,47.54,61.77
5668,Medicago sativa,Herbaceous_legumes,10.8,19.27,50.36,63.96
5671,Medicago sativa,Herbaceous_legumes,10.03,18.57,45.45,67.18
6213,Vicia villosa subsp. varia,Herbaceous_legumes,10.02,14.83,39.68,62.82
6271,Trifolium decorum,Herbaceous_legumes,8.6,19.87,50.11,82.37
6501,Medicago scutellata,Herbaceous_legumes,9.73,15.55,40.16,66.64
6502,Medicago littoralis,Herbaceous_legumes,11.22,14.9,39.34,57.25
6503,Macrotyloma uniflorum,Herbaceous_legumes,8.18,16.15,36.04,68.65
6529,Lablab purpureus,Herbaceous_legumes,6.42,14.99,33.85,63.31
6633,Chloris gayana,Grass,7.03,14.81,35.86,60.44
6642,Cenchrus ciliaris,Grass,7.28,12.64,31.03,46.71
6646,Cenchrus ciliaris,Grass,7.87,13.32,34.81,49.74
6756,Macrotyloma axillare,Herbaceous_legumes,8.23,16.67,44.7,72.89
6761,Neonotonia wightii,Herbaceous_legumes,10.2,17.73,57.12,53.32
6792,Vicia villosa,Herbaceous_legumes,9.27,15.87,41.98,63.24
6852,Lotononis bainesii,Herbaceous_legumes,9.63,16.25,45.55,78.88
6859,Stylosanthes viscosa,Herbaceous_legumes,9.48,15.08,41.37,60.66
6984,Medicago sativa,Herbaceous_legumes,10.3,19.22,49.08,64.23
7089,Phaseolus sp.,Herbaceous_legumes,10.78,16.97,43.38,67.05
7093,Phaseolus sp.,Herbaceous_legumes,10.98,16.7,37.13,68.6
7153,Panicum coloratum,Grass,6.43,15.46,33.51,61.47
7264,Grona heterocarpa,Herbaceous_legumes,8.77,15.03,35.59,60.07
7266,Canavalia brasiliensis,Herbaceous_legumes,8.9,17.88,45.88,66.93
7271,Lupinus angstifolius,Herbaceous_legumes,9.53,16.38,52.22,55.42
7272,Lupinus angstifolius,Herbaceous_legumes,8.07,15.32,48.23,60.29
7297,Eriosema psoraleoides,Herbaceous_legumes,8.45,15.25,31.9,51.92
7309,Trigonella foenum-graecum,Herbaceous_legumes,9.32,14.08,22.85,61.85
7315,Lotononis listii,Herbaceous_legumes,8.7,14.13,35.4,54.67
7384,Chloris gayana,Grass,8.4,15.11,39.66,54.75
7403,Lablab purpureus,Herbaceous_legumes,6.37,18.44,40.19,77.8
7579,Melilotus indicus,Herbaceous_legumes,9.92,18.23,56.8,69.12
7622,Trifolium semipilosum ,Herbaceous_legumes,9.87,16.45,42.67,79.59
7638,Trifolium semipilosum,Herbaceous_legumes,10.28,15.93,44.42,72.81
7794,Medicago lupulina,Herbaceous_legumes,10.22,17.82,39.79,60.92
7803,Podlechiella vogelii subsp. fatmensis,Herbaceous_legumes,11.58,19.9,39.54,64.98
7839,Lotus discolor,Herbaceous_legumes,6.98,14.07,27.5,63.3
7854,Trifolium sp.,Herbaceous_legumes,10.58,14.67,28.86,60.38
8003,Trifolium tembense ,Herbaceous_legumes,11.27,14.6,45.26,55.08
8091,Tephrosia sp.,Herbaceous_legumes,8.52,13.7,27.91,71.59
8141,Trifolium semipilosum,Herbaceous_legumes,10.4,16.65,52.62,66.29
8191,Trifolium semipilosum,Herbaceous_legumes,8.4,15.77,44.44,75.21
8214,Trifolium semipilosum,Herbaceous_legumes,10.23,16.55,45.7,77.52
8354,Tephrosia sp.,Herbaceous_legumes,9.62,18.75,51.62,66.58
8399,Trifolium mattirolianum,Herbaceous_legumes,9.57,15.22,26.64,45.45
8415,Indigofera sp.,Herbaceous_legumes,7.82,16.83,40.64,72.41
8442,Indigofera sp.,Herbaceous_legumes,7.05,17.4,36.7,70.27
8554,Lotus sp.,Herbaceous_legumes,11.53,16.87,27.62,61.9
9259,Trifolium sp.,Herbaceous_legumes,10.82,15.45,35.05,50.78
9264,Neustanthus phaseoloides,Herbaceous_legumes,10.38,18.25,39.79,68.58
9270,Mucuna pruriens ,Herbaceous_legumes,10.95,17.22,43.12,64.69
9303,Glycine max,Herbaceous_legumes,9.03,16.08,42.72,71.66
9304,Glycin max,Herbaceous_legumes,10.08,16.95,55.48,68.27
9333,Vigna unguiculata,Herbaceous_legumes,7.93,15.17,41.15,64.66
9334,Vigna unguiculata,Herbaceous_legumes,9.1,16.76,45.62,69.16
9339,Vigna unguiculata,Herbaceous_legumes,9.43,13.55,36.18,66.16
9352,Vigina Uniguiculata,Herbaceous_legumes,9.08,15.45,43.37,54.14
9376,Melilotus sp.,Herbaceous_legumes,9.0,19.7,44.15,76.87
9471,Trifolium steudneri ,Herbaceous_legumes,8.67,17.22,54.07,76.15
9654,Vigna unguiculata,Herbaceous_legumes,9.23,16.52,41.66,77.94
9672,Alysicarpus quartinianus,Herbaceous_legumes,8.93,16.57,34.34,69.35
9752,Stylosanthes fruticosa,Herbaceous_legumes,7.67,16.72,45.1,65.87
9917,Leptospron adenanthum    ,Herbaceous_legumes,10.7,16.38,37.64,78.2
10000,Alysicarpus rugosus,Herbaceous_legumes,12.13,18.05,46.84,59.76
10057,Zonia latifolia,Herbaceous_legumes,8.65,15.45,39.28,54.74
10084,Mucuna pruriens,Herbaceous_legumes,9.78,15.59,40.28,61.31
10107,Trifolium steudneri Schweinf.,Herbaceous_legumes,11.08,17.6,39.32,57.67
10119,Trifolium tembense,Herbaceous_legumes,12.33,16.32,39.92,61.01
10134,Trifolium steudneri Schweinf.,Herbaceous_legumes,8.37,13.8,28.63,48.79
10375,Sesbania sesban,Shrub_Trees,7.58,15.37,35.0,59.94
10377,Eriosema sp.,Herbaceous_legumes,11.32,16.3,40.71,57.22
10379,Sesbania sesban,Shrub_Trees,6.48,17.38,33.94,73.43
10391,Stylosanthes fruticosa,Herbaceous_legumes,8.12,16.58,48.25,60.02
10663,Lathyrus sativus,Herbaceous_legumes,11.38,16.35,41.45,73.3
10852,GLycin max,Herbaceous_legumes,10.35,17.57,51.6,72.99
10856,Macroptilium atropurpureum    ,Herbaceous_legumes,10.88,17.68,45.0,64.22
10858,Desmodium incanum,Herbaceous_legumes,8.87,16.88,33.8,69.12
10865,Sesbania sesban,Shrub_Trees,7.56,16.97,35.72,76.44
10871,Urochloa decumbens,Grass,7.08,13.73,36.86,38.92
10873,Bouffordia dichotoma,Herbaceous_legumes,9.7,16.48,42.71,57.42
10891,Stylosanthes humilis,Herbaceous_legumes,8.32,15.43,42.53,56.85
10909,Centrosema macrocarpum,Herbaceous_legumes,12.3,18.23,33.91,53.67
10921,Vigna parkeri,Herbaceous_legumes,9.83,17.38,45.28,67.94
10954,Lablab purpureus  ,Herbaceous_legumes,6.98,18.13,41.17,73.27
10977,Lablab purpureus,Herbaceous_legumes,6.87,17.38,38.99,77.34
11011,Stylosanthes hamata    ,Herbaceous_legumes,8.52,15.57,43.55,56.69
11038,Aeschynomene villosa,Shrub_Trees,12.33,17.63,52.51,49.72
11039,Aeschynomene villosa,Shrub_Trees,11.48,19.17,51.28,64.37
11040,Aeschynomene villosa,Shrub_Trees,10.68,17.88,48.27,67.98
11058,Cajanus cajan,Shrub_Trees,7.14,15.04,32.24,62.08
11114,Vigna unguiculata,Herbaceous_legumes,9.85,13.78,40.73,58.6
11171,Calopogonium mucunoides,Shrub_Trees,10.07,17.15,41.79,68.8
11174,Calopogonium caeruleum,Shrub_Trees,10.68,18.85,41.54,69.06
11177,Calopogonium caeruleum,Shrub_Trees,10.6,18.11,40.1,69.95
11179,Calopogonium caeruleum    ,Shrub_Trees,10.8,16.78,46.42,57.28
11186,Aeschynomene brasiliana,Shrub_Trees,11.43,15.65,36.6,59.38
11205,Aeschynomene americana,Shrub_Trees,11.72,17.43,47.04,41.97
11343,Zornia sp.,Herbaceous_legumes,10.9,17.63,28.68,61.64
11344,Zornia sp.,Herbaceous_legumes,10.73,18.0,45.68,61.78
11397,Zornia latifolia,Herbaceous_legumes,10.43,18.65,49.49,58.99
11443,Zornia glabra,Herbaceous_legumes,10.38,17.05,42.38,59.38
11459,Zornia glabra,Herbaceous_legumes,11.07,19.28,56.6,67.55
11460,Zornia latifolia,Herbaceous_legumes,11.2,19.67,56.6,74.61
11545,Centrosema pascuorum,Herbaceous_legumes,9.0,15.33,35.36,61.63
11556,Cajanus cajan,Shrub_Trees,7.66,15.32,39.74,65.29
11560,Cajanus cajan,Shrub_Trees,7.4,15.9,36.71,57.55
11566,Cajanus cajan,Shrub_Trees,9.18,17.03,49.72,66.45
11575,Cajanus cajan,Shrub_Trees,7.15,16.73,38.39,63.76
11609,Lablab purpureus,Herbaceous_legumes,5.18,17.67,35.98,83.9
11629,Lablab purpureus  ,Herbaceous_legumes,6.82,18.32,39.03,83.45
11640,Lablab purpureus,Herbaceous_legumes,6.31,16.17,34.88,74.89
11652,Leucaena diversifolia,Shrub_Trees,4.99,11.21,23.56,60.78
11769,Stylosanthes  guianensis,Herbaceous_legumes,8.18,15.97,43.69,63.1
11786,Aeschynomene falcata,Shrub_Trees,11.38,18.3,45.77,60.34
11989,Vigna unguiculata,Herbaceous_legumes,9.5,16.87,47.08,75.03
12041,Stylosanthes macrocephala,Herbaceous_legumes,9.45,16.69,43.65,61.34
12073,Stylosanthes macrocephala,Herbaceous_legumes,8.33,16.47,42.37,58.6
12080,Stylosanthes capitata,Herbaceous_legumes,9.1,18.5,50.86,64.53
12118,Aeschynomene falcata,Shrub_Trees,11.65,18.37,45.27,61.68
12122,Aeschynomene histrix,Shrub_Trees,9.9,16.6,42.0,56.94
12140,Aeschynomene falcata,Shrub_Trees,11.18,18.5,47.6,58.27
12146,Centrosema macrocarpum,Herbaceous_legumes,8.62,15.73,39.4,76.8
12148,Centrosema macrocarpum    ,Herbaceous_legumes,9.52,16.7,38.63,59.7
12182,Centrosema acutifolium,Herbaceous_legumes,10.05,16.38,40.07,57.46
