id_lab,id,subset,no,requisitioner,tax_name,functional_group,net_gas_8h_ml,net_gas_24h_ml,gas_ml_g_dm_incubated_24h,tddm,part_fact,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,ch4_ml_g_dm_incubated_24h,methane_intensity,ch4_ml_g_ndf_digested_24h,n_replicates_gas
Dieta-1-:-F263137-+-F261072-(40%/60%)-Estrella/Leucaena),Dieta-1-:-F-263137-+-F-261072-(40%/60%)-Estrella/Leucaena),5,1777, ISABEL MOLINA/ EXP Camaras In vivo ,,,29.02,59.27,125.28,35.69,2.85,12.68,13.8,17.29,48.82,1.91,6
Dieta-1_Exp1,Dieta-1-Exp-1,3,839,LMF-invivo,Dieta 1_Exp1,,30.67,67.46,149.92,34.9,2.31,14.42,14.69,21.82,71.84,321.88,6
Dieta-1_Exp2,Dieta-1-Exp-2,3,1019,LMF-invivo,Dieta 1_Exp2,,28.26,57.51,129.22,33.33,2.41,13.66,14.43,18.49,70.34,313.12,8
Dieta-2-:-F263137-+-F263138-(55%/45%)-Estrella/Canavalia),Dieta-2-:-F-263137-+-F-263138-(55%/45%)-Estrella/Canavalia),5,1779, ISABEL MOLINA/ EXP Camaras In vivo ,,,35.36,74.77,158.74,42.41,2.68,16.03,16.99,26.98,63.7,0.9,6
Dieta-2_Exp1,Dieta-2-Exp-1,3,738,LMF-invivo,Dieta 2_Exp1,,29.6,62.15,139.52,30.16,2.16,13.87,14.36,20.02,71.36,317.83,6
Dieta-2_Exp2,Dieta-2-Exp-2,3,1022,LMF-invivo,Dieta 2_Exp2,,23.63,47.33,106.3,20.63,1.92,13.89,14.47,15.36,81.9,364.69,7
Estrella-100%,Estrella-100%,5,367,,,,24.54,58.35,127.44,17.63,1.38,13.38,14.1,17.97,109.12,0.66,6
Estrella_55%_Canabra_45%,Estrella-55%-Canabra-45%,5,377,,,,34.04,69.02,147.86,38.88,2.63,14.63,16.55,24.47,63.23,-123.26,6
Estrella_55%_Indsuf_45%,Estrella-55%-Indsuf-45%,5,375,,,,36.29,75.27,161.53,37.31,2.31,15.03,16.37,26.44,72.66,-0.18,6
Estrella_55%_Leudiv_45%,Estrella-55%-Leudiv-45%,5,379,,,,27.04,55.02,118.14,20.84,1.75,12.27,13.51,15.95,84.66,-0.68,6
Estrella_70%_Canabra_30%,Estrella-70%-Canabra-30%,5,371,,,,35.04,71.27,153.68,33.23,2.16,14.93,16.19,24.89,75.13,1.92,6
Estrella_70%_Indsuf_30%,Estrella-70%-Indsuf-30%,5,369,,,,34.7,72.35,156.17,29.04,1.86,14.62,15.56,24.29,87.23,-1.93,6
Estrella_70%_Leudiv_30%,Estrella-70%-Leudiv-30%,5,373,,,,29.87,59.68,128.91,23.77,1.88,12.93,13.87,17.84,76.81,-2.77,6
F24-3416,CIAT-705,1,1,Genetic_bank,Indigofera suffruticosa,Shrub_Trees,29.35,61.94,134.59,74.34,5.52,14.26,17.35,23.36,31.84,149.32,9
F24-3417,CIAT-707,1,4,Genetic_bank,Alysicarpus ovalifolius,Herbaceous_legumes,30.58,66.26,147.01,65.97,4.49,13.54,16.25,23.89,36.44,125.18,9
F24-3418,CIAT-712,1,7,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,39.78,78.31,171.45,62.66,3.66,12.57,14.79,25.37,40.73,153.83,9
F24-3419,CIAT-749,1,10,Genetic_bank,Crotalaria juncea,Shrub_Trees,35.74,67.64,147.39,65.15,4.43,14.03,15.59,22.98,35.43,150.15,9
F24-3420,CIAT-768,1,13,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,33.53,74.13,160.77,64.82,4.03,13.49,15.73,25.3,39.08,134.6,9
F24-3421,CIAT-772,1,16,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,32.3,75.07,163.99,65.1,4.06,13.46,14.99,24.42,37.92,77.57,9
F24-3422,CIAT-819,1,19,Genetic_bank,Indigofera suffruticosa,Shrub_Trees,32.19,63.25,139.32,60.93,4.39,14.22,16.94,23.64,39.4,201.43,8
F24-3423,CIAT-905,1,22,Genetic_bank,Canavalia brasiliensis,Herbaceous_legumes,38.42,76.32,166.0,63.42,3.87,12.08,15.4,25.65,40.88,908.11,9
F24-3424,CIAT-913,1,25,Genetic_bank,Cajanus cajan,Shrub_Trees,23.96,58.27,122.89,60.86,5.01,13.53,16.14,19.76,32.83,102.87,9
F24-3425,CIAT-955,1,28,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,37.78,84.29,183.5,59.65,3.29,12.82,14.54,26.67,45.45,138.42,9
F24-3426,CIAT-989,1,406,Genetic_bank,Indigofera hirsuta,Herbaceous_legumes,27.27,46.83,101.37,52.31,5.15,15.57,16.78,16.97,32.85,160.5,9
F24-3427,CIAT-1257,1,409,Genetic_bank,Stylosanthes scabra,Herbaceous_legumes,36.17,69.8,150.5,58.95,4.36,15.71,17.6,26.55,46.32,103.03,9
F24-3428,CIAT-3240,1,412,Genetic_bank,Desmodium cinereum,Shrub_Trees,33.32,52.78,113.63,54.72,4.84,19.2,19.67,22.33,40.86,246.37,9
F24-3429,CIAT-3522,1,415,Genetic_bank,Desmodium incanum,Herbaceous_legumes,24.32,38.72,82.96,36.5,4.42,17.03,18.51,15.33,42.18,-1605.11,9
F24-3430,CIAT-4134,1,418,Genetic_bank,Macroptilium lathyroides,Herbaceous_legumes,40.55,75.25,163.66,65.38,4.03,17.4,18.91,30.91,47.73,-81.53,9
F24-3431,CIAT-4279,1,421,Genetic_bank,Vigna umbellata,Herbaceous_legumes,38.53,75.89,166.66,66.91,4.04,17.63,19.09,31.79,47.82,182.93,9
F24-3432,CIAT-5124,1,425,Genetic_bank,Centrosema molle x acutifolium,Herbaceous_legumes,34.01,56.77,123.97,56.75,4.62,17.54,18.89,23.4,42.1,116.73,8
F24-3433,CIAT-5234,1,427,Genetic_bank,Centrosema brasilianum,Herbaceous_legumes,37.44,67.17,145.12,62.56,4.32,15.51,17.45,25.29,40.52,111.95,8
F24-3434,CIAT-7292,1,430,Genetic_bank,Chamaecrista desvauxii,Herbaceous_legumes,28.85,49.0,106.45,48.05,4.55,15.74,17.19,18.27,38.18,285.98,9
F24-3435,CIAT-7317,1,433,Genetic_bank,Canavalia sp.,Herbaceous_legumes,36.07,63.9,138.17,70.24,5.14,15.92,17.4,24.0,34.3,110.77,9
F24-3436,CIAT-7322,1,436,Genetic_bank,Canavalia sp.,Herbaceous_legumes,39.02,77.02,172.33,74.64,4.37,17.21,19.04,32.75,43.86,150.58,9
F24-3437,CIAT-7339,1,439,Genetic_bank,Indigofera lespedezioides,Herbaceous_legumes,28.21,47.62,103.48,53.95,5.34,16.06,17.66,18.23,34.71,268.38,9
F24-3438,CIAT-7469,1,442,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,42.42,79.04,171.45,65.71,3.85,16.63,18.01,30.78,47.75,135.76,9
F24-3439,CIAT-7643,1,445,Genetic_bank,Desmanthus pernambucanus,Shrub_Trees,29.59,54.22,115.47,47.16,4.08,16.55,18.19,21.0,44.69,158.79,6
F24-3440,CIAT-7703,1,448,Genetic_bank,Aeschynomene indica,Herbaceous_legumes,37.66,66.23,144.0,57.36,3.98,16.48,17.45,25.07,44.47,116.69,8
F24-3441,CIAT-7714,1,631,Genetic_bank,Alysicarpus glumaceus,Herbaceous_legumes,39.01,71.0,152.54,65.53,4.32,17.38,18.66,28.47,44.37,61.63,12
F24-3442,CIAT-7757,1,634,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,42.92,82.51,179.01,64.83,3.63,17.82,19.58,35.05,54.11,160.88,12
F24-3443,CIAT-7759,1,637,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,42.26,92.17,196.92,66.8,3.4,17.9,19.08,37.58,56.38,138.77,6
F24-3444,CIAT-7790,1,640,Genetic_bank,Crotalaria pallida,Herbaceous_legumes,35.33,76.53,166.06,64.54,3.91,17.65,21.04,35.06,54.82,113.86,6
F24-3445,CIAT-7792,1,643,Genetic_bank,Chamaecrista rotundifolia,Herbaceous_legumes,42.78,77.94,167.74,65.27,3.89,16.63,19.18,32.19,49.52,114.17,6
F24-3446,CIAT-7816,1,646,Genetic_bank,Indigofera spicata,Herbaceous_legumes,31.86,68.94,149.0,64.89,4.39,15.45,17.82,26.54,41.04,144.5,6
F24-3447,CIAT-7858,1,649,Genetic_bank,Crotalaria incana,Herbaceous_legumes,47.91,85.8,184.16,73.8,4.04,16.68,18.6,34.28,46.55,101.24,6
F24-3448,CIAT-7972,1,652,Genetic_bank,Canavalia brasiliensis,Herbaceous_legumes,37.19,71.24,154.94,66.01,4.25,16.23,18.63,28.8,44.18,170.11,6
F24-3449,CIAT-8205,1,655,Genetic_bank,Indigofera suffruticosa,Shrub_Trees,30.68,65.55,142.02,62.07,4.4,19.0,20.51,29.08,46.97,240.8,6
F24-3450,CIAT-8402,1,658,Genetic_bank,Indigofera suffruticosa,Shrub_Trees,34.0,59.08,128.37,62.49,4.87,18.76,20.59,26.43,42.3,267.13,5
F24-3451,CIAT-8408,1,661,Genetic_bank,Chamaecrista nictitans,Herbaceous_legumes,32.82,63.48,134.96,47.3,3.52,17.22,20.47,27.69,58.52,501.47,6
F24-3452,CIAT-8409,1,664,Genetic_bank,Chamaecrista nictitans,Herbaceous_legumes,35.09,60.09,130.68,49.94,3.82,16.98,20.56,26.92,54.13,276.79,5
F24-3453,CIAT-8719,1,667,Genetic_bank,Canavalia sp. ,Herbaceous_legumes,36.43,69.75,149.06,65.39,4.39,16.52,19.17,28.62,44.01,296.13,12
F24-3454,CIAT-8797,1,670,Genetic_bank,Desmanthus virgatus,Shrub_Trees,31.49,61.64,132.58,48.5,3.67,15.47,17.84,23.64,48.75,291.63,6
F24-3455,CIAT-8819,1,673,Genetic_bank,Coursetia caribaea,Shrub_Trees,33.47,69.52,151.45,63.34,4.19,18.58,20.43,30.96,48.94,226.66,5
F24-3456,CIAT-9170,1,676,Genetic_bank,Indigofera lespedezioides,Herbaceous_legumes,28.1,44.6,95.77,42.54,4.45,15.12,16.69,15.99,38.2,468.11,6
F24-3457,CIAT-9254,1,679,Genetic_bank,Crotalaria pallida,Herbaceous_legumes,31.49,68.2,150.13,59.58,4.0,18.25,20.76,31.24,52.29,222.84,6
F24-3458,CIAT-9283,1,682,Genetic_bank,Crotalaria pallida,Herbaceous_legumes,32.82,67.76,145.95,60.12,4.12,18.13,20.82,30.4,50.83,254.6,6
F24-3459,CIAT-9288,1,685,Genetic_bank,Indigofera suffruticosa,Shrub_Trees,39.46,68.94,147.0,68.02,4.63,19.38,22.66,33.31,49.11,168.49,6
F24-3460,CIAT-9336,1,688,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,46.54,77.42,171.22,69.15,4.09,18.63,20.19,34.64,50.58,214.71,6
F24-3461,CIAT-9349,1,691,Genetic_bank,Mucuna pruriens,Herbaceous_legumes,30.09,59.72,130.61,56.47,4.33,17.35,18.52,24.19,43.23,295.65,6
F24-3462,CIAT-9356,1,694,Genetic_bank,Tephrosia noctiflora,Shrub_Trees,32.3,59.94,128.77,53.77,4.18,18.7,20.48,26.38,49.48,375.49,6
F24-3463,CIAT-9432,1,697,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,36.95,70.2,153.75,50.87,3.32,17.36,18.9,29.07,57.24,-1104.57,5
F24-3464,CIAT-9433,1,700,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,39.97,68.5,145.22,61.82,4.26,17.95,19.36,28.12,46.43,817.83,6
F24-3465,CIAT-9435,1,703,Genetic_bank,Desmanthus pubescens,Shrub_Trees,27.95,48.29,102.03,43.26,4.24,16.03,18.91,19.3,44.69,938.75,6
F24-3466,CIAT-9530,1,706,Genetic_bank,Crotalaria maypurensis,Herbaceous_legumes,47.13,83.98,179.99,68.2,3.8,17.02,19.21,34.56,51.12,-1583.51,6
F24-3467,CIAT-9562,1,709,Genetic_bank,Eriosema diffusum,Herbaceous_legumes,19.18,33.01,70.26,28.14,4.01,16.85,18.0,12.64,45.14,-184.81,4
F24-3468,CIAT-9982,1,712,Genetic_bank,Crotalaria incana,Herbaceous_legumes,45.21,84.79,180.65,72.64,4.02,17.05,19.0,34.32,47.26,178.64,6
