id_lab,id,subset,no,requisitioner,tax_name,functional_group,net_gas_8h_ml,net_gas_24h_ml,gas_ml_g_dm_incubated_24h,tddm,part_fact,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,ch4_ml_g_dm_incubated_24h,methane_intensity,ch4_ml_g_ndf_digested_24h,n_replicates_gas
Dieta-1-:-F263137-+-F261072-(40%/60%)-Estrella/Leucaena),Dieta-1-:-F-263137-+-F-261072-(40%/60%)-Estrella/Leucaena),5,1777, ISABEL MOLINA/ EXP Camaras In vivo ,,,1.26,2.1,4.47,3.15,0.27,0.37,0.29,0.52,5.29,3.92,6
Dieta-1_Exp1,Dieta-1-Exp-1,3,839,LMF-invivo,Dieta 1_Exp1,,7.37,11.21,22.77,12.59,0.67,1.87,1.12,1.6,35.07,154.57,6
Dieta-1_Exp2,Dieta-1-Exp-2,3,1019,LMF-invivo,Dieta 1_Exp2,,10.51,20.19,45.43,21.46,1.01,0.66,0.44,5.98,29.81,132.79,8
Dieta-2-:-F263137-+-F263138-(55%/45%)-Estrella/Canavalia),Dieta-2-:-F-263137-+-F-263138-(55%/45%)-Estrella/Canavalia),5,1779, ISABEL MOLINA/ EXP Camaras In vivo ,,,4.89,4.21,8.94,2.36,0.17,0.39,0.26,1.63,3.82,0.25,6
Dieta-2_Exp1,Dieta-2-Exp-1,3,738,LMF-invivo,Dieta 2_Exp1,,3.37,4.38,9.8,8.45,0.6,1.57,0.91,1.67,22.09,98.28,6
Dieta-2_Exp2,Dieta-2-Exp-2,3,1022,LMF-invivo,Dieta 2_Exp2,,2.21,3.52,7.89,6.38,0.5,0.52,0.4,0.77,29.52,131.47,7
Estrella-100%,Estrella-100%,5,367,,,,0.55,0.32,0.69,5.07,0.4,0.16,0.69,0.86,31.67,6.29,6
Estrella_55%_Canabra_45%,Estrella-55%-Canabra-45%,5,377,,,,3.72,4.63,9.89,3.36,0.22,0.43,0.23,1.67,5.99,203.08,6
Estrella_55%_Indsuf_45%,Estrella-55%-Indsuf-45%,5,375,,,,1.04,1.68,3.61,5.73,0.38,0.45,0.26,0.48,14.1,3.99,6
Estrella_55%_Leudiv_45%,Estrella-55%-Leudiv-45%,5,379,,,,1.26,3.65,7.87,6.84,0.52,0.49,0.38,0.98,30.73,0.64,6
Estrella_70%_Canabra_30%,Estrella-70%-Canabra-30%,5,371,,,,0.66,1.61,3.46,2.39,0.13,0.35,0.27,0.63,4.18,2.35,6
Estrella_70%_Indsuf_30%,Estrella-70%-Indsuf-30%,5,369,,,,1.17,1.56,3.35,6.61,0.41,0.52,0.34,0.14,19.17,4.84,6
Estrella_70%_Leudiv_30%,Estrella-70%-Leudiv-30%,5,373,,,,5.46,6.26,13.52,3.19,0.4,0.52,0.39,1.42,16.44,2.73,6
F24-3416,CIAT-705,1,1,Genetic_bank,Indigofera suffruticosa,Shrub_Trees,1.32,1.62,3.53,9.22,0.67,0.46,0.82,1.37,4.3,77.9,9
F24-3417,CIAT-707,1,4,Genetic_bank,Alysicarpus ovalifolius,Herbaceous_legumes,0.85,1.26,2.84,4.23,0.35,0.48,0.76,1.4,4.07,33.09,9
F24-3418,CIAT-712,1,7,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,0.97,1.94,4.27,4.31,0.32,0.38,0.44,1.27,4.32,44.25,9
F24-3419,CIAT-749,1,10,Genetic_bank,Crotalaria juncea,Shrub_Trees,1.14,1.91,4.12,3.54,0.35,0.82,0.45,1.0,3.32,40.51,9
F24-3420,CIAT-768,1,13,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,1.23,1.35,2.92,2.14,0.14,0.38,0.48,1.11,2.33,17.8,9
F24-3421,CIAT-772,1,16,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,2.62,8.27,18.07,5.77,0.97,1.23,1.06,1.67,5.26,15.76,9
F24-3422,CIAT-819,1,19,Genetic_bank,Indigofera suffruticosa,Shrub_Trees,0.46,2.15,4.74,6.5,0.63,0.33,0.81,1.88,6.54,82.86,8
F24-3423,CIAT-905,1,22,Genetic_bank,Canavalia brasiliensis,Herbaceous_legumes,1.17,6.52,14.17,4.31,0.61,0.3,0.9,3.44,7.61,4318.33,9
F24-3424,CIAT-913,1,25,Genetic_bank,Cajanus cajan,Shrub_Trees,1.2,5.43,11.44,7.28,0.83,0.58,1.09,1.17,4.1,42.54,9
F24-3425,CIAT-955,1,28,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,2.78,6.6,14.37,6.19,0.58,1.0,0.44,2.1,8.16,52.02,9
F24-3426,CIAT-989,1,406,Genetic_bank,Indigofera hirsuta,Herbaceous_legumes,1.5,4.49,9.72,8.62,0.57,1.14,0.93,1.39,3.29,320.96,9
F24-3427,CIAT-1257,1,409,Genetic_bank,Stylosanthes scabra,Herbaceous_legumes,7.76,17.39,37.49,8.48,2.16,0.96,0.67,6.68,14.96,51.74,9
F24-3428,CIAT-3240,1,412,Genetic_bank,Desmodium cinereum,Shrub_Trees,3.7,6.38,13.72,5.36,0.42,0.48,0.38,2.49,3.39,115.8,9
F24-3429,CIAT-3522,1,415,Genetic_bank,Desmodium incanum,Herbaceous_legumes,1.24,3.59,7.69,3.04,0.38,0.69,0.47,1.17,4.06,5658.63,9
F24-3430,CIAT-4134,1,418,Genetic_bank,Macroptilium lathyroides,Herbaceous_legumes,3.83,7.39,16.12,5.75,0.54,0.62,0.42,2.64,7.21,1326.87,9
F24-3431,CIAT-4279,1,421,Genetic_bank,Vigna umbellata,Herbaceous_legumes,4.49,8.01,17.61,6.68,0.48,0.47,0.3,3.1,5.68,79.67,9
F24-3432,CIAT-5124,1,425,Genetic_bank,Centrosema molle x acutifolium,Herbaceous_legumes,4.18,5.02,10.96,9.23,0.94,0.56,0.29,1.88,6.92,34.62,8
F24-3433,CIAT-5234,1,427,Genetic_bank,Centrosema brasilianum,Herbaceous_legumes,4.73,4.77,10.34,4.27,0.21,0.53,0.5,1.57,2.66,18.3,8
F24-3434,CIAT-7292,1,430,Genetic_bank,Chamaecrista desvauxii,Herbaceous_legumes,4.22,4.66,10.14,3.53,0.57,0.86,0.62,1.44,3.86,114.62,9
F24-3435,CIAT-7317,1,433,Genetic_bank,Canavalia sp.,Herbaceous_legumes,2.68,6.63,14.32,4.53,0.7,0.72,0.43,2.1,3.57,23.53,9
F24-3436,CIAT-7322,1,436,Genetic_bank,Canavalia sp.,Herbaceous_legumes,2.79,8.43,18.85,3.51,0.42,0.65,0.42,2.93,3.13,23.88,9
F24-3437,CIAT-7339,1,439,Genetic_bank,Indigofera lespedezioides,Herbaceous_legumes,7.8,9.14,19.86,10.3,1.18,1.35,0.69,3.37,8.67,221.17,9
F24-3438,CIAT-7469,1,442,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,4.38,7.72,16.77,9.35,0.57,1.93,1.21,2.72,8.16,60.64,9
F24-3439,CIAT-7643,1,445,Genetic_bank,Desmanthus pernambucanus,Shrub_Trees,0.83,2.25,4.8,3.99,0.22,1.34,0.6,0.97,2.99,45.33,6
F24-3440,CIAT-7703,1,448,Genetic_bank,Aeschynomene indica,Herbaceous_legumes,4.72,7.53,16.34,10.25,0.49,0.5,0.43,2.4,5.97,43.74,8
F24-3441,CIAT-7714,1,631,Genetic_bank,Alysicarpus glumaceus,Herbaceous_legumes,1.12,3.28,7.02,9.23,0.74,0.23,0.53,1.6,7.33,12.52,12
F24-3442,CIAT-7757,1,634,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,2.67,5.75,12.49,2.73,0.25,0.56,0.37,2.54,4.01,21.45,12
F24-3443,CIAT-7759,1,637,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,1.2,5.33,11.4,4.61,0.25,0.25,0.28,2.53,4.1,21.76,6
F24-3444,CIAT-7790,1,640,Genetic_bank,Crotalaria pallida,Herbaceous_legumes,0.7,6.64,14.46,8.34,0.63,1.16,1.33,5.03,8.21,24.17,6
F24-3445,CIAT-7792,1,643,Genetic_bank,Chamaecrista rotundifolia,Herbaceous_legumes,2.37,6.05,13.0,6.98,0.3,0.34,0.45,2.95,4.14,22.39,6
F24-3446,CIAT-7816,1,646,Genetic_bank,Indigofera spicata,Herbaceous_legumes,1.19,6.77,14.61,4.79,0.53,0.31,0.25,2.35,4.15,47.18,6
