id_lab,id,subset,no,requisitioner,tax_name,functional_group,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,n_replicates_nutrition
Dieta-1-:-F263137-+-F261072-(40%/60%)-Estrella/Leucaena),Dieta-1-:-F-263137-+-F-261072-(40%/60%)-Estrella/Leucaena),5,, ISABEL MOLINA/ EXP Camaras In vivo ,,,94.6,8.97,91.03,20.42,35.2,62.75,2
Dieta-1_Exp1,Dieta-1-Exp-1,3,193.0,LMF-invivo,Dieta 1_Exp1,,89.0,9.5,89.53,17.68,35.48,71.52,2
Dieta-1_Exp2,Dieta-1-Exp-2,3,235.0,LMF-invivo,Dieta 1_Exp2,,89.0,9.5,89.53,0.0,0.0,0.0,2
Dieta-2-:-F263137-+-F263138-(55%/45%)-Estrella/Canavalia),Dieta-2-:-F-263137-+-F-263138-(55%/45%)-Estrella/Canavalia),5,, ISABEL MOLINA/ EXP Camaras In vivo ,,,94.15,11.04,88.96,13.32,35.56,67.59,2
Dieta-2_Exp1,Dieta-2-Exp-1,3,195.0,LMF-invivo,Dieta 2_Exp1,,89.0,9.1,89.58,13.79,33.91,67.86,2
Dieta-2_Exp2,Dieta-2-Exp-2,3,237.0,LMF-invivo,Dieta 2_Exp2,,89.0,9.1,89.58,0.0,0.0,0.0,2
Estrella-100%,Estrella-100%,5,165.0,,,,91.54,8.12,91.88,4.28,41.16,80.6,2
Estrella_55%_Canabra_45%,Estrella-55%-Canabra-45%,5,175.0,,,,93.3,10.52,89.48,13.45,34.69,62.82,2
Estrella_55%_Indsuf_45%,Estrella-55%-Indsuf-45%,5,173.0,,,,93.17,8.44,91.56,16.2,35.59,63.91,2
Estrella_55%_Leudiv_45%,Estrella-55%-Leudiv-45%,5,177.0,,,,93.08,8.51,91.49,15.88,36.95,67.51,2
Estrella_70%_Canabra_30%,Estrella-70%-Canabra-30%,5,169.0,,,,92.71,9.72,90.28,10.39,36.84,68.74,2
Estrella_70%_Indsuf_30%,Estrella-70%-Indsuf-30%,5,167.0,,,,92.62,8.33,91.67,12.23,37.44,69.48,2
Estrella_70%_Leudiv_30%,Estrella-70%-Leudiv-30%,5,171.0,,,,92.56,8.38,91.62,12.02,38.35,71.87,2
F24-3416,CIAT-705,1,1.0,Genetic_bank,Indigofera suffruticosa,Shrub_Trees,91.97,12.68,87.32,33.01,28.05,45.22,2
F24-3417,CIAT-707,1,3.0,Genetic_bank,Alysicarpus ovalifolius,Herbaceous_legumes,90.09,12.07,87.93,25.4,25.44,54.11,2
